,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.04,0.0,Created,Job 0-3,,,
1,1.04,0.0,Put in Routing Class,Job 0-3,,1.0,
2,1.04,0.0,Routing Start,Job 0-3,,,"3.675,  machine 선택"
3,1.04,0.0,Routing Finish,Job 0-3,Machine 1,,
4,1.04,0.0,Work Start,Job 0-3,Machine 1,,
5,1.09,1.0,Created,Job 1-8,,,
6,1.09,1.0,Put in Routing Class,Job 1-8,,1.0,
7,1.09,1.0,Routing Start,Job 1-8,,,"3.675,  machine 선택"
8,1.09,1.0,Routing Finish,Job 1-8,Machine 0,,
9,1.09,1.0,Work Start,Job 1-8,Machine 0,,
10,1.37,6.0,Created,Job 6-23,,,
11,1.37,6.0,Put in Routing Class,Job 6-23,,1.0,
12,1.37,6.0,Routing Start,Job 6-23,,,"3.675,  machine 선택"
13,1.37,6.0,Routing Finish,Job 6-23,Machine 5,,
14,1.37,6.0,Work Start,Job 6-23,Machine 5,,
15,1.45,7.0,Created,Job 7-11,,,
16,1.45,7.0,Put in Routing Class,Job 7-11,,1.0,
17,1.45,7.0,Routing Start,Job 7-11,,,"3.675,  machine 선택"
18,1.45,7.0,Routing Finish,Job 7-11,Machine 7,,
19,1.45,7.0,Work Start,Job 7-11,Machine 7,,
20,1.47,9.0,Created,Job 9-6,,,
21,1.47,9.0,Put in Routing Class,Job 9-6,,1.0,
22,1.47,9.0,Routing Start,Job 9-6,,,"3.675,  machine 선택"
23,1.47,9.0,Routing Finish,Job 9-6,Machine 6,,
24,1.47,9.0,Work Start,Job 9-6,Machine 6,,
25,1.79,4.0,Created,Job 4-40,,,
26,1.79,4.0,Put in Routing Class,Job 4-40,,1.0,
27,1.79,4.0,Routing Start,Job 4-40,,,"3.675,  machine 선택"
28,1.79,4.0,Routing Finish,Job 4-40,Machine 2,,
29,1.79,4.0,Work Start,Job 4-40,Machine 2,,
30,2.1,2.0,Created,Job 2-0,,,
31,2.1,2.0,Put in Routing Class,Job 2-0,,1.0,
32,2.1,2.0,Routing Start,Job 2-0,,,"3.675,  machine 선택"
33,2.1,2.0,Routing Finish,Job 2-0,Machine 3,,
34,2.1,2.0,Work Start,Job 2-0,Machine 3,,
35,2.15,8.0,Created,Job 8-1,,,
36,2.15,8.0,Put in Routing Class,Job 8-1,,1.0,
