,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.07,3.0,Created,Job 3-21,,,
1,1.07,3.0,Put in Routing Class,Job 3-21,,1.0,
2,1.07,3.0,Routing Start,Job 3-21,,,"3.675,  machine 선택"
3,1.07,3.0,Routing Finish,Job 3-21,Machine 2,,
4,1.07,3.0,Work Start,Job 3-21,Machine 2,,
5,1.1,8.0,Created,Job 8-5,,,
6,1.1,8.0,Put in Routing Class,Job 8-5,,1.0,
7,1.1,8.0,Routing Start,Job 8-5,,,"3.675,  machine 선택"
8,1.1,8.0,Routing Finish,Job 8-5,Machine 4,,
9,1.1,8.0,Work Start,Job 8-5,Machine 4,,
10,1.12,6.0,Created,Job 6-6,,,
11,1.12,6.0,Put in Routing Class,Job 6-6,,1.0,
12,1.12,6.0,Routing Start,Job 6-6,,,"3.675,  machine 선택"
13,1.12,6.0,Routing Finish,Job 6-6,Machine 0,,
14,1.12,6.0,Work Start,Job 6-6,Machine 0,,
15,1.15,5.0,Created,Job 5-1,,,
16,1.15,5.0,Put in Routing Class,Job 5-1,,1.0,
17,1.15,5.0,Routing Start,Job 5-1,,,"3.675,  machine 선택"
18,1.15,5.0,Routing Finish,Job 5-1,Machine 5,,
19,1.15,5.0,Work Start,Job 5-1,Machine 5,,
20,1.32,2.0,Created,Job 2-9,,,
21,1.32,2.0,Put in Routing Class,Job 2-9,,1.0,
22,1.32,2.0,Routing Start,Job 2-9,,,"3.675,  machine 선택"
23,1.32,2.0,Routing Finish,Job 2-9,Machine 1,,
24,1.32,2.0,Work Start,Job 2-9,Machine 1,,
25,1.42,4.0,Created,Job 4-7,,,
26,1.42,4.0,Put in Routing Class,Job 4-7,,1.0,
27,1.42,4.0,Routing Start,Job 4-7,,,"3.675,  machine 선택"
28,1.42,4.0,Routing Finish,Job 4-7,Machine 7,,
29,1.42,4.0,Work Start,Job 4-7,Machine 7,,
30,1.57,7.0,Created,Job 7-22,,,
31,1.57,7.0,Put in Routing Class,Job 7-22,,1.0,
32,1.57,7.0,Routing Start,Job 7-22,,,"3.675,  machine 선택"
33,1.57,7.0,Routing Finish,Job 7-22,Machine 3,,
34,1.57,7.0,Work Start,Job 7-22,Machine 3,,
35,1.76,1.0,Created,Job 1-11,,,
36,1.76,1.0,Put in Routing Class,Job 1-11,,1.0,
37,1.76,1.0,Routing Start,Job 1-11,,,"3.675,  machine 선택"
38,1.76,1.0,Routing Finish,Job 1-11,Machine 6,,
39,1.76,1.0,Work Start,Job 1-11,Machine 6,,
40,2.3,8.0,Created,Job 8-10,,,
41,2.3,8.0,Put in Routing Class,Job 8-10,,1.0,
42,2.44,4.0,Created,Job 4-28,,,
43,2.44,4.0,Put in Routing Class,Job 4-28,,2.0,
44,2.73,5.0,Created,Job 5-8,,,
45,2.73,5.0,Put in Routing Class,Job 5-8,,3.0,
46,2.82,6.0,Created,Job 6-29,,,
47,2.82,6.0,Put in Routing Class,Job 6-29,,4.0,
48,2.87,3.0,Created,Job 3-23,,,
49,2.87,3.0,Put in Routing Class,Job 3-23,,5.0,
50,2.98,1.0,Created,Job 1-16,,,
51,2.98,1.0,Put in Routing Class,Job 1-16,,6.0,
52,3.45,4.0,Created,Job 4-31,,,
53,3.45,4.0,Put in Routing Class,Job 4-31,,7.0,
54,3.89,3.0,Created,Job 3-25,,,
55,3.89,3.0,Put in Routing Class,Job 3-25,,8.0,
56,3.92,7.0,Created,Job 7-38,,,
57,3.92,7.0,Put in Routing Class,Job 7-38,,9.0,
58,3.95,3.0,Work Finish,Job 3-21,Machine 2,,
59,3.95,3.0,Completed,Job 3-21,,,0
60,3.95,,Request Routing for Job,,Machine 2,9.0,
61,3.95,,Routing Start,,Machine 2,,3.675 Job 선택
62,3.95,3.0,Routing Finish,Job 3-23,Machine 2,,
63,3.95,3.0,Work Start,Job 3-23,Machine 2,,
64,3.98,6.0,Created,Job 6-34,,,
65,3.98,6.0,Put in Routing Class,Job 6-34,,9.0,
66,4.11,9.0,Created,Job 9-0,,,
67,4.11,9.0,Put in Routing Class,Job 9-0,,10.0,
68,4.19,8.0,Work Finish,Job 8-5,Machine 4,,
69,4.19,8.0,Completed,Job 8-5,,,0
70,4.19,,Request Routing for Job,,Machine 4,10.0,
71,4.19,,Routing Start,,Machine 4,,3.675 Job 선택
72,4.19,4.0,Routing Finish,Job 4-28,Machine 4,,
