,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.06,4.0,Created,Job 4-3,,,
1,1.06,4.0,Put in Routing Class,Job 4-3,,1.0,
2,1.06,4.0,Routing Start,Job 4-3,,,"3.675,  machine 선택"
3,1.06,4.0,Routing Finish,Job 4-3,Machine 0,,
4,1.06,4.0,Work Start,Job 4-3,Machine 0,,
5,1.13,2.0,Created,Job 2-14,,,
6,1.13,2.0,Put in Routing Class,Job 2-14,,1.0,
7,1.13,2.0,Routing Start,Job 2-14,,,"3.675,  machine 선택"
8,1.13,2.0,Routing Finish,Job 2-14,Machine 6,,
9,1.13,2.0,Work Start,Job 2-14,Machine 6,,
10,1.14,6.0,Created,Job 6-2,,,
11,1.14,6.0,Put in Routing Class,Job 6-2,,1.0,
12,1.14,6.0,Routing Start,Job 6-2,,,"3.675,  machine 선택"
13,1.14,6.0,Routing Finish,Job 6-2,Machine 2,,
14,1.14,6.0,Work Start,Job 6-2,Machine 2,,
15,1.39,3.0,Created,Job 3-1,,,
16,1.39,3.0,Put in Routing Class,Job 3-1,,1.0,
17,1.39,3.0,Routing Start,Job 3-1,,,"3.675,  machine 선택"
18,1.39,3.0,Routing Finish,Job 3-1,Machine 1,,
19,1.39,3.0,Work Start,Job 3-1,Machine 1,,
20,1.42,5.0,Created,Job 5-5,,,
21,1.42,5.0,Put in Routing Class,Job 5-5,,1.0,
22,1.42,5.0,Routing Start,Job 5-5,,,"3.675,  machine 선택"
23,1.42,5.0,Routing Finish,Job 5-5,Machine 3,,
24,1.42,5.0,Work Start,Job 5-5,Machine 3,,
25,1.58,0.0,Created,Job 0-0,,,
26,1.58,0.0,Put in Routing Class,Job 0-0,,1.0,
27,1.58,0.0,Routing Start,Job 0-0,,,"3.675,  machine 선택"
28,1.58,0.0,Routing Finish,Job 0-0,Machine 7,,
29,1.58,0.0,Work Start,Job 0-0,Machine 7,,
30,1.91,8.0,Created,Job 8-9,,,
31,1.91,8.0,Put in Routing Class,Job 8-9,,1.0,
32,1.91,8.0,Routing Start,Job 8-9,,,"3.675,  machine 선택"
33,1.91,8.0,Routing Finish,Job 8-9,Machine 5,,
34,1.91,8.0,Work Start,Job 8-9,Machine 5,,
35,2.02,1.0,Created,Job 1-8,,,
36,2.02,1.0,Put in Routing Class,Job 1-8,,1.0,
37,2.02,1.0,Routing Start,Job 1-8,,,"3.675,  machine 선택"
38,2.02,1.0,Routing Finish,Job 1-8,Machine 4,,
39,2.02,1.0,Work Start,Job 1-8,Machine 4,,
40,2.5,3.0,Created,Job 3-7,,,
41,2.5,3.0,Put in Routing Class,Job 3-7,,1.0,
42,2.55,5.0,Created,Job 5-15,,,
43,2.55,5.0,Put in Routing Class,Job 5-15,,2.0,
44,2.6,2.0,Created,Job 2-27,,,
45,2.6,2.0,Put in Routing Class,Job 2-27,,3.0,
46,2.8,6.0,Created,Job 6-16,,,
47,2.8,6.0,Put in Routing Class,Job 6-16,,4.0,
48,3.19,0.0,Created,Job 0-13,,,
49,3.19,0.0,Put in Routing Class,Job 0-13,,5.0,
50,3.58,3.0,Created,Job 3-21,,,
51,3.58,3.0,Put in Routing Class,Job 3-21,,6.0,
52,3.67,5.0,Created,Job 5-37,,,
53,3.67,5.0,Put in Routing Class,Job 5-37,,7.0,
54,3.67,8.0,Created,Job 8-59,,,
55,3.67,8.0,Put in Routing Class,Job 8-59,,8.0,
56,3.93,6.0,Created,Job 6-25,,,
57,3.93,6.0,Put in Routing Class,Job 6-25,,9.0,
58,4.3,0.0,Work Finish,Job 0-0,Machine 7,,
59,4.3,0.0,Completed,Job 0-0,,,0
60,4.3,,Request Routing for Job,,Machine 7,9.0,
61,4.3,,Routing Start,,Machine 7,,3.675 Job 선택
62,4.3,0.0,Routing Finish,Job 0-13,Machine 7,,
63,4.3,0.0,Work Start,Job 0-13,Machine 7,,
64,4.52,7.0,Created,Job 7-39,,,
65,4.52,7.0,Put in Routing Class,Job 7-39,,9.0,
66,4.54,4.0,Created,Job 4-18,,,
67,4.54,4.0,Put in Routing Class,Job 4-18,,10.0,
68,4.61,9.0,Created,Job 9-4,,,
69,4.61,9.0,Put in Routing Class,Job 9-4,,11.0,
70,4.81,0.0,Created,Job 0-17,,,
71,4.81,0.0,Put in Routing Class,Job 0-17,,12.0,
72,4.94,2.0,Created,Job 2-29,,,
73,4.94,2.0,Put in Routing Class,Job 2-29,,13.0,
74,4.95,3.0,Created,Job 3-32,,,
75,4.95,3.0,Put in Routing Class,Job 3-32,,14.0,
76,5.18,5.0,Work Finish,Job 5-5,Machine 3,,
77,5.18,5.0,Completed,Job 5-5,,,0
78,5.18,,Request Routing for Job,,Machine 3,14.0,
79,5.18,,Routing Start,,Machine 3,,3.675 Job 선택
80,5.18,3.0,Routing Finish,Job 3-7,Machine 3,,
81,5.18,3.0,Work Start,Job 3-7,Machine 3,,
82,5.32,2.0,Work Finish,Job 2-14,Machine 6,,
83,5.32,2.0,Completed,Job 2-14,,,0
84,5.32,,Request Routing for Job,,Machine 6,13.0,
85,5.32,,Routing Start,,Machine 6,,3.675 Job 선택
86,5.32,0.0,Routing Finish,Job 0-17,Machine 6,,
87,5.32,0.0,Work Start,Job 0-17,Machine 6,,
88,5.32,8.0,Created,Job 8-68,,,
89,5.32,8.0,Put in Routing Class,Job 8-68,,13.0,
90,5.49,6.0,Created,Job 6-26,,,
91,5.49,6.0,Put in Routing Class,Job 6-26,,14.0,
92,5.53,1.0,Created,Job 1-10,,,
93,5.53,1.0,Put in Routing Class,Job 1-10,,15.0,
94,5.84,7.0,Created,Job 7-46,,,
95,5.84,7.0,Put in Routing Class,Job 7-46,,16.0,
96,5.98,2.0,Created,Job 2-34,,,
97,5.98,2.0,Put in Routing Class,Job 2-34,,17.0,
98,6.0,4.0,Work Finish,Job 4-3,Machine 0,,
99,6.0,4.0,Completed,Job 4-3,,,0
100,6.0,,Request Routing for Job,,Machine 0,17.0,
101,6.0,,Routing Start,,Machine 0,,3.675 Job 선택
102,6.0,8.0,Routing Finish,Job 8-59,Machine 0,,
103,6.0,8.0,Work Start,Job 8-59,Machine 0,,
104,6.06,5.0,Created,Job 5-52,,,
105,6.06,5.0,Put in Routing Class,Job 5-52,,17.0,
106,6.08,3.0,Created,Job 3-54,,,
107,6.08,3.0,Put in Routing Class,Job 3-54,,18.0,
108,6.27,9.0,Created,Job 9-6,,,
109,6.27,9.0,Put in Routing Class,Job 9-6,,19.0,
110,6.4,8.0,Created,Job 8-79,,,
111,6.4,8.0,Put in Routing Class,Job 8-79,,20.0,
112,6.59,6.0,Created,Job 6-28,,,
113,6.59,6.0,Put in Routing Class,Job 6-28,,21.0,
114,6.98,0.0,Work Finish,Job 0-17,Machine 6,,
115,6.98,0.0,Completed,Job 0-17,,,0
116,6.98,,Request Routing for Job,,Machine 6,21.0,
117,6.98,,Routing Start,,Machine 6,,3.675 Job 선택
118,6.98,3.0,Routing Finish,Job 3-21,Machine 6,,
119,6.98,3.0,Work Start,Job 3-21,Machine 6,,
120,7.03,0.0,Work Finish,Job 0-13,Machine 7,,
121,7.03,0.0,Completed,Job 0-13,,,0
122,7.03,,Request Routing for Job,,Machine 7,20.0,
123,7.03,,Routing Start,,Machine 7,,3.675 Job 선택
124,7.03,3.0,Routing Finish,Job 3-32,Machine 7,,
125,7.03,3.0,Work Start,Job 3-32,Machine 7,,
126,7.03,4.0,Created,Job 4-19,,,
127,7.03,4.0,Put in Routing Class,Job 4-19,,20.0,
128,7.1,7.0,Created,Job 7-80,,,
129,7.1,7.0,Put in Routing Class,Job 7-80,,21.0,
130,7.22,1.0,Created,Job 1-11,,,
131,7.22,1.0,Put in Routing Class,Job 1-11,,22.0,
132,7.36,2.0,Created,Job 2-41,,,
133,7.36,2.0,Put in Routing Class,Job 2-41,,23.0,
134,7.36,3.0,Created,Job 3-84,,,
135,7.36,3.0,Put in Routing Class,Job 3-84,,24.0,
136,7.49,8.0,Created,Job 8-104,,,
137,7.49,8.0,Put in Routing Class,Job 8-104,,25.0,
138,7.51,5.0,Created,Job 5-72,,,
139,7.51,5.0,Put in Routing Class,Job 5-72,,26.0,
140,7.81,6.0,Created,Job 6-35,,,
141,7.81,6.0,Put in Routing Class,Job 6-35,,27.0,
142,7.96,6.0,Work Finish,Job 6-2,Machine 2,,
143,7.96,6.0,Completed,Job 6-2,,,0
144,7.96,,Request Routing for Job,,Machine 2,27.0,
145,7.96,,Routing Start,,Machine 2,,3.675 Job 선택
146,7.96,3.0,Routing Finish,Job 3-54,Machine 2,,
147,7.96,3.0,Work Start,Job 3-54,Machine 2,,
148,8.38,4.0,Created,Job 4-40,,,
149,8.38,4.0,Put in Routing Class,Job 4-40,,27.0,
150,8.4,0.0,Created,Job 0-20,,,
151,8.4,0.0,Put in Routing Class,Job 0-20,,28.0,
152,8.41,3.0,Created,Job 3-85,,,
153,8.41,3.0,Put in Routing Class,Job 3-85,,29.0,
154,8.5,9.0,Created,Job 9-22,,,
155,8.5,9.0,Put in Routing Class,Job 9-22,,30.0,
156,8.51,3.0,Work Finish,Job 3-1,Machine 1,,
157,8.51,3.0,Completed,Job 3-1,,,0
158,8.51,,Request Routing for Job,,Machine 1,30.0,
159,8.51,,Routing Start,,Machine 1,,3.675 Job 선택
160,8.51,3.0,Routing Finish,Job 3-84,Machine 1,,
161,8.51,3.0,Work Start,Job 3-84,Machine 1,,
162,8.59,1.0,Created,Job 1-12,,,
163,8.59,1.0,Put in Routing Class,Job 1-12,,30.0,
164,9.07,7.0,Created,Job 7-95,,,
165,9.07,7.0,Put in Routing Class,Job 7-95,,31.0,
166,9.14,3.0,Work Finish,Job 3-21,Machine 6,,
167,9.14,3.0,Completed,Job 3-21,,,0
168,9.14,,Request Routing for Job,,Machine 6,31.0,
169,9.14,,Routing Start,,Machine 6,,3.675 Job 선택
170,9.14,0.0,Routing Finish,Job 0-20,Machine 6,,
171,9.14,0.0,Work Start,Job 0-20,Machine 6,,
172,9.68,2.0,Created,Job 2-49,,,
173,9.68,2.0,Put in Routing Class,Job 2-49,,31.0,
174,9.75,6.0,Created,Job 6-43,,,
175,9.75,6.0,Put in Routing Class,Job 6-43,,32.0,
176,10.08,4.0,Created,Job 4-45,,,
177,10.08,4.0,Put in Routing Class,Job 4-45,,33.0,
178,10.19,7.0,Created,Job 7-96,,,
179,10.19,7.0,Put in Routing Class,Job 7-96,,34.0,
180,10.27,8.0,Work Finish,Job 8-59,Machine 0,,
181,10.27,8.0,Completed,Job 8-59,,,0
182,10.27,,Request Routing for Job,,Machine 0,34.0,
183,10.27,,Routing Start,,Machine 0,,3.675 Job 선택
184,10.27,8.0,Routing Finish,Job 8-68,Machine 0,,
185,10.27,8.0,Work Start,Job 8-68,Machine 0,,
186,10.36,3.0,Created,Job 3-94,,,
187,10.36,3.0,Put in Routing Class,Job 3-94,,34.0,
188,10.8,0.0,Work Finish,Job 0-20,Machine 6,,
189,10.8,0.0,Completed,Job 0-20,,,0
190,10.8,,Request Routing for Job,,Machine 6,34.0,
191,10.8,,Routing Start,,Machine 6,,3.675 Job 선택
192,10.8,3.0,Routing Finish,Job 3-85,Machine 6,,
193,10.8,3.0,Work Start,Job 3-85,Machine 6,,
194,11.14,8.0,Work Finish,Job 8-9,Machine 5,,
195,11.14,8.0,Completed,Job 8-9,,,0
196,11.14,,Request Routing for Job,,Machine 5,33.0,
197,11.14,,Routing Start,,Machine 5,,3.675 Job 선택
198,11.14,4.0,Routing Finish,Job 4-18,Machine 5,,
199,11.14,4.0,Work Start,Job 4-18,Machine 5,,
200,11.21,4.0,Created,Job 4-66,,,
201,11.21,4.0,Put in Routing Class,Job 4-66,,33.0,
202,11.31,8.0,Created,Job 8-106,,,
203,11.31,8.0,Put in Routing Class,Job 8-106,,34.0,
204,11.43,0.0,Created,Job 0-23,,,
205,11.43,0.0,Put in Routing Class,Job 0-23,,35.0,
206,11.49,3.0,Created,Job 3-98,,,
207,11.49,3.0,Put in Routing Class,Job 3-98,,36.0,
208,11.57,9.0,Created,Job 9-31,,,
209,11.57,9.0,Put in Routing Class,Job 9-31,,37.0,
210,12.1,7.0,Created,Job 7-109,,,
211,12.1,7.0,Put in Routing Class,Job 7-109,,38.0,
212,12.19,5.0,Created,Job 5-73,,,
213,12.19,5.0,Put in Routing Class,Job 5-73,,39.0,
214,12.52,2.0,Created,Job 2-50,,,
215,12.52,2.0,Put in Routing Class,Job 2-50,,40.0,
216,12.97,3.0,Work Finish,Job 3-85,Machine 6,,
217,12.97,3.0,Completed,Job 3-85,,,0
218,12.97,,Request Routing for Job,,Machine 6,40.0,
219,12.97,,Routing Start,,Machine 6,,3.675 Job 선택
220,12.97,0.0,Routing Finish,Job 0-23,Machine 6,,
221,12.97,0.0,Work Start,Job 0-23,Machine 6,,
222,13.1,4.0,Work Finish,Job 4-18,Machine 5,,
223,13.1,4.0,Completed,Job 4-18,,,0
224,13.1,,Request Routing for Job,,Machine 5,39.0,
225,13.1,,Routing Start,,Machine 5,,3.675 Job 선택
226,13.1,3.0,Routing Finish,Job 3-94,Machine 5,,
227,13.1,3.0,Work Start,Job 3-94,Machine 5,,
228,13.17,7.0,Created,Job 7-117,,,
229,13.17,7.0,Put in Routing Class,Job 7-117,,39.0,
230,13.22,9.0,Created,Job 9-33,,,
231,13.22,9.0,Put in Routing Class,Job 9-33,,40.0,
232,13.37,8.0,Created,Job 8-107,,,
233,13.37,8.0,Put in Routing Class,Job 8-107,,41.0,
234,13.49,0.0,Created,Job 0-24,,,
235,13.49,0.0,Put in Routing Class,Job 0-24,,42.0,
236,13.56,5.0,Created,Job 5-75,,,
237,13.56,5.0,Put in Routing Class,Job 5-75,,43.0,
238,13.57,1.0,Work Finish,Job 1-8,Machine 4,,
239,13.57,1.0,Completed,Job 1-8,,,3.67005517100168
240,13.57,,Request Routing for Job,,Machine 4,43.0,
241,13.57,,Routing Start,,Machine 4,,3.675 Job 선택
242,13.57,7.0,Routing Finish,Job 7-39,Machine 4,,
243,13.57,7.0,Work Start,Job 7-39,Machine 4,,
244,13.58,4.0,Created,Job 4-77,,,
245,13.58,4.0,Put in Routing Class,Job 4-77,,43.0,
246,13.7,2.0,Created,Job 2-62,,,
247,13.7,2.0,Put in Routing Class,Job 2-62,,44.0,
248,14.0,1.0,Created,Job 1-30,,,
249,14.0,1.0,Put in Routing Class,Job 1-30,,45.0,
250,14.12,3.0,Created,Job 3-112,,,
251,14.12,3.0,Put in Routing Class,Job 3-112,,46.0,
252,14.55,8.0,Work Finish,Job 8-68,Machine 0,,
253,14.55,8.0,Completed,Job 8-68,,,0
254,14.55,,Request Routing for Job,,Machine 0,46.0,
255,14.55,,Routing Start,,Machine 0,,3.675 Job 선택
256,14.55,0.0,Routing Finish,Job 0-24,Machine 0,,
257,14.55,0.0,Work Start,Job 0-24,Machine 0,,
258,14.63,0.0,Work Finish,Job 0-23,Machine 6,,
259,14.63,0.0,Completed,Job 0-23,,,0
260,14.63,,Request Routing for Job,,Machine 6,45.0,
261,14.63,,Routing Start,,Machine 6,,3.675 Job 선택
262,14.63,3.0,Routing Finish,Job 3-98,Machine 6,,
263,14.63,3.0,Work Start,Job 3-98,Machine 6,,
264,14.64,4.0,Created,Job 4-126,,,
265,14.64,4.0,Put in Routing Class,Job 4-126,,45.0,
266,14.65,8.0,Created,Job 8-110,,,
267,14.65,8.0,Put in Routing Class,Job 8-110,,46.0,
268,14.73,6.0,Created,Job 6-51,,,
269,14.73,6.0,Put in Routing Class,Job 6-51,,47.0,
270,14.85,7.0,Created,Job 7-118,,,
271,14.85,7.0,Put in Routing Class,Job 7-118,,48.0,
272,14.87,9.0,Created,Job 9-42,,,
273,14.87,9.0,Put in Routing Class,Job 9-42,,49.0,
274,15.14,3.0,Work Finish,Job 3-32,Machine 7,,
275,15.14,3.0,Completed,Job 3-32,,,0.6454496482483805
276,15.14,,Request Routing for Job,,Machine 7,49.0,
277,15.14,,Routing Start,,Machine 7,,3.675 Job 선택
278,15.14,5.0,Routing Finish,Job 5-15,Machine 7,,
279,15.14,5.0,Work Start,Job 5-15,Machine 7,,
280,15.25,3.0,Work Finish,Job 3-54,Machine 2,,
281,15.25,3.0,Completed,Job 3-54,,,0
282,15.25,,Request Routing for Job,,Machine 2,48.0,
283,15.25,,Routing Start,,Machine 2,,3.675 Job 선택
284,15.25,7.0,Routing Finish,Job 7-46,Machine 2,,
285,15.25,7.0,Work Start,Job 7-46,Machine 2,,
286,15.32,7.0,Work Finish,Job 7-39,Machine 4,,
287,15.32,7.0,Completed,Job 7-39,,,2.219815134745968
288,15.32,,Request Routing for Job,,Machine 4,47.0,
289,15.32,,Routing Start,,Machine 4,,3.675 Job 선택
290,15.32,7.0,Routing Finish,Job 7-80,Machine 4,,
291,15.32,7.0,Work Start,Job 7-80,Machine 4,,
292,15.34,3.0,Created,Job 3-113,,,
293,15.34,3.0,Put in Routing Class,Job 3-113,,47.0,
294,15.41,1.0,Created,Job 1-38,,,
295,15.41,1.0,Put in Routing Class,Job 1-38,,48.0,
296,15.63,3.0,Work Finish,Job 3-84,Machine 1,,
297,15.63,3.0,Completed,Job 3-84,,,0
298,15.63,,Request Routing for Job,,Machine 1,48.0,
