,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.14,7.0,Created,Job 7-3,,,
1,1.14,7.0,Put in Routing Class,Job 7-3,,1.0,
2,1.14,7.0,Routing Start,Job 7-3,,,"3.675,  machine 선택"
3,1.14,7.0,Routing Finish,Job 7-3,Machine 7,,
4,1.14,7.0,Work Start,Job 7-3,Machine 7,,
5,1.4,4.0,Created,Job 4-2,,,
6,1.4,4.0,Put in Routing Class,Job 4-2,,1.0,
7,1.4,4.0,Routing Start,Job 4-2,,,"3.675,  machine 선택"
8,1.4,4.0,Routing Finish,Job 4-2,Machine 6,,
9,1.4,4.0,Work Start,Job 4-2,Machine 6,,
10,1.45,3.0,Created,Job 3-13,,,
11,1.45,3.0,Put in Routing Class,Job 3-13,,1.0,
12,1.45,3.0,Routing Start,Job 3-13,,,"3.675,  machine 선택"
13,1.45,3.0,Routing Finish,Job 3-13,Machine 1,,
14,1.45,3.0,Work Start,Job 3-13,Machine 1,,
15,1.51,6.0,Created,Job 6-5,,,
16,1.51,6.0,Put in Routing Class,Job 6-5,,1.0,
17,1.51,6.0,Routing Start,Job 6-5,,,"3.675,  machine 선택"
18,1.51,6.0,Routing Finish,Job 6-5,Machine 4,,
19,1.51,6.0,Work Start,Job 6-5,Machine 4,,
20,1.7,5.0,Created,Job 5-9,,,
21,1.7,5.0,Put in Routing Class,Job 5-9,,1.0,
22,1.7,5.0,Routing Start,Job 5-9,,,"3.675,  machine 선택"
23,1.7,5.0,Routing Finish,Job 5-9,Machine 2,,
24,1.7,5.0,Work Start,Job 5-9,Machine 2,,
25,1.93,8.0,Created,Job 8-24,,,
26,1.93,8.0,Put in Routing Class,Job 8-24,,1.0,
27,1.93,8.0,Routing Start,Job 8-24,,,"3.675,  machine 선택"
28,1.93,8.0,Routing Finish,Job 8-24,Machine 3,,
29,1.93,8.0,Work Start,Job 8-24,Machine 3,,
30,2.42,1.0,Created,Job 1-0,,,
31,2.42,1.0,Put in Routing Class,Job 1-0,,1.0,
32,2.42,1.0,Routing Start,Job 1-0,,,"3.675,  machine 선택"
33,2.42,1.0,Routing Finish,Job 1-0,Machine 5,,
