,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.11,4.0,Created,Job 4-4,,,
1,1.11,4.0,Put in Routing Class,Job 4-4,,1.0,
2,1.11,4.0,Routing Start,Job 4-4,,,"3.675,  machine 선택"
3,1.11,4.0,Routing Finish,Job 4-4,Machine 6,,
4,1.11,4.0,Work Start,Job 4-4,Machine 6,,
5,1.29,9.0,Created,Job 9-2,,,
6,1.29,9.0,Put in Routing Class,Job 9-2,,1.0,
7,1.29,9.0,Routing Start,Job 9-2,,,"3.675,  machine 선택"
8,1.29,9.0,Routing Finish,Job 9-2,Machine 2,,
9,1.29,9.0,Work Start,Job 9-2,Machine 2,,
10,1.38,3.0,Created,Job 3-5,,,
11,1.38,3.0,Put in Routing Class,Job 3-5,,1.0,
12,1.38,3.0,Routing Start,Job 3-5,,,"3.675,  machine 선택"
13,1.38,3.0,Routing Finish,Job 3-5,Machine 3,,
14,1.38,3.0,Work Start,Job 3-5,Machine 3,,
15,1.43,6.0,Created,Job 6-6,,,
16,1.43,6.0,Put in Routing Class,Job 6-6,,1.0,
17,1.43,6.0,Routing Start,Job 6-6,,,"3.675,  machine 선택"
18,1.43,6.0,Routing Finish,Job 6-6,Machine 1,,
19,1.43,6.0,Work Start,Job 6-6,Machine 1,,
20,1.52,8.0,Created,Job 8-25,,,
21,1.52,8.0,Put in Routing Class,Job 8-25,,1.0,
22,1.52,8.0,Routing Start,Job 8-25,,,"3.675,  machine 선택"
23,1.52,8.0,Routing Finish,Job 8-25,Machine 4,,
24,1.52,8.0,Work Start,Job 8-25,Machine 4,,
25,1.6,7.0,Created,Job 7-9,,,
26,1.6,7.0,Put in Routing Class,Job 7-9,,1.0,
27,1.6,7.0,Routing Start,Job 7-9,,,"3.675,  machine 선택"
28,1.6,7.0,Routing Finish,Job 7-9,Machine 7,,
29,1.6,7.0,Work Start,Job 7-9,Machine 7,,
30,1.68,5.0,Created,Job 5-1,,,
31,1.68,5.0,Put in Routing Class,Job 5-1,,1.0,
32,1.68,5.0,Routing Start,Job 5-1,,,"3.675,  machine 선택"
33,1.68,5.0,Routing Finish,Job 5-1,Machine 5,,
34,1.68,5.0,Work Start,Job 5-1,Machine 5,,
35,2.08,2.0,Created,Job 2-17,,,
36,2.08,2.0,Put in Routing Class,Job 2-17,,1.0,
37,2.08,2.0,Routing Start,Job 2-17,,,"3.675,  machine 선택"
38,2.08,2.0,Routing Finish,Job 2-17,Machine 0,,
39,2.08,2.0,Work Start,Job 2-17,Machine 0,,
40,2.59,6.0,Created,Job 6-8,,,
41,2.59,6.0,Put in Routing Class,Job 6-8,,1.0,
42,3.28,5.0,Created,Job 5-23,,,
43,3.28,5.0,Put in Routing Class,Job 5-23,,2.0,
44,3.39,9.0,Created,Job 9-24,,,
45,3.39,9.0,Put in Routing Class,Job 9-24,,3.0,
46,3.58,1.0,Created,Job 1-0,,,
47,3.58,1.0,Put in Routing Class,Job 1-0,,4.0,
48,3.76,8.0,Created,Job 8-27,,,
49,3.76,8.0,Put in Routing Class,Job 8-27,,5.0,
50,4.37,6.0,Created,Job 6-10,,,
51,4.37,6.0,Put in Routing Class,Job 6-10,,6.0,
52,4.38,3.0,Created,Job 3-7,,,
53,4.38,3.0,Put in Routing Class,Job 3-7,,7.0,
54,4.58,7.0,Created,Job 7-16,,,
55,4.58,7.0,Put in Routing Class,Job 7-16,,8.0,
56,4.84,0.0,Created,Job 0-12,,,
