,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.01,1.0,Created,Job 1-2,,,
1,1.01,1.0,Put in Routing Class,Job 1-2,,1.0,
2,1.01,1.0,Routing Start,Job 1-2,,,"3.675,  machine 선택"
3,1.01,1.0,Routing Finish,Job 1-2,Machine 3,,
4,1.01,1.0,Work Start,Job 1-2,Machine 3,,
5,1.02,9.0,Created,Job 9-1,,,
6,1.02,9.0,Put in Routing Class,Job 9-1,,1.0,
7,1.02,9.0,Routing Start,Job 9-1,,,"3.675,  machine 선택"
8,1.02,9.0,Routing Finish,Job 9-1,Machine 1,,
9,1.02,9.0,Work Start,Job 9-1,Machine 1,,
10,1.49,8.0,Created,Job 8-4,,,
11,1.49,8.0,Put in Routing Class,Job 8-4,,1.0,
12,1.49,8.0,Routing Start,Job 8-4,,,"3.675,  machine 선택"
13,1.49,8.0,Routing Finish,Job 8-4,Machine 0,,
14,1.49,8.0,Work Start,Job 8-4,Machine 0,,
15,1.85,7.0,Created,Job 7-0,,,
16,1.85,7.0,Put in Routing Class,Job 7-0,,1.0,
17,1.85,7.0,Routing Start,Job 7-0,,,"3.675,  machine 선택"
18,1.85,7.0,Routing Finish,Job 7-0,Machine 6,,
19,1.85,7.0,Work Start,Job 7-0,Machine 6,,
20,2.52,2.0,Created,Job 2-7,,,
21,2.52,2.0,Put in Routing Class,Job 2-7,,1.0,
22,2.52,2.0,Routing Start,Job 2-7,,,"3.675,  machine 선택"
23,2.52,2.0,Routing Finish,Job 2-7,Machine 5,,
24,2.52,2.0,Work Start,Job 2-7,Machine 5,,
25,2.6,4.0,Created,Job 4-3,,,
26,2.6,4.0,Put in Routing Class,Job 4-3,,1.0,
27,2.6,4.0,Routing Start,Job 4-3,,,"3.675,  machine 선택"
28,2.6,4.0,Routing Finish,Job 4-3,Machine 7,,
29,2.6,4.0,Work Start,Job 4-3,Machine 7,,
30,3.13,8.0,Created,Job 8-16,,,
31,3.13,8.0,Put in Routing Class,Job 8-16,,1.0,
32,3.13,8.0,Routing Start,Job 8-16,,,"3.675,  machine 선택"
33,3.13,8.0,Routing Finish,Job 8-16,Machine 2,,
34,3.13,8.0,Work Start,Job 8-16,Machine 2,,
35,3.23,0.0,Created,Job 0-34,,,
36,3.23,0.0,Put in Routing Class,Job 0-34,,1.0,
37,3.23,0.0,Routing Start,Job 0-34,,,"3.675,  machine 선택"
38,3.23,0.0,Routing Finish,Job 0-34,Machine 4,,
39,3.23,0.0,Work Start,Job 0-34,Machine 4,,
40,3.88,9.0,Created,Job 9-27,,,
41,3.88,9.0,Put in Routing Class,Job 9-27,,1.0,
42,4.07,2.0,Created,Job 2-15,,,
43,4.07,2.0,Put in Routing Class,Job 2-15,,2.0,
44,4.21,8.0,Created,Job 8-33,,,
45,4.21,8.0,Put in Routing Class,Job 8-33,,3.0,
46,4.54,5.0,Created,Job 5-36,,,
47,4.54,5.0,Put in Routing Class,Job 5-36,,4.0,
48,4.93,9.0,Work Finish,Job 9-1,Machine 1,,
49,4.93,9.0,Completed,Job 9-1,,,0
50,4.93,,Request Routing for Job,,Machine 1,4.0,
51,4.93,,Routing Start,,Machine 1,,3.675 Job 선택
52,4.93,8.0,Routing Finish,Job 8-33,Machine 1,,
