,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.15,2.0,Created,Job 2-16,,,
1,1.15,2.0,Put in Routing Class,Job 2-16,,1.0,
2,1.15,2.0,Routing Start,Job 2-16,,,"3.675,  machine 선택"
3,1.15,2.0,Routing Finish,Job 2-16,Machine 7,,
4,1.15,2.0,Work Start,Job 2-16,Machine 7,,
5,1.29,1.0,Created,Job 1-6,,,
6,1.29,1.0,Put in Routing Class,Job 1-6,,1.0,
7,1.29,1.0,Routing Start,Job 1-6,,,"3.675,  machine 선택"
8,1.29,1.0,Routing Finish,Job 1-6,Machine 0,,
9,1.29,1.0,Work Start,Job 1-6,Machine 0,,
10,1.41,6.0,Created,Job 6-37,,,
11,1.41,6.0,Put in Routing Class,Job 6-37,,1.0,
12,1.41,6.0,Routing Start,Job 6-37,,,"3.675,  machine 선택"
13,1.41,6.0,Routing Finish,Job 6-37,Machine 2,,
14,1.41,6.0,Work Start,Job 6-37,Machine 2,,
15,1.45,4.0,Created,Job 4-2,,,
16,1.45,4.0,Put in Routing Class,Job 4-2,,1.0,
17,1.45,4.0,Routing Start,Job 4-2,,,"3.675,  machine 선택"
18,1.45,4.0,Routing Finish,Job 4-2,Machine 6,,
19,1.45,4.0,Work Start,Job 4-2,Machine 6,,
20,1.59,3.0,Created,Job 3-3,,,
21,1.59,3.0,Put in Routing Class,Job 3-3,,1.0,
22,1.59,3.0,Routing Start,Job 3-3,,,"3.675,  machine 선택"
23,1.59,3.0,Routing Finish,Job 3-3,Machine 3,,
24,1.59,3.0,Work Start,Job 3-3,Machine 3,,
25,1.63,5.0,Created,Job 5-12,,,
26,1.63,5.0,Put in Routing Class,Job 5-12,,1.0,
27,1.63,5.0,Routing Start,Job 5-12,,,"3.675,  machine 선택"
28,1.63,5.0,Routing Finish,Job 5-12,Machine 5,,
29,1.63,5.0,Work Start,Job 5-12,Machine 5,,
30,1.73,0.0,Created,Job 0-1,,,
31,1.73,0.0,Put in Routing Class,Job 0-1,,1.0,
32,1.73,0.0,Routing Start,Job 0-1,,,"3.675,  machine 선택"
33,1.73,0.0,Routing Finish,Job 0-1,Machine 1,,
34,1.73,0.0,Work Start,Job 0-1,Machine 1,,
35,2.69,6.0,Created,Job 6-44,,,
36,2.69,6.0,Put in Routing Class,Job 6-44,,1.0,
37,2.69,6.0,Routing Start,Job 6-44,,,"3.675,  machine 선택"
38,2.69,6.0,Routing Finish,Job 6-44,Machine 4,,
39,2.69,6.0,Work Start,Job 6-44,Machine 4,,
40,2.7,8.0,Created,Job 8-33,,,
41,2.7,8.0,Put in Routing Class,Job 8-33,,1.0,
42,2.73,2.0,Created,Job 2-26,,,
43,2.73,2.0,Put in Routing Class,Job 2-26,,2.0,
44,2.76,4.0,Created,Job 4-7,,,
45,2.76,4.0,Put in Routing Class,Job 4-7,,3.0,
46,2.89,3.0,Created,Job 3-14,,,
47,2.89,3.0,Put in Routing Class,Job 3-14,,4.0,
48,2.97,1.0,Created,Job 1-10,,,
49,2.97,1.0,Put in Routing Class,Job 1-10,,5.0,
50,3.28,5.0,Created,Job 5-18,,,
51,3.28,5.0,Put in Routing Class,Job 5-18,,6.0,
52,3.43,1.0,Work Finish,Job 1-6,Machine 0,,
53,3.43,1.0,Completed,Job 1-6,,,0
54,3.43,,Request Routing for Job,,Machine 0,6.0,
55,3.43,,Routing Start,,Machine 0,,3.675 Job 선택
56,3.43,3.0,Routing Finish,Job 3-14,Machine 0,,
57,3.43,3.0,Work Start,Job 3-14,Machine 0,,
58,3.7,7.0,Created,Job 7-4,,,
59,3.7,7.0,Put in Routing Class,Job 7-4,,6.0,
60,3.79,9.0,Created,Job 9-0,,,
61,3.79,9.0,Put in Routing Class,Job 9-0,,7.0,
62,4.21,3.0,Created,Job 3-19,,,
63,4.21,3.0,Put in Routing Class,Job 3-19,,8.0,
64,4.34,5.0,Work Finish,Job 5-12,Machine 5,,
65,4.34,5.0,Completed,Job 5-12,,,0
66,4.34,,Request Routing for Job,,Machine 5,8.0,
67,4.34,,Routing Start,,Machine 5,,3.675 Job 선택
68,4.34,5.0,Routing Finish,Job 5-18,Machine 5,,
69,4.34,5.0,Work Start,Job 5-18,Machine 5,,
70,4.58,5.0,Created,Job 5-20,,,
