,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.15,5.0,Created,Job 5-23,,,
1,1.15,5.0,Put in Routing Class,Job 5-23,,1.0,
2,1.15,5.0,Routing Start,Job 5-23,,,"3.675,  machine 선택"
3,1.15,5.0,Routing Finish,Job 5-23,Machine 0,,
4,1.15,5.0,Work Start,Job 5-23,Machine 0,,
5,1.26,2.0,Created,Job 2-0,,,
6,1.26,2.0,Put in Routing Class,Job 2-0,,1.0,
7,1.26,2.0,Routing Start,Job 2-0,,,"3.675,  machine 선택"
8,1.26,2.0,Routing Finish,Job 2-0,Machine 2,,
9,1.26,2.0,Work Start,Job 2-0,Machine 2,,
10,1.29,0.0,Created,Job 0-5,,,
11,1.29,0.0,Put in Routing Class,Job 0-5,,1.0,
12,1.29,0.0,Routing Start,Job 0-5,,,"3.675,  machine 선택"
13,1.29,0.0,Routing Finish,Job 0-5,Machine 3,,
14,1.29,0.0,Work Start,Job 0-5,Machine 3,,
15,1.29,7.0,Created,Job 7-4,,,
16,1.29,7.0,Put in Routing Class,Job 7-4,,1.0,
17,1.29,7.0,Routing Start,Job 7-4,,,"3.675,  machine 선택"
18,1.29,7.0,Routing Finish,Job 7-4,Machine 1,,
19,1.29,7.0,Work Start,Job 7-4,Machine 1,,
20,1.48,9.0,Created,Job 9-8,,,
21,1.48,9.0,Put in Routing Class,Job 9-8,,1.0,
22,1.48,9.0,Routing Start,Job 9-8,,,"3.675,  machine 선택"
23,1.48,9.0,Routing Finish,Job 9-8,Machine 6,,
24,1.48,9.0,Work Start,Job 9-8,Machine 6,,
25,2.11,1.0,Created,Job 1-3,,,
26,2.11,1.0,Put in Routing Class,Job 1-3,,1.0,
27,2.11,1.0,Routing Start,Job 1-3,,,"3.675,  machine 선택"
28,2.11,1.0,Routing Finish,Job 1-3,Machine 5,,
29,2.11,1.0,Work Start,Job 1-3,Machine 5,,
30,2.44,2.0,Created,Job 2-16,,,
31,2.44,2.0,Put in Routing Class,Job 2-16,,1.0,
32,2.44,2.0,Routing Start,Job 2-16,,,"3.675,  machine 선택"
33,2.44,2.0,Routing Finish,Job 2-16,Machine 7,,
34,2.44,2.0,Work Start,Job 2-16,Machine 7,,
35,2.75,7.0,Created,Job 7-18,,,
36,2.75,7.0,Put in Routing Class,Job 7-18,,1.0,
37,2.75,7.0,Routing Start,Job 7-18,,,"3.675,  machine 선택"
38,2.75,7.0,Routing Finish,Job 7-18,Machine 4,,
39,2.75,7.0,Work Start,Job 7-18,Machine 4,,
40,3.09,4.0,Created,Job 4-2,,,
41,3.09,4.0,Put in Routing Class,Job 4-2,,1.0,
42,3.24,5.0,Created,Job 5-39,,,
43,3.24,5.0,Put in Routing Class,Job 5-39,,2.0,
44,3.37,8.0,Created,Job 8-22,,,
45,3.37,8.0,Put in Routing Class,Job 8-22,,3.0,
46,3.39,9.0,Created,Job 9-13,,,
47,3.39,9.0,Put in Routing Class,Job 9-13,,4.0,
48,3.61,0.0,Created,Job 0-11,,,
49,3.61,0.0,Put in Routing Class,Job 0-11,,5.0,
50,4.54,4.0,Created,Job 4-9,,,
51,4.54,4.0,Put in Routing Class,Job 4-9,,6.0,
52,4.56,2.0,Work Finish,Job 2-16,Machine 7,,
53,4.56,2.0,Completed,Job 2-16,,,0
54,4.56,,Request Routing for Job,,Machine 7,6.0,
55,4.56,,Routing Start,,Machine 7,,3.675 Job 선택
56,4.56,8.0,Routing Finish,Job 8-22,Machine 7,,
57,4.56,8.0,Work Start,Job 8-22,Machine 7,,
58,4.72,1.0,Created,Job 1-14,,,
59,4.72,1.0,Put in Routing Class,Job 1-14,,6.0,
60,4.79,0.0,Created,Job 0-41,,,
61,4.79,0.0,Put in Routing Class,Job 0-41,,7.0,
62,4.83,6.0,Created,Job 6-1,,,
63,4.83,6.0,Put in Routing Class,Job 6-1,,8.0,
64,4.99,7.0,Work Finish,Job 7-4,Machine 1,,
65,4.99,7.0,Completed,Job 7-4,,,0
66,4.99,,Request Routing for Job,,Machine 1,8.0,
67,4.99,,Routing Start,,Machine 1,,3.675 Job 선택
68,4.99,9.0,Routing Finish,Job 9-13,Machine 1,,
69,4.99,9.0,Work Start,Job 9-13,Machine 1,,
70,5.01,2.0,Work Finish,Job 2-0,Machine 2,,
71,5.01,2.0,Completed,Job 2-0,,,0
72,5.01,,Request Routing for Job,,Machine 2,7.0,
73,5.01,,Routing Start,,Machine 2,,3.675 Job 선택
74,5.01,5.0,Routing Finish,Job 5-39,Machine 2,,
75,5.01,5.0,Work Start,Job 5-39,Machine 2,,
76,5.26,5.0,Created,Job 5-44,,,
77,5.26,5.0,Put in Routing Class,Job 5-44,,7.0,
78,5.56,5.0,Work Finish,Job 5-23,Machine 0,,
79,5.56,5.0,Completed,Job 5-23,,,0
80,5.56,,Request Routing for Job,,Machine 0,7.0,
81,5.56,,Routing Start,,Machine 0,,3.675 Job 선택
82,5.56,5.0,Routing Finish,Job 5-44,Machine 0,,
83,5.56,5.0,Work Start,Job 5-44,Machine 0,,
84,5.7,8.0,Created,Job 8-24,,,
85,5.7,8.0,Put in Routing Class,Job 8-24,,7.0,
86,5.87,0.0,Created,Job 0-51,,,
87,5.87,0.0,Put in Routing Class,Job 0-51,,8.0,
88,5.92,3.0,Created,Job 3-6,,,
89,5.92,3.0,Put in Routing Class,Job 3-6,,9.0,
90,5.99,2.0,Created,Job 2-26,,,
91,5.99,2.0,Put in Routing Class,Job 2-26,,10.0,
92,6.0,7.0,Work Finish,Job 7-18,Machine 4,,
93,6.0,7.0,Completed,Job 7-18,,,0
94,6.0,,Request Routing for Job,,Machine 4,10.0,
95,6.0,,Routing Start,,Machine 4,,3.675 Job 선택
96,6.0,8.0,Routing Finish,Job 8-24,Machine 4,,
97,6.0,8.0,Work Start,Job 8-24,Machine 4,,
98,6.12,7.0,Created,Job 7-20,,,
99,6.12,7.0,Put in Routing Class,Job 7-20,,10.0,
100,6.15,1.0,Created,Job 1-21,,,
101,6.15,1.0,Put in Routing Class,Job 1-21,,11.0,
102,6.18,9.0,Work Finish,Job 9-13,Machine 1,,
103,6.18,9.0,Completed,Job 9-13,,,0
104,6.18,,Request Routing for Job,,Machine 1,11.0,
105,6.18,,Routing Start,,Machine 1,,3.675 Job 선택
106,6.18,7.0,Routing Finish,Job 7-20,Machine 1,,
107,6.18,7.0,Work Start,Job 7-20,Machine 1,,
108,6.7,8.0,Created,Job 8-33,,,
109,6.7,8.0,Put in Routing Class,Job 8-33,,11.0,
110,6.85,5.0,Created,Job 5-59,,,
111,6.85,5.0,Put in Routing Class,Job 5-59,,12.0,
112,7.21,2.0,Created,Job 2-46,,,
113,7.21,2.0,Put in Routing Class,Job 2-46,,13.0,
114,7.28,0.0,Created,Job 0-61,,,
115,7.28,0.0,Put in Routing Class,Job 0-61,,14.0,
116,7.29,0.0,Work Finish,Job 0-5,Machine 3,,
117,7.29,0.0,Completed,Job 0-5,,,0
118,7.29,,Request Routing for Job,,Machine 3,14.0,
119,7.29,,Routing Start,,Machine 3,,3.675 Job 선택
120,7.29,6.0,Routing Finish,Job 6-1,Machine 3,,
121,7.29,6.0,Work Start,Job 6-1,Machine 3,,
122,7.36,4.0,Created,Job 4-17,,,
123,7.36,4.0,Put in Routing Class,Job 4-17,,14.0,
124,7.9,1.0,Created,Job 1-43,,,
125,7.9,1.0,Put in Routing Class,Job 1-43,,15.0,
126,7.91,1.0,Work Finish,Job 1-3,Machine 5,,
127,7.91,1.0,Completed,Job 1-3,,,0
128,7.91,,Request Routing for Job,,Machine 5,15.0,
129,7.91,,Routing Start,,Machine 5,,3.675 Job 선택
130,7.91,8.0,Routing Finish,Job 8-33,Machine 5,,
131,7.91,8.0,Work Start,Job 8-33,Machine 5,,
132,7.98,9.0,Created,Job 9-15,,,
133,7.98,9.0,Put in Routing Class,Job 9-15,,15.0,
134,8.36,6.0,Created,Job 6-12,,,
135,8.36,6.0,Put in Routing Class,Job 6-12,,16.0,
136,8.53,5.0,Created,Job 5-80,,,
137,8.53,5.0,Put in Routing Class,Job 5-80,,17.0,
138,8.55,4.0,Created,Job 4-27,,,
139,8.55,4.0,Put in Routing Class,Job 4-27,,18.0,
140,8.84,8.0,Created,Job 8-42,,,
141,8.84,8.0,Put in Routing Class,Job 8-42,,19.0,
142,8.96,8.0,Work Finish,Job 8-33,Machine 5,,
143,8.96,8.0,Completed,Job 8-33,,,0
144,8.96,,Request Routing for Job,,Machine 5,19.0,
145,8.96,,Routing Start,,Machine 5,,3.675 Job 선택
146,8.96,8.0,Routing Finish,Job 8-42,Machine 5,,
147,8.96,8.0,Work Start,Job 8-42,Machine 5,,
148,8.99,7.0,Created,Job 7-31,,,
149,8.99,7.0,Put in Routing Class,Job 7-31,,19.0,
150,9.34,9.0,Work Finish,Job 9-8,Machine 6,,
151,9.34,9.0,Completed,Job 9-8,,,0
152,9.34,,Request Routing for Job,,Machine 6,19.0,
153,9.34,,Routing Start,,Machine 6,,3.675 Job 선택
154,9.34,5.0,Routing Finish,Job 5-59,Machine 6,,
155,9.34,5.0,Work Start,Job 5-59,Machine 6,,
156,9.39,0.0,Created,Job 0-97,,,
157,9.39,0.0,Put in Routing Class,Job 0-97,,19.0,
158,9.62,6.0,Created,Job 6-30,,,
159,9.62,6.0,Put in Routing Class,Job 6-30,,20.0,
160,9.88,1.0,Created,Job 1-72,,,
161,9.88,1.0,Put in Routing Class,Job 1-72,,21.0,
162,9.88,7.0,Work Finish,Job 7-20,Machine 1,,
163,9.88,7.0,Completed,Job 7-20,,,0
164,9.88,,Request Routing for Job,,Machine 1,21.0,
165,9.88,,Routing Start,,Machine 1,,3.675 Job 선택
166,9.88,9.0,Routing Finish,Job 9-15,Machine 1,,
167,9.88,9.0,Work Start,Job 9-15,Machine 1,,
168,9.91,4.0,Created,Job 4-28,,,
169,9.91,4.0,Put in Routing Class,Job 4-28,,21.0,
170,9.93,2.0,Created,Job 2-69,,,
171,9.93,2.0,Put in Routing Class,Job 2-69,,22.0,
172,9.96,5.0,Work Finish,Job 5-44,Machine 0,,
173,9.96,5.0,Completed,Job 5-44,,,0
174,9.96,,Request Routing for Job,,Machine 0,22.0,
175,9.96,,Routing Start,,Machine 0,,3.675 Job 선택
176,9.96,5.0,Routing Finish,Job 5-80,Machine 0,,
177,9.96,5.0,Work Start,Job 5-80,Machine 0,,
178,10.0,8.0,Work Finish,Job 8-42,Machine 5,,
179,10.0,8.0,Completed,Job 8-42,,,0
180,10.0,,Request Routing for Job,,Machine 5,21.0,
181,10.0,,Routing Start,,Machine 5,,3.675 Job 선택
182,10.0,1.0,Routing Finish,Job 1-14,Machine 5,,
183,10.0,1.0,Work Start,Job 1-14,Machine 5,,
184,10.64,5.0,Created,Job 5-82,,,
185,10.64,5.0,Put in Routing Class,Job 5-82,,21.0,
186,10.66,0.0,Created,Job 0-118,,,
187,10.66,0.0,Put in Routing Class,Job 0-118,,22.0,
188,10.69,9.0,Created,Job 9-19,,,
189,10.69,9.0,Put in Routing Class,Job 9-19,,23.0,
190,11.0,4.0,Created,Job 4-32,,,
191,11.0,4.0,Put in Routing Class,Job 4-32,,24.0,
192,11.02,3.0,Created,Job 3-7,,,
193,11.02,3.0,Put in Routing Class,Job 3-7,,25.0,
194,11.05,6.0,Work Finish,Job 6-1,Machine 3,,
195,11.05,6.0,Completed,Job 6-1,,,0
196,11.05,,Request Routing for Job,,Machine 3,25.0,
197,11.05,,Routing Start,,Machine 3,,3.675 Job 선택
198,11.05,6.0,Routing Finish,Job 6-12,Machine 3,,
199,11.05,6.0,Work Start,Job 6-12,Machine 3,,
200,11.07,9.0,Work Finish,Job 9-15,Machine 1,,
201,11.07,9.0,Completed,Job 9-15,,,0
202,11.07,,Request Routing for Job,,Machine 1,24.0,
203,11.07,,Routing Start,,Machine 1,,3.675 Job 선택
204,11.07,9.0,Routing Finish,Job 9-19,Machine 1,,
205,11.07,9.0,Work Start,Job 9-19,Machine 1,,
206,11.34,2.0,Created,Job 2-89,,,
207,11.34,2.0,Put in Routing Class,Job 2-89,,24.0,
208,11.56,6.0,Created,Job 6-34,,,
209,11.56,6.0,Put in Routing Class,Job 6-34,,25.0,
210,12.0,0.0,Created,Job 0-131,,,
211,12.0,0.0,Put in Routing Class,Job 0-131,,26.0,
212,12.02,8.0,Created,Job 8-78,,,
213,12.02,8.0,Put in Routing Class,Job 8-78,,27.0,
214,12.14,4.0,Created,Job 4-40,,,
215,12.14,4.0,Put in Routing Class,Job 4-40,,28.0,
216,12.18,9.0,Created,Job 9-38,,,
217,12.18,9.0,Put in Routing Class,Job 9-38,,29.0,
218,12.26,9.0,Work Finish,Job 9-19,Machine 1,,
219,12.26,9.0,Completed,Job 9-19,,,0
220,12.26,,Request Routing for Job,,Machine 1,29.0,
221,12.26,,Routing Start,,Machine 1,,3.675 Job 선택
222,12.26,8.0,Routing Finish,Job 8-78,Machine 1,,
223,12.26,8.0,Work Start,Job 8-78,Machine 1,,
224,12.43,5.0,Work Finish,Job 5-39,Machine 2,,
225,12.43,5.0,Completed,Job 5-39,,,0
226,12.43,,Request Routing for Job,,Machine 2,28.0,
227,12.43,,Routing Start,,Machine 2,,3.675 Job 선택
228,12.43,2.0,Routing Finish,Job 2-26,Machine 2,,
229,12.43,2.0,Work Start,Job 2-26,Machine 2,,
230,12.62,5.0,Created,Job 5-95,,,
231,12.62,5.0,Put in Routing Class,Job 5-95,,28.0,
232,13.32,5.0,Work Finish,Job 5-59,Machine 6,,
233,13.32,5.0,Completed,Job 5-59,,,0
234,13.32,,Request Routing for Job,,Machine 6,28.0,
235,13.32,,Routing Start,,Machine 6,,3.675 Job 선택
236,13.32,5.0,Routing Finish,Job 5-82,Machine 6,,
237,13.32,5.0,Work Start,Job 5-82,Machine 6,,
238,13.58,9.0,Created,Job 9-54,,,
239,13.58,9.0,Put in Routing Class,Job 9-54,,28.0,
240,14.02,8.0,Created,Job 8-84,,,
241,14.02,8.0,Put in Routing Class,Job 8-84,,29.0,
242,14.06,2.0,Created,Job 2-91,,,
243,14.06,2.0,Put in Routing Class,Job 2-91,,30.0,
244,14.08,5.0,Created,Job 5-102,,,
245,14.08,5.0,Put in Routing Class,Job 5-102,,31.0,
246,14.37,5.0,Work Finish,Job 5-80,Machine 0,,
247,14.37,5.0,Completed,Job 5-80,,,0
248,14.37,,Request Routing for Job,,Machine 0,31.0,
249,14.37,,Routing Start,,Machine 0,,3.675 Job 선택
250,14.37,8.0,Routing Finish,Job 8-84,Machine 0,,
251,14.37,8.0,Work Start,Job 8-84,Machine 0,,
252,14.5,0.0,Created,Job 0-135,,,
253,14.5,0.0,Put in Routing Class,Job 0-135,,31.0,
254,14.59,7.0,Created,Job 7-36,,,
255,14.59,7.0,Put in Routing Class,Job 7-36,,32.0,
256,14.6,3.0,Created,Job 3-10,,,
257,14.6,3.0,Put in Routing Class,Job 3-10,,33.0,
258,14.81,6.0,Work Finish,Job 6-12,Machine 3,,
259,14.81,6.0,Completed,Job 6-12,,,0
260,14.81,,Request Routing for Job,,Machine 3,33.0,
261,14.81,,Routing Start,,Machine 3,,3.675 Job 선택
262,14.81,6.0,Routing Finish,Job 6-30,Machine 3,,
263,14.81,6.0,Work Start,Job 6-30,Machine 3,,
264,15.38,9.0,Created,Job 9-56,,,
265,15.38,9.0,Put in Routing Class,Job 9-56,,33.0,
266,15.58,8.0,Created,Job 8-86,,,
267,15.58,8.0,Put in Routing Class,Job 8-86,,34.0,
268,15.59,0.0,Created,Job 0-142,,,
269,15.59,0.0,Put in Routing Class,Job 0-142,,35.0,
270,15.81,1.0,Work Finish,Job 1-14,Machine 5,,
271,15.81,1.0,Completed,Job 1-14,,,1.200327344884336
272,15.81,,Request Routing for Job,,Machine 5,35.0,
273,15.81,,Routing Start,,Machine 5,,3.675 Job 선택
274,15.81,8.0,Routing Finish,Job 8-86,Machine 5,,
275,15.81,8.0,Work Start,Job 8-86,Machine 5,,
276,15.98,1.0,Created,Job 1-73,,,
277,15.98,1.0,Put in Routing Class,Job 1-73,,35.0,
278,16.1,4.0,Created,Job 4-47,,,
279,16.1,4.0,Put in Routing Class,Job 4-47,,36.0,
280,16.17,2.0,Work Finish,Job 2-26,Machine 2,,
281,16.17,2.0,Completed,Job 2-26,,,2.3098810674962422
282,16.17,,Request Routing for Job,,Machine 2,36.0,
283,16.17,,Routing Start,,Machine 2,,3.675 Job 선택
284,16.17,2.0,Routing Finish,Job 2-46,Machine 2,,
285,16.17,2.0,Work Start,Job 2-46,Machine 2,,
286,16.23,3.0,Created,Job 3-25,,,
287,16.23,3.0,Put in Routing Class,Job 3-25,,36.0,
288,16.74,6.0,Created,Job 6-35,,,
289,16.74,6.0,Put in Routing Class,Job 6-35,,37.0,
290,16.85,8.0,Work Finish,Job 8-86,Machine 5,,
291,16.85,8.0,Completed,Job 8-86,,,0
292,16.85,,Request Routing for Job,,Machine 5,37.0,
293,16.85,,Routing Start,,Machine 5,,3.675 Job 선택
294,16.85,5.0,Routing Finish,Job 5-95,Machine 5,,
295,16.85,5.0,Work Start,Job 5-95,Machine 5,,
296,17.09,8.0,Work Finish,Job 8-84,Machine 0,,
297,17.09,8.0,Completed,Job 8-84,,,0
298,17.09,,Request Routing for Job,,Machine 0,36.0,
299,17.09,,Routing Start,,Machine 0,,3.675 Job 선택
300,17.09,9.0,Routing Finish,Job 9-38,Machine 0,,
301,17.09,9.0,Work Start,Job 9-38,Machine 0,,
302,17.2,4.0,Created,Job 4-50,,,
303,17.2,4.0,Put in Routing Class,Job 4-50,,36.0,
304,17.2,0.0,Created,Job 0-143,,,
305,17.2,0.0,Put in Routing Class,Job 0-143,,37.0,
306,17.29,5.0,Work Finish,Job 5-82,Machine 6,,
307,17.29,5.0,Completed,Job 5-82,,,0
308,17.29,,Request Routing for Job,,Machine 6,37.0,
309,17.29,,Routing Start,,Machine 6,,3.675 Job 선택
310,17.29,5.0,Routing Finish,Job 5-102,Machine 6,,
311,17.29,5.0,Work Start,Job 5-102,Machine 6,,
312,17.55,8.0,Created,Job 8-87,,,
313,17.55,8.0,Put in Routing Class,Job 8-87,,37.0,
314,17.97,1.0,Created,Job 1-79,,,
315,17.97,1.0,Put in Routing Class,Job 1-79,,38.0,
316,18.05,5.0,Created,Job 5-103,,,
317,18.05,5.0,Put in Routing Class,Job 5-103,,39.0,
318,18.28,9.0,Work Finish,Job 9-38,Machine 0,,
319,18.28,9.0,Completed,Job 9-38,,,0
320,18.28,,Request Routing for Job,,Machine 0,39.0,
321,18.28,,Routing Start,,Machine 0,,3.675 Job 선택
322,18.28,9.0,Routing Finish,Job 9-54,Machine 0,,
323,18.28,9.0,Work Start,Job 9-54,Machine 0,,
324,18.29,4.0,Created,Job 4-60,,,
325,18.29,4.0,Put in Routing Class,Job 4-60,,39.0,
326,18.37,2.0,Created,Job 2-93,,,
327,18.37,2.0,Put in Routing Class,Job 2-93,,40.0,
328,18.57,6.0,Work Finish,Job 6-30,Machine 3,,
329,18.57,6.0,Completed,Job 6-30,,,0
330,18.57,,Request Routing for Job,,Machine 3,40.0,
331,18.57,,Routing Start,,Machine 3,,3.675 Job 선택
332,18.57,6.0,Routing Finish,Job 6-34,Machine 3,,
333,18.57,6.0,Work Start,Job 6-34,Machine 3,,
334,19.16,9.0,Created,Job 9-57,,,
335,19.16,9.0,Put in Routing Class,Job 9-57,,40.0,
336,19.21,1.0,Created,Job 1-109,,,
337,19.21,1.0,Put in Routing Class,Job 1-109,,41.0,
338,19.39,6.0,Created,Job 6-48,,,
339,19.39,6.0,Put in Routing Class,Job 6-48,,42.0,
340,19.47,9.0,Work Finish,Job 9-54,Machine 0,,
341,19.47,9.0,Completed,Job 9-54,,,0
342,19.47,,Request Routing for Job,,Machine 0,42.0,
343,19.47,,Routing Start,,Machine 0,,3.675 Job 선택
344,19.47,8.0,Routing Finish,Job 8-87,Machine 0,,
345,19.47,8.0,Work Start,Job 8-87,Machine 0,,
346,19.66,8.0,Created,Job 8-88,,,
347,19.66,8.0,Put in Routing Class,Job 8-88,,42.0,
348,19.91,2.0,Work Finish,Job 2-46,Machine 2,,
349,19.91,2.0,Completed,Job 2-46,,,4.831479743812478
350,19.91,,Request Routing for Job,,Machine 2,42.0,
351,19.91,,Routing Start,,Machine 2,,3.675 Job 선택
352,19.91,8.0,Routing Finish,Job 8-88,Machine 2,,
353,19.91,8.0,Work Start,Job 8-88,Machine 2,,
354,19.97,8.0,Work Finish,Job 8-78,Machine 1,,
355,19.97,8.0,Completed,Job 8-78,,,0
356,19.97,,Request Routing for Job,,Machine 1,41.0,
357,19.97,,Routing Start,,Machine 1,,3.675 Job 선택
358,19.97,9.0,Routing Finish,Job 9-56,Machine 1,,
359,19.97,9.0,Work Start,Job 9-56,Machine 1,,
360,20.03,3.0,Created,Job 3-29,,,
361,20.03,3.0,Put in Routing Class,Job 3-29,,41.0,
362,20.17,9.0,Created,Job 9-65,,,
363,20.17,9.0,Put in Routing Class,Job 9-65,,42.0,
364,20.35,5.0,Created,Job 5-106,,,
365,20.35,5.0,Put in Routing Class,Job 5-106,,43.0,
366,20.76,8.0,Work Finish,Job 8-22,Machine 7,,
367,20.76,8.0,Completed,Job 8-22,,,9.390669029726396
368,20.76,,Request Routing for Job,,Machine 7,43.0,
369,20.76,,Routing Start,,Machine 7,,3.675 Job 선택
370,20.76,1.0,Routing Finish,Job 1-21,Machine 7,,
371,20.76,1.0,Work Start,Job 1-21,Machine 7,,
372,20.95,7.0,Created,Job 7-45,,,
373,20.95,7.0,Put in Routing Class,Job 7-45,,43.0,
374,21.16,9.0,Work Finish,Job 9-56,Machine 1,,
375,21.16,9.0,Completed,Job 9-56,,,0
376,21.16,,Request Routing for Job,,Machine 1,43.0,
377,21.16,,Routing Start,,Machine 1,,3.675 Job 선택
378,21.16,9.0,Routing Finish,Job 9-57,Machine 1,,
379,21.16,9.0,Work Start,Job 9-57,Machine 1,,
380,21.2,1.0,Created,Job 1-114,,,
381,21.2,1.0,Put in Routing Class,Job 1-114,,43.0,
382,21.26,3.0,Created,Job 3-37,,,
383,21.26,3.0,Put in Routing Class,Job 3-37,,44.0,
384,21.26,5.0,Work Finish,Job 5-102,Machine 6,,
385,21.26,5.0,Completed,Job 5-102,,,0
386,21.26,,Request Routing for Job,,Machine 6,44.0,
387,21.26,,Routing Start,,Machine 6,,3.675 Job 선택
388,21.26,5.0,Routing Finish,Job 5-103,Machine 6,,
389,21.26,5.0,Work Start,Job 5-103,Machine 6,,
390,21.56,5.0,Created,Job 5-112,,,
391,21.56,5.0,Put in Routing Class,Job 5-112,,44.0,
392,21.78,6.0,Created,Job 6-53,,,
393,21.78,6.0,Put in Routing Class,Job 6-53,,45.0,
394,21.84,8.0,Created,Job 8-90,,,
395,21.84,8.0,Put in Routing Class,Job 8-90,,46.0,
