,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.19,8.0,Created,Job 8-0,,,
1,1.19,8.0,Put in Routing Class,Job 8-0,,1.0,
2,1.19,8.0,Routing Start,Job 8-0,,,"3.675,  machine 선택"
3,1.19,8.0,Routing Finish,Job 8-0,Machine 6,,
4,1.19,8.0,Work Start,Job 8-0,Machine 6,,
5,1.25,7.0,Created,Job 7-4,,,
6,1.25,7.0,Put in Routing Class,Job 7-4,,1.0,
7,1.25,7.0,Routing Start,Job 7-4,,,"3.675,  machine 선택"
8,1.25,7.0,Routing Finish,Job 7-4,Machine 7,,
9,1.25,7.0,Work Start,Job 7-4,Machine 7,,
10,1.47,2.0,Created,Job 2-6,,,
11,1.47,2.0,Put in Routing Class,Job 2-6,,1.0,
12,1.47,2.0,Routing Start,Job 2-6,,,"3.675,  machine 선택"
13,1.47,2.0,Routing Finish,Job 2-6,Machine 2,,
14,1.47,2.0,Work Start,Job 2-6,Machine 2,,
15,1.65,0.0,Created,Job 0-8,,,
16,1.65,0.0,Put in Routing Class,Job 0-8,,1.0,
17,1.65,0.0,Routing Start,Job 0-8,,,"3.675,  machine 선택"
18,1.65,0.0,Routing Finish,Job 0-8,Machine 3,,
19,1.65,0.0,Work Start,Job 0-8,Machine 3,,
20,1.72,5.0,Created,Job 5-5,,,
21,1.72,5.0,Put in Routing Class,Job 5-5,,1.0,
22,1.72,5.0,Routing Start,Job 5-5,,,"3.675,  machine 선택"
23,1.72,5.0,Routing Finish,Job 5-5,Machine 4,,
24,1.72,5.0,Work Start,Job 5-5,Machine 4,,
25,2.32,9.0,Created,Job 9-1,,,
26,2.32,9.0,Put in Routing Class,Job 9-1,,1.0,
27,2.32,9.0,Routing Start,Job 9-1,,,"3.675,  machine 선택"
28,2.32,9.0,Routing Finish,Job 9-1,Machine 1,,
29,2.32,9.0,Work Start,Job 9-1,Machine 1,,
30,2.72,3.0,Created,Job 3-2,,,
31,2.72,3.0,Put in Routing Class,Job 3-2,,1.0,
32,2.72,3.0,Routing Start,Job 3-2,,,"3.675,  machine 선택"
33,2.72,3.0,Routing Finish,Job 3-2,Machine 5,,
34,2.72,3.0,Work Start,Job 3-2,Machine 5,,
35,2.88,6.0,Created,Job 6-3,,,
36,2.88,6.0,Put in Routing Class,Job 6-3,,1.0,
37,2.88,6.0,Routing Start,Job 6-3,,,"3.675,  machine 선택"
38,2.88,6.0,Routing Finish,Job 6-3,Machine 0,,
