,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.12,2.0,Created,Job 2-43,,,
1,1.12,2.0,Put in Routing Class,Job 2-43,,1.0,
2,1.12,2.0,Routing Start,Job 2-43,,,"3.675,  machine 선택"
3,1.12,2.0,Routing Finish,Job 2-43,Machine 6,,
4,1.12,2.0,Work Start,Job 2-43,Machine 6,,
5,1.16,6.0,Created,Job 6-5,,,
6,1.16,6.0,Put in Routing Class,Job 6-5,,1.0,
7,1.16,6.0,Routing Start,Job 6-5,,,"3.675,  machine 선택"
8,1.16,6.0,Routing Finish,Job 6-5,Machine 5,,
9,1.16,6.0,Work Start,Job 6-5,Machine 5,,
10,1.35,4.0,Created,Job 4-8,,,
11,1.35,4.0,Put in Routing Class,Job 4-8,,1.0,
12,1.35,4.0,Routing Start,Job 4-8,,,"3.675,  machine 선택"
13,1.35,4.0,Routing Finish,Job 4-8,Machine 4,,
14,1.35,4.0,Work Start,Job 4-8,Machine 4,,
15,1.7,9.0,Created,Job 9-0,,,
16,1.7,9.0,Put in Routing Class,Job 9-0,,1.0,
17,1.7,9.0,Routing Start,Job 9-0,,,"3.675,  machine 선택"
18,1.7,9.0,Routing Finish,Job 9-0,Machine 7,,
19,1.7,9.0,Work Start,Job 9-0,Machine 7,,
20,2.2,0.0,Created,Job 0-9,,,
21,2.2,0.0,Put in Routing Class,Job 0-9,,1.0,
22,2.2,0.0,Routing Start,Job 0-9,,,"3.675,  machine 선택"
23,2.2,0.0,Routing Finish,Job 0-9,Machine 2,,
24,2.2,0.0,Work Start,Job 0-9,Machine 2,,
25,2.33,5.0,Created,Job 5-10,,,
26,2.33,5.0,Put in Routing Class,Job 5-10,,1.0,
27,2.33,5.0,Routing Start,Job 5-10,,,"3.675,  machine 선택"
28,2.33,5.0,Routing Finish,Job 5-10,Machine 3,,
29,2.33,5.0,Work Start,Job 5-10,Machine 3,,
30,2.42,6.0,Created,Job 6-21,,,
31,2.42,6.0,Put in Routing Class,Job 6-21,,1.0,
32,2.42,6.0,Routing Start,Job 6-21,,,"3.675,  machine 선택"
33,2.42,6.0,Routing Finish,Job 6-21,Machine 1,,
34,2.42,6.0,Work Start,Job 6-21,Machine 1,,
35,2.84,1.0,Created,Job 1-4,,,
36,2.84,1.0,Put in Routing Class,Job 1-4,,1.0,
37,2.84,1.0,Routing Start,Job 1-4,,,"3.675,  machine 선택"
38,2.84,1.0,Routing Finish,Job 1-4,Machine 0,,
39,2.84,1.0,Work Start,Job 1-4,Machine 0,,
40,2.86,2.0,Created,Job 2-50,,,
41,2.86,2.0,Put in Routing Class,Job 2-50,,1.0,
42,3.01,8.0,Created,Job 8-3,,,
43,3.01,8.0,Put in Routing Class,Job 8-3,,2.0,
44,3.03,3.0,Created,Job 3-1,,,
45,3.03,3.0,Put in Routing Class,Job 3-1,,3.0,
46,3.03,4.0,Created,Job 4-15,,,
47,3.03,4.0,Put in Routing Class,Job 4-15,,4.0,
48,3.44,7.0,Created,Job 7-2,,,
49,3.44,7.0,Put in Routing Class,Job 7-2,,5.0,
50,4.16,6.0,Created,Job 6-27,,,
51,4.16,6.0,Put in Routing Class,Job 6-27,,6.0,
