,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.01,3.0,Created,Job 3-1,,,
1,1.01,3.0,Put in Routing Class,Job 3-1,,1.0,
2,1.01,3.0,Routing Start,Job 3-1,,,"3.675,  machine 선택"
3,1.01,3.0,Routing Finish,Job 3-1,Machine 7,,
4,1.01,3.0,Work Start,Job 3-1,Machine 7,,
5,1.01,1.0,Created,Job 1-0,,,
6,1.01,1.0,Put in Routing Class,Job 1-0,,1.0,
7,1.01,1.0,Routing Start,Job 1-0,,,"3.675,  machine 선택"
8,1.01,1.0,Routing Finish,Job 1-0,Machine 5,,
9,1.01,1.0,Work Start,Job 1-0,Machine 5,,
10,1.11,5.0,Created,Job 5-8,,,
11,1.11,5.0,Put in Routing Class,Job 5-8,,1.0,
12,1.11,5.0,Routing Start,Job 5-8,,,"3.675,  machine 선택"
13,1.11,5.0,Routing Finish,Job 5-8,Machine 1,,
14,1.11,5.0,Work Start,Job 5-8,Machine 1,,
15,1.15,8.0,Created,Job 8-24,,,
16,1.15,8.0,Put in Routing Class,Job 8-24,,1.0,
17,1.15,8.0,Routing Start,Job 8-24,,,"3.675,  machine 선택"
18,1.15,8.0,Routing Finish,Job 8-24,Machine 0,,
19,1.15,8.0,Work Start,Job 8-24,Machine 0,,
20,1.26,7.0,Created,Job 7-6,,,
21,1.26,7.0,Put in Routing Class,Job 7-6,,1.0,
22,1.26,7.0,Routing Start,Job 7-6,,,"3.675,  machine 선택"
23,1.26,7.0,Routing Finish,Job 7-6,Machine 4,,
24,1.26,7.0,Work Start,Job 7-6,Machine 4,,
25,1.45,9.0,Created,Job 9-2,,,
26,1.45,9.0,Put in Routing Class,Job 9-2,,1.0,
27,1.45,9.0,Routing Start,Job 9-2,,,"3.675,  machine 선택"
28,1.45,9.0,Routing Finish,Job 9-2,Machine 6,,
29,1.45,9.0,Work Start,Job 9-2,Machine 6,,
30,1.64,4.0,Created,Job 4-7,,,
31,1.64,4.0,Put in Routing Class,Job 4-7,,1.0,
32,1.64,4.0,Routing Start,Job 4-7,,,"3.675,  machine 선택"
33,1.64,4.0,Routing Finish,Job 4-7,Machine 2,,
34,1.64,4.0,Work Start,Job 4-7,Machine 2,,
35,2.39,8.0,Created,Job 8-32,,,
36,2.39,8.0,Put in Routing Class,Job 8-32,,1.0,
37,2.39,8.0,Routing Start,Job 8-32,,,"3.675,  machine 선택"
38,2.39,8.0,Routing Finish,Job 8-32,Machine 3,,
39,2.39,8.0,Work Start,Job 8-32,Machine 3,,
40,2.4,2.0,Created,Job 2-3,,,
41,2.4,2.0,Put in Routing Class,Job 2-3,,1.0,
42,2.98,7.0,Created,Job 7-9,,,
43,2.98,7.0,Put in Routing Class,Job 7-9,,2.0,
44,3.07,6.0,Created,Job 6-10,,,
45,3.07,6.0,Put in Routing Class,Job 6-10,,3.0,
46,3.32,5.0,Created,Job 5-21,,,
47,3.32,5.0,Put in Routing Class,Job 5-21,,4.0,
48,3.45,0.0,Created,Job 0-15,,,
49,3.45,0.0,Put in Routing Class,Job 0-15,,5.0,
50,3.56,1.0,Created,Job 1-4,,,
51,3.56,1.0,Put in Routing Class,Job 1-4,,6.0,
52,3.58,9.0,Created,Job 9-40,,,
53,3.58,9.0,Put in Routing Class,Job 9-40,,7.0,
54,3.71,8.0,Created,Job 8-46,,,
55,3.71,8.0,Put in Routing Class,Job 8-46,,8.0,
56,3.79,8.0,Work Finish,Job 8-24,Machine 0,,
57,3.79,8.0,Completed,Job 8-24,,,0
58,3.79,,Request Routing for Job,,Machine 0,8.0,
59,3.79,,Routing Start,,Machine 0,,3.675 Job 선택
60,3.79,9.0,Routing Finish,Job 9-40,Machine 0,,
61,3.79,9.0,Work Start,Job 9-40,Machine 0,,
62,4.05,4.0,Created,Job 4-33,,,
63,4.05,4.0,Put in Routing Class,Job 4-33,,8.0,
64,4.08,2.0,Created,Job 2-16,,,
65,4.08,2.0,Put in Routing Class,Job 2-16,,9.0,
66,4.55,3.0,Work Finish,Job 3-1,Machine 7,,
67,4.55,3.0,Completed,Job 3-1,,,0
68,4.55,,Request Routing for Job,,Machine 7,9.0,
69,4.55,,Routing Start,,Machine 7,,3.675 Job 선택
70,4.55,0.0,Routing Finish,Job 0-15,Machine 7,,
71,4.55,0.0,Work Start,Job 0-15,Machine 7,,
72,4.83,8.0,Created,Job 8-50,,,
73,4.83,8.0,Put in Routing Class,Job 8-50,,9.0,
74,4.9,6.0,Created,Job 6-11,,,
75,4.9,6.0,Put in Routing Class,Job 6-11,,10.0,
76,4.9,8.0,Work Finish,Job 8-32,Machine 3,,
77,4.9,8.0,Completed,Job 8-32,,,0
78,4.9,,Request Routing for Job,,Machine 3,10.0,
79,4.9,,Routing Start,,Machine 3,,3.675 Job 선택
80,4.9,7.0,Routing Finish,Job 7-9,Machine 3,,
81,4.9,7.0,Work Start,Job 7-9,Machine 3,,
82,4.96,7.0,Created,Job 7-14,,,
83,4.96,7.0,Put in Routing Class,Job 7-14,,10.0,
84,5.16,2.0,Created,Job 2-25,,,
85,5.16,2.0,Put in Routing Class,Job 2-25,,11.0,
86,5.22,1.0,Created,Job 1-5,,,
87,5.22,1.0,Put in Routing Class,Job 1-5,,12.0,
88,5.55,3.0,Created,Job 3-27,,,
89,5.55,3.0,Put in Routing Class,Job 3-27,,13.0,
90,5.64,9.0,Created,Job 9-47,,,
91,5.64,9.0,Put in Routing Class,Job 9-47,,14.0,
92,5.73,4.0,Created,Job 4-54,,,
93,5.73,4.0,Put in Routing Class,Job 4-54,,15.0,
94,5.87,7.0,Work Finish,Job 7-6,Machine 4,,
95,5.87,7.0,Completed,Job 7-6,,,0
96,5.87,,Request Routing for Job,,Machine 4,15.0,
97,5.87,,Routing Start,,Machine 4,,3.675 Job 선택
98,5.87,7.0,Routing Finish,Job 7-14,Machine 4,,
99,5.87,7.0,Work Start,Job 7-14,Machine 4,,
100,6.08,7.0,Created,Job 7-18,,,
101,6.08,7.0,Put in Routing Class,Job 7-18,,15.0,
102,6.15,8.0,Created,Job 8-71,,,
103,6.15,8.0,Put in Routing Class,Job 8-71,,16.0,
104,6.3,2.0,Created,Job 2-36,,,
105,6.3,2.0,Put in Routing Class,Job 2-36,,17.0,
106,6.43,6.0,Created,Job 6-12,,,
107,6.43,6.0,Put in Routing Class,Job 6-12,,18.0,
108,6.71,9.0,Created,Job 9-68,,,
109,6.71,9.0,Put in Routing Class,Job 9-68,,19.0,
110,7.95,3.0,Created,Job 3-31,,,
111,7.95,3.0,Put in Routing Class,Job 3-31,,20.0,
112,7.96,0.0,Created,Job 0-17,,,
113,7.96,0.0,Put in Routing Class,Job 0-17,,21.0,
114,8.69,6.0,Created,Job 6-13,,,
115,8.69,6.0,Put in Routing Class,Job 6-13,,22.0,
116,8.78,8.0,Created,Job 8-88,,,
117,8.78,8.0,Put in Routing Class,Job 8-88,,23.0,
118,9.03,2.0,Created,Job 2-45,,,
119,9.03,2.0,Put in Routing Class,Job 2-45,,24.0,
120,9.21,0.0,Created,Job 0-22,,,
121,9.21,0.0,Put in Routing Class,Job 0-22,,25.0,
122,9.29,5.0,Work Finish,Job 5-8,Machine 1,,
123,9.29,5.0,Completed,Job 5-8,,,0
124,9.29,,Request Routing for Job,,Machine 1,25.0,
125,9.29,,Routing Start,,Machine 1,,3.675 Job 선택
126,9.29,0.0,Routing Finish,Job 0-17,Machine 1,,
127,9.29,0.0,Work Start,Job 0-17,Machine 1,,
128,9.4,1.0,Work Finish,Job 1-0,Machine 5,,
129,9.4,1.0,Completed,Job 1-0,,,0
130,9.4,,Request Routing for Job,,Machine 5,24.0,
131,9.4,,Routing Start,,Machine 5,,3.675 Job 선택
132,9.4,9.0,Routing Finish,Job 9-47,Machine 5,,
133,9.4,9.0,Work Start,Job 9-47,Machine 5,,
134,9.45,5.0,Created,Job 5-23,,,
135,9.45,5.0,Put in Routing Class,Job 5-23,,24.0,
136,9.86,9.0,Work Finish,Job 9-2,Machine 6,,
137,9.86,9.0,Completed,Job 9-2,,,0
138,9.86,,Request Routing for Job,,Machine 6,24.0,
139,9.86,,Routing Start,,Machine 6,,3.675 Job 선택
140,9.86,7.0,Routing Finish,Job 7-18,Machine 6,,
141,9.86,7.0,Work Start,Job 7-18,Machine 6,,
142,9.99,6.0,Created,Job 6-20,,,
143,9.99,6.0,Put in Routing Class,Job 6-20,,24.0,
144,10.04,8.0,Created,Job 8-103,,,
145,10.04,8.0,Put in Routing Class,Job 8-103,,25.0,
146,10.18,7.0,Created,Job 7-37,,,
147,10.18,7.0,Put in Routing Class,Job 7-37,,26.0,
148,10.28,9.0,Created,Job 9-86,,,
149,10.28,9.0,Put in Routing Class,Job 9-86,,27.0,
150,10.37,3.0,Created,Job 3-39,,,
151,10.37,3.0,Put in Routing Class,Job 3-39,,28.0,
152,10.42,2.0,Created,Job 2-56,,,
153,10.42,2.0,Put in Routing Class,Job 2-56,,29.0,
154,10.43,9.0,Work Finish,Job 9-40,Machine 0,,
155,10.43,9.0,Completed,Job 9-40,,,0
156,10.43,,Request Routing for Job,,Machine 0,29.0,
