,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.25,0.0,Created,Job 0-1,,,
1,1.25,0.0,Put in Routing Class,Job 0-1,,1.0,
2,1.25,0.0,Routing Start,Job 0-1,,,"3.675,  machine 선택"
3,1.25,0.0,Routing Finish,Job 0-1,Machine 4,,
4,1.25,0.0,Work Start,Job 0-1,Machine 4,,
5,1.27,8.0,Created,Job 8-12,,,
6,1.27,8.0,Put in Routing Class,Job 8-12,,1.0,
7,1.27,8.0,Routing Start,Job 8-12,,,"3.675,  machine 선택"
8,1.27,8.0,Routing Finish,Job 8-12,Machine 3,,
9,1.27,8.0,Work Start,Job 8-12,Machine 3,,
10,1.34,1.0,Created,Job 1-5,,,
11,1.34,1.0,Put in Routing Class,Job 1-5,,1.0,
12,1.34,1.0,Routing Start,Job 1-5,,,"3.675,  machine 선택"
13,1.34,1.0,Routing Finish,Job 1-5,Machine 6,,
14,1.34,1.0,Work Start,Job 1-5,Machine 6,,
15,1.39,9.0,Created,Job 9-4,,,
16,1.39,9.0,Put in Routing Class,Job 9-4,,1.0,
17,1.39,9.0,Routing Start,Job 9-4,,,"3.675,  machine 선택"
18,1.39,9.0,Routing Finish,Job 9-4,Machine 1,,
19,1.39,9.0,Work Start,Job 9-4,Machine 1,,
20,1.99,6.0,Created,Job 6-0,,,
21,1.99,6.0,Put in Routing Class,Job 6-0,,1.0,
22,1.99,6.0,Routing Start,Job 6-0,,,"3.675,  machine 선택"
23,1.99,6.0,Routing Finish,Job 6-0,Machine 5,,
24,1.99,6.0,Work Start,Job 6-0,Machine 5,,
25,2.12,3.0,Created,Job 3-3,,,
26,2.12,3.0,Put in Routing Class,Job 3-3,,1.0,
27,2.12,3.0,Routing Start,Job 3-3,,,"3.675,  machine 선택"
28,2.12,3.0,Routing Finish,Job 3-3,Machine 7,,
29,2.12,3.0,Work Start,Job 3-3,Machine 7,,
30,2.31,7.0,Created,Job 7-23,,,
31,2.31,7.0,Put in Routing Class,Job 7-23,,1.0,
32,2.31,7.0,Routing Start,Job 7-23,,,"3.675,  machine 선택"
33,2.31,7.0,Routing Finish,Job 7-23,Machine 2,,
34,2.31,7.0,Work Start,Job 7-23,Machine 2,,
35,2.42,0.0,Created,Job 0-32,,,
36,2.42,0.0,Put in Routing Class,Job 0-32,,1.0,
37,2.42,0.0,Routing Start,Job 0-32,,,"3.675,  machine 선택"
38,2.42,0.0,Routing Finish,Job 0-32,Machine 0,,
39,2.42,0.0,Work Start,Job 0-32,Machine 0,,
40,2.56,9.0,Created,Job 9-14,,,
41,2.56,9.0,Put in Routing Class,Job 9-14,,1.0,
42,2.59,8.0,Created,Job 8-15,,,
43,2.59,8.0,Put in Routing Class,Job 8-15,,2.0,
44,3.31,6.0,Created,Job 6-8,,,
45,3.31,6.0,Put in Routing Class,Job 6-8,,3.0,
46,3.32,7.0,Created,Job 7-29,,,
47,3.32,7.0,Put in Routing Class,Job 7-29,,4.0,
48,3.43,5.0,Created,Job 5-10,,,
49,3.43,5.0,Put in Routing Class,Job 5-10,,5.0,
50,3.78,9.0,Created,Job 9-20,,,
