,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.04,9.0,Created,Job 9-7,,,
1,1.04,9.0,Put in Routing Class,Job 9-7,,1.0,
2,1.04,9.0,Routing Start,Job 9-7,,,"3.675,  machine 선택"
3,1.04,9.0,Routing Finish,Job 9-7,Machine 6,,
4,1.04,9.0,Work Start,Job 9-7,Machine 6,,
5,1.17,3.0,Created,Job 3-0,,,
6,1.17,3.0,Put in Routing Class,Job 3-0,,1.0,
7,1.17,3.0,Routing Start,Job 3-0,,,"3.675,  machine 선택"
8,1.17,3.0,Routing Finish,Job 3-0,Machine 1,,
9,1.17,3.0,Work Start,Job 3-0,Machine 1,,
10,1.28,5.0,Created,Job 5-12,,,
11,1.28,5.0,Put in Routing Class,Job 5-12,,1.0,
12,1.28,5.0,Routing Start,Job 5-12,,,"3.675,  machine 선택"
13,1.28,5.0,Routing Finish,Job 5-12,Machine 3,,
14,1.28,5.0,Work Start,Job 5-12,Machine 3,,
15,1.53,0.0,Created,Job 0-1,,,
16,1.53,0.0,Put in Routing Class,Job 0-1,,1.0,
17,1.53,0.0,Routing Start,Job 0-1,,,"3.675,  machine 선택"
18,1.53,0.0,Routing Finish,Job 0-1,Machine 2,,
19,1.53,0.0,Work Start,Job 0-1,Machine 2,,
20,1.96,8.0,Created,Job 8-2,,,
21,1.96,8.0,Put in Routing Class,Job 8-2,,1.0,
22,1.96,8.0,Routing Start,Job 8-2,,,"3.675,  machine 선택"
23,1.96,8.0,Routing Finish,Job 8-2,Machine 7,,
24,1.96,8.0,Work Start,Job 8-2,Machine 7,,
25,2.02,4.0,Created,Job 4-11,,,
26,2.02,4.0,Put in Routing Class,Job 4-11,,1.0,
27,2.02,4.0,Routing Start,Job 4-11,,,"3.675,  machine 선택"
28,2.02,4.0,Routing Finish,Job 4-11,Machine 0,,
29,2.02,4.0,Work Start,Job 4-11,Machine 0,,
30,2.24,6.0,Created,Job 6-15,,,
31,2.24,6.0,Put in Routing Class,Job 6-15,,1.0,
32,2.24,6.0,Routing Start,Job 6-15,,,"3.675,  machine 선택"
33,2.24,6.0,Routing Finish,Job 6-15,Machine 5,,
34,2.24,6.0,Work Start,Job 6-15,Machine 5,,
35,2.46,5.0,Created,Job 5-27,,,
36,2.46,5.0,Put in Routing Class,Job 5-27,,1.0,
37,2.46,5.0,Routing Start,Job 5-27,,,"3.675,  machine 선택"
38,2.46,5.0,Routing Finish,Job 5-27,Machine 4,,
39,2.46,5.0,Work Start,Job 5-27,Machine 4,,
40,2.65,7.0,Created,Job 7-34,,,
41,2.65,7.0,Put in Routing Class,Job 7-34,,1.0,
42,2.73,3.0,Created,Job 3-9,,,
43,2.73,3.0,Put in Routing Class,Job 3-9,,2.0,
44,3.26,1.0,Created,Job 1-3,,,
45,3.26,1.0,Put in Routing Class,Job 1-3,,3.0,
46,3.33,9.0,Created,Job 9-17,,,
47,3.33,9.0,Put in Routing Class,Job 9-17,,4.0,
48,3.64,4.0,Created,Job 4-35,,,
49,3.64,4.0,Put in Routing Class,Job 4-35,,5.0,
50,3.67,5.0,Created,Job 5-30,,,
51,3.67,5.0,Put in Routing Class,Job 5-30,,6.0,
52,4.15,7.0,Created,Job 7-37,,,
53,4.15,7.0,Put in Routing Class,Job 7-37,,7.0,
54,4.36,3.0,Created,Job 3-26,,,
55,4.36,3.0,Put in Routing Class,Job 3-26,,8.0,
56,4.4,8.0,Created,Job 8-10,,,
57,4.4,8.0,Put in Routing Class,Job 8-10,,9.0,
58,4.55,1.0,Created,Job 1-4,,,
59,4.55,1.0,Put in Routing Class,Job 1-4,,10.0,
60,4.92,2.0,Created,Job 2-5,,,
61,4.92,2.0,Put in Routing Class,Job 2-5,,11.0,
62,4.93,4.0,Created,Job 4-60,,,
63,4.93,4.0,Put in Routing Class,Job 4-60,,12.0,
64,4.97,9.0,Work Finish,Job 9-7,Machine 6,,
65,4.97,9.0,Completed,Job 9-7,,,0
66,4.97,,Request Routing for Job,,Machine 6,12.0,
67,4.97,,Routing Start,,Machine 6,,3.675 Job 선택
68,4.97,9.0,Routing Finish,Job 9-17,Machine 6,,
69,4.97,9.0,Work Start,Job 9-17,Machine 6,,
70,5.24,7.0,Created,Job 7-48,,,
71,5.24,7.0,Put in Routing Class,Job 7-48,,12.0,
72,5.34,9.0,Created,Job 9-42,,,
73,5.34,9.0,Put in Routing Class,Job 9-42,,13.0,
74,5.46,3.0,Work Finish,Job 3-0,Machine 1,,
75,5.46,3.0,Completed,Job 3-0,,,0
