,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.08,5.0,Created,Job 5-6,,,
1,1.08,5.0,Put in Routing Class,Job 5-6,,1.0,
2,1.08,5.0,Routing Start,Job 5-6,,,"3.675,  machine 선택"
3,1.08,5.0,Routing Finish,Job 5-6,Machine 4,,
4,1.08,5.0,Work Start,Job 5-6,Machine 4,,
5,1.12,2.0,Created,Job 2-14,,,
6,1.12,2.0,Put in Routing Class,Job 2-14,,1.0,
7,1.12,2.0,Routing Start,Job 2-14,,,"3.675,  machine 선택"
8,1.12,2.0,Routing Finish,Job 2-14,Machine 5,,
9,1.12,2.0,Work Start,Job 2-14,Machine 5,,
10,1.3,6.0,Created,Job 6-5,,,
11,1.3,6.0,Put in Routing Class,Job 6-5,,1.0,
12,1.3,6.0,Routing Start,Job 6-5,,,"3.675,  machine 선택"
13,1.3,6.0,Routing Finish,Job 6-5,Machine 7,,
14,1.3,6.0,Work Start,Job 6-5,Machine 7,,
15,1.33,9.0,Created,Job 9-20,,,
16,1.33,9.0,Put in Routing Class,Job 9-20,,1.0,
17,1.33,9.0,Routing Start,Job 9-20,,,"3.675,  machine 선택"
18,1.33,9.0,Routing Finish,Job 9-20,Machine 2,,
19,1.33,9.0,Work Start,Job 9-20,Machine 2,,
20,1.48,1.0,Created,Job 1-3,,,
21,1.48,1.0,Put in Routing Class,Job 1-3,,1.0,
22,1.48,1.0,Routing Start,Job 1-3,,,"3.675,  machine 선택"
23,1.48,1.0,Routing Finish,Job 1-3,Machine 1,,
24,1.48,1.0,Work Start,Job 1-3,Machine 1,,
25,1.5,0.0,Created,Job 0-4,,,
26,1.5,0.0,Put in Routing Class,Job 0-4,,1.0,
27,1.5,0.0,Routing Start,Job 0-4,,,"3.675,  machine 선택"
28,1.5,0.0,Routing Finish,Job 0-4,Machine 6,,
29,1.5,0.0,Work Start,Job 0-4,Machine 6,,
30,1.5,7.0,Created,Job 7-2,,,
31,1.5,7.0,Put in Routing Class,Job 7-2,,1.0,
32,1.5,7.0,Routing Start,Job 7-2,,,"3.675,  machine 선택"
33,1.5,7.0,Routing Finish,Job 7-2,Machine 3,,
34,1.5,7.0,Work Start,Job 7-2,Machine 3,,
35,1.56,4.0,Created,Job 4-7,,,
36,1.56,4.0,Put in Routing Class,Job 4-7,,1.0,
37,1.56,4.0,Routing Start,Job 4-7,,,"3.675,  machine 선택"
38,1.56,4.0,Routing Finish,Job 4-7,Machine 0,,
39,1.56,4.0,Work Start,Job 4-7,Machine 0,,
40,1.58,3.0,Created,Job 3-0,,,
41,1.58,3.0,Put in Routing Class,Job 3-0,,1.0,
42,2.53,8.0,Created,Job 8-11,,,
43,2.53,8.0,Put in Routing Class,Job 8-11,,2.0,
44,2.56,0.0,Created,Job 0-12,,,
45,2.56,0.0,Put in Routing Class,Job 0-12,,3.0,
46,2.82,7.0,Created,Job 7-8,,,
47,2.82,7.0,Put in Routing Class,Job 7-8,,4.0,
48,3.29,9.0,Created,Job 9-26,,,
49,3.29,9.0,Put in Routing Class,Job 9-26,,5.0,
50,3.46,3.0,Created,Job 3-1,,,
51,3.46,3.0,Put in Routing Class,Job 3-1,,6.0,
52,3.49,4.0,Created,Job 4-15,,,
53,3.49,4.0,Put in Routing Class,Job 4-15,,7.0,
54,3.58,8.0,Created,Job 8-43,,,
55,3.58,8.0,Put in Routing Class,Job 8-43,,8.0,
56,3.62,2.0,Work Finish,Job 2-14,Machine 5,,
57,3.62,2.0,Completed,Job 2-14,,,0
58,3.62,,Request Routing for Job,,Machine 5,8.0,
59,3.62,,Routing Start,,Machine 5,,3.675 Job 선택
60,3.62,0.0,Routing Finish,Job 0-12,Machine 5,,
61,3.62,0.0,Work Start,Job 0-12,Machine 5,,
62,3.67,1.0,Created,Job 1-9,,,
63,3.67,1.0,Put in Routing Class,Job 1-9,,8.0,
64,3.72,5.0,Created,Job 5-13,,,
65,3.72,5.0,Put in Routing Class,Job 5-13,,9.0,
66,4.05,0.0,Created,Job 0-30,,,
67,4.05,0.0,Put in Routing Class,Job 0-30,,10.0,
