,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.15,1.0,Created,Job 1-4,,,
1,1.15,1.0,Put in Routing Class,Job 1-4,,1.0,
2,1.15,1.0,Routing Start,Job 1-4,,,"3.675,  machine 선택"
3,1.15,1.0,Routing Finish,Job 1-4,Machine 2,,
4,1.15,1.0,Work Start,Job 1-4,Machine 2,,
5,1.17,5.0,Created,Job 5-1,,,
6,1.17,5.0,Put in Routing Class,Job 5-1,,1.0,
7,1.17,5.0,Routing Start,Job 5-1,,,"3.675,  machine 선택"
8,1.17,5.0,Routing Finish,Job 5-1,Machine 3,,
9,1.17,5.0,Work Start,Job 5-1,Machine 3,,
10,1.19,3.0,Created,Job 3-0,,,
11,1.19,3.0,Put in Routing Class,Job 3-0,,1.0,
12,1.19,3.0,Routing Start,Job 3-0,,,"3.675,  machine 선택"
13,1.19,3.0,Routing Finish,Job 3-0,Machine 0,,
14,1.19,3.0,Work Start,Job 3-0,Machine 0,,
15,1.25,9.0,Created,Job 9-10,,,
16,1.25,9.0,Put in Routing Class,Job 9-10,,1.0,
17,1.25,9.0,Routing Start,Job 9-10,,,"3.675,  machine 선택"
18,1.25,9.0,Routing Finish,Job 9-10,Machine 5,,
19,1.25,9.0,Work Start,Job 9-10,Machine 5,,
20,1.26,8.0,Created,Job 8-16,,,
21,1.26,8.0,Put in Routing Class,Job 8-16,,1.0,
22,1.26,8.0,Routing Start,Job 8-16,,,"3.675,  machine 선택"
23,1.26,8.0,Routing Finish,Job 8-16,Machine 4,,
24,1.26,8.0,Work Start,Job 8-16,Machine 4,,
25,1.63,7.0,Created,Job 7-2,,,
26,1.63,7.0,Put in Routing Class,Job 7-2,,1.0,
27,1.63,7.0,Routing Start,Job 7-2,,,"3.675,  machine 선택"
28,1.63,7.0,Routing Finish,Job 7-2,Machine 6,,
29,1.63,7.0,Work Start,Job 7-2,Machine 6,,
30,2.42,2.0,Created,Job 2-8,,,
31,2.42,2.0,Put in Routing Class,Job 2-8,,1.0,
32,2.42,2.0,Routing Start,Job 2-8,,,"3.675,  machine 선택"
33,2.42,2.0,Routing Finish,Job 2-8,Machine 1,,
34,2.42,2.0,Work Start,Job 2-8,Machine 1,,
35,2.5,9.0,Created,Job 9-23,,,
36,2.5,9.0,Put in Routing Class,Job 9-23,,1.0,
37,2.5,9.0,Routing Start,Job 9-23,,,"3.675,  machine 선택"
38,2.5,9.0,Routing Finish,Job 9-23,Machine 7,,
39,2.5,9.0,Work Start,Job 9-23,Machine 7,,
40,2.51,6.0,Created,Job 6-21,,,
41,2.51,6.0,Put in Routing Class,Job 6-21,,1.0,
42,3.5,5.0,Created,Job 5-5,,,
43,3.5,5.0,Put in Routing Class,Job 5-5,,2.0,
44,3.51,1.0,Created,Job 1-13,,,
45,3.51,1.0,Put in Routing Class,Job 1-13,,3.0,
46,3.99,3.0,Created,Job 3-9,,,
47,3.99,3.0,Put in Routing Class,Job 3-9,,4.0,
48,4.11,8.0,Created,Job 8-19,,,
49,4.11,8.0,Put in Routing Class,Job 8-19,,5.0,
50,4.18,9.0,Created,Job 9-28,,,
51,4.18,9.0,Put in Routing Class,Job 9-28,,6.0,
52,4.21,0.0,Created,Job 0-3,,,
53,4.21,0.0,Put in Routing Class,Job 0-3,,7.0,
54,4.33,4.0,Created,Job 4-37,,,
55,4.33,4.0,Put in Routing Class,Job 4-37,,8.0,
56,4.34,6.0,Created,Job 6-25,,,
57,4.34,6.0,Put in Routing Class,Job 6-25,,9.0,
58,4.73,2.0,Created,Job 2-27,,,
59,4.73,2.0,Put in Routing Class,Job 2-27,,10.0,
60,5.04,5.0,Created,Job 5-14,,,
61,5.04,5.0,Put in Routing Class,Job 5-14,,11.0,
62,5.24,8.0,Created,Job 8-32,,,
63,5.24,8.0,Put in Routing Class,Job 8-32,,12.0,
64,5.4,4.0,Created,Job 4-48,,,
65,5.4,4.0,Put in Routing Class,Job 4-48,,13.0,
66,5.55,9.0,Created,Job 9-73,,,
67,5.55,9.0,Put in Routing Class,Job 9-73,,14.0,
68,5.67,9.0,Work Finish,Job 9-10,Machine 5,,
69,5.67,9.0,Completed,Job 9-10,,,0
70,5.67,,Request Routing for Job,,Machine 5,14.0,
71,5.67,,Routing Start,,Machine 5,,3.675 Job 선택
72,5.67,9.0,Routing Finish,Job 9-28,Machine 5,,
73,5.67,9.0,Work Start,Job 9-28,Machine 5,,
74,5.92,7.0,Created,Job 7-6,,,
75,5.92,7.0,Put in Routing Class,Job 7-6,,14.0,
76,5.96,1.0,Work Finish,Job 1-4,Machine 2,,
77,5.96,1.0,Completed,Job 1-4,,,0
78,5.96,,Request Routing for Job,,Machine 2,14.0,
79,5.96,,Routing Start,,Machine 2,,3.675 Job 선택
80,5.96,4.0,Routing Finish,Job 4-37,Machine 2,,
81,5.96,4.0,Work Start,Job 4-37,Machine 2,,
82,6.29,3.0,Created,Job 3-11,,,
83,6.29,3.0,Put in Routing Class,Job 3-11,,14.0,
84,6.48,8.0,Created,Job 8-45,,,
85,6.48,8.0,Put in Routing Class,Job 8-45,,15.0,
86,6.55,4.0,Created,Job 4-50,,,
87,6.55,4.0,Put in Routing Class,Job 4-50,,16.0,
88,6.81,2.0,Work Finish,Job 2-8,Machine 1,,
89,6.81,2.0,Completed,Job 2-8,,,0
90,6.81,,Request Routing for Job,,Machine 1,16.0,
91,6.81,,Routing Start,,Machine 1,,3.675 Job 선택
92,6.81,9.0,Routing Finish,Job 9-73,Machine 1,,
93,6.81,9.0,Work Start,Job 9-73,Machine 1,,
94,7.33,6.0,Created,Job 6-31,,,
95,7.33,6.0,Put in Routing Class,Job 6-31,,16.0,
96,7.46,9.0,Created,Job 9-88,,,
97,7.46,9.0,Put in Routing Class,Job 9-88,,17.0,
98,7.56,7.0,Created,Job 7-7,,,
99,7.56,7.0,Put in Routing Class,Job 7-7,,18.0,
100,7.67,3.0,Created,Job 3-12,,,
101,7.67,3.0,Put in Routing Class,Job 3-12,,19.0,
102,7.68,4.0,Work Finish,Job 4-37,Machine 2,,
103,7.68,4.0,Completed,Job 4-37,,,0
104,7.68,,Request Routing for Job,,Machine 2,19.0,
