,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.12,9.0,Created,Job 9-27,,,
1,1.12,9.0,Put in Routing Class,Job 9-27,,1.0,
2,1.12,9.0,Routing Start,Job 9-27,,,"3.675,  machine 선택"
3,1.12,9.0,Routing Finish,Job 9-27,Machine 4,,
4,1.12,9.0,Work Start,Job 9-27,Machine 4,,
5,1.19,7.0,Created,Job 7-3,,,
6,1.19,7.0,Put in Routing Class,Job 7-3,,1.0,
7,1.19,7.0,Routing Start,Job 7-3,,,"3.675,  machine 선택"
8,1.19,7.0,Routing Finish,Job 7-3,Machine 1,,
9,1.19,7.0,Work Start,Job 7-3,Machine 1,,
10,1.2,0.0,Created,Job 0-4,,,
11,1.2,0.0,Put in Routing Class,Job 0-4,,1.0,
12,1.2,0.0,Routing Start,Job 0-4,,,"3.675,  machine 선택"
13,1.2,0.0,Routing Finish,Job 0-4,Machine 6,,
14,1.2,0.0,Work Start,Job 0-4,Machine 6,,
15,1.57,6.0,Created,Job 6-70,,,
16,1.57,6.0,Put in Routing Class,Job 6-70,,1.0,
17,1.57,6.0,Routing Start,Job 6-70,,,"3.675,  machine 선택"
18,1.57,6.0,Routing Finish,Job 6-70,Machine 5,,
19,1.57,6.0,Work Start,Job 6-70,Machine 5,,
20,1.85,5.0,Created,Job 5-7,,,
21,1.85,5.0,Put in Routing Class,Job 5-7,,1.0,
22,1.85,5.0,Routing Start,Job 5-7,,,"3.675,  machine 선택"
23,1.85,5.0,Routing Finish,Job 5-7,Machine 3,,
24,1.85,5.0,Work Start,Job 5-7,Machine 3,,
25,1.91,4.0,Created,Job 4-11,,,
26,1.91,4.0,Put in Routing Class,Job 4-11,,1.0,
27,1.91,4.0,Routing Start,Job 4-11,,,"3.675,  machine 선택"
28,1.91,4.0,Routing Finish,Job 4-11,Machine 7,,
29,1.91,4.0,Work Start,Job 4-11,Machine 7,,
30,2.16,9.0,Created,Job 9-28,,,
31,2.16,9.0,Put in Routing Class,Job 9-28,,1.0,
32,2.16,9.0,Routing Start,Job 9-28,,,"3.675,  machine 선택"
33,2.16,9.0,Routing Finish,Job 9-28,Machine 2,,
34,2.16,9.0,Work Start,Job 9-28,Machine 2,,
35,2.51,0.0,Created,Job 0-8,,,
36,2.51,0.0,Put in Routing Class,Job 0-8,,1.0,
37,2.51,0.0,Routing Start,Job 0-8,,,"3.675,  machine 선택"
38,2.51,0.0,Routing Finish,Job 0-8,Machine 0,,
39,2.51,0.0,Work Start,Job 0-8,Machine 0,,
40,2.82,6.0,Created,Job 6-72,,,
41,2.82,6.0,Put in Routing Class,Job 6-72,,1.0,
42,2.85,5.0,Created,Job 5-12,,,
43,2.85,5.0,Put in Routing Class,Job 5-12,,2.0,
44,3.02,4.0,Created,Job 4-16,,,
45,3.02,4.0,Put in Routing Class,Job 4-16,,3.0,
46,3.19,7.0,Created,Job 7-9,,,
47,3.19,7.0,Put in Routing Class,Job 7-9,,4.0,
48,3.52,9.0,Created,Job 9-31,,,
49,3.52,9.0,Put in Routing Class,Job 9-31,,5.0,
50,3.57,1.0,Created,Job 1-2,,,
51,3.57,1.0,Put in Routing Class,Job 1-2,,6.0,
52,4.04,2.0,Created,Job 2-5,,,
53,4.04,2.0,Put in Routing Class,Job 2-5,,7.0,
54,4.04,3.0,Created,Job 3-0,,,
55,4.04,3.0,Put in Routing Class,Job 3-0,,8.0,
56,4.12,6.0,Created,Job 6-90,,,
57,4.12,6.0,Put in Routing Class,Job 6-90,,9.0,
58,4.17,4.0,Created,Job 4-21,,,
59,4.17,4.0,Put in Routing Class,Job 4-21,,10.0,
60,4.39,7.0,Created,Job 7-13,,,
61,4.39,7.0,Put in Routing Class,Job 7-13,,11.0,
62,4.75,7.0,Work Finish,Job 7-3,Machine 1,,
63,4.75,7.0,Completed,Job 7-3,,,0
64,4.75,,Request Routing for Job,,Machine 1,11.0,
65,4.75,,Routing Start,,Machine 1,,3.675 Job 선택
66,4.75,5.0,Routing Finish,Job 5-12,Machine 1,,
67,4.75,5.0,Work Start,Job 5-12,Machine 1,,
68,5.35,6.0,Created,Job 6-98,,,
69,5.35,6.0,Put in Routing Class,Job 6-98,,11.0,
70,5.52,9.0,Created,Job 9-37,,,
71,5.52,9.0,Put in Routing Class,Job 9-37,,12.0,
72,5.57,2.0,Created,Job 2-14,,,
73,5.57,2.0,Put in Routing Class,Job 2-14,,13.0,
74,5.62,8.0,Created,Job 8-1,,,
75,5.62,8.0,Put in Routing Class,Job 8-1,,14.0,
76,5.79,1.0,Created,Job 1-10,,,
77,5.79,1.0,Put in Routing Class,Job 1-10,,15.0,
78,6.53,9.0,Work Finish,Job 9-27,Machine 4,,
79,6.53,9.0,Completed,Job 9-27,,,0
80,6.53,,Request Routing for Job,,Machine 4,15.0,
81,6.53,,Routing Start,,Machine 4,,3.675 Job 선택
82,6.53,8.0,Routing Finish,Job 8-1,Machine 4,,
83,6.53,8.0,Work Start,Job 8-1,Machine 4,,
84,6.63,6.0,Work Finish,Job 6-70,Machine 5,,
85,6.63,6.0,Completed,Job 6-70,,,0
86,6.63,,Request Routing for Job,,Machine 5,14.0,
87,6.63,,Routing Start,,Machine 5,,3.675 Job 선택
88,6.63,6.0,Routing Finish,Job 6-72,Machine 5,,
89,6.63,6.0,Work Start,Job 6-72,Machine 5,,
90,6.86,2.0,Created,Job 2-22,,,
91,6.86,2.0,Put in Routing Class,Job 2-22,,14.0,
92,7.14,5.0,Created,Job 5-35,,,
93,7.14,5.0,Put in Routing Class,Job 5-35,,15.0,
94,7.21,6.0,Created,Job 6-106,,,
95,7.21,6.0,Put in Routing Class,Job 6-106,,16.0,
96,7.57,7.0,Created,Job 7-17,,,
