,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.02,1.0,Created,Job 1-3,,,
1,1.02,1.0,Put in Routing Class,Job 1-3,,1.0,
2,1.02,1.0,Routing Start,Job 1-3,,,"3.675,  machine 선택"
3,1.02,1.0,Routing Finish,Job 1-3,Machine 4,,
4,1.02,1.0,Work Start,Job 1-3,Machine 4,,
5,1.06,9.0,Created,Job 9-24,,,
6,1.06,9.0,Put in Routing Class,Job 9-24,,1.0,
7,1.06,9.0,Routing Start,Job 9-24,,,"3.675,  machine 선택"
8,1.06,9.0,Routing Finish,Job 9-24,Machine 2,,
9,1.06,9.0,Work Start,Job 9-24,Machine 2,,
10,1.15,5.0,Created,Job 5-12,,,
11,1.15,5.0,Put in Routing Class,Job 5-12,,1.0,
12,1.15,5.0,Routing Start,Job 5-12,,,"3.675,  machine 선택"
13,1.15,5.0,Routing Finish,Job 5-12,Machine 5,,
14,1.15,5.0,Work Start,Job 5-12,Machine 5,,
15,1.18,4.0,Created,Job 4-10,,,
16,1.18,4.0,Put in Routing Class,Job 4-10,,1.0,
17,1.18,4.0,Routing Start,Job 4-10,,,"3.675,  machine 선택"
18,1.18,4.0,Routing Finish,Job 4-10,Machine 6,,
19,1.18,4.0,Work Start,Job 4-10,Machine 6,,
20,1.18,6.0,Created,Job 6-0,,,
21,1.18,6.0,Put in Routing Class,Job 6-0,,1.0,
22,1.18,6.0,Routing Start,Job 6-0,,,"3.675,  machine 선택"
23,1.18,6.0,Routing Finish,Job 6-0,Machine 7,,
24,1.18,6.0,Work Start,Job 6-0,Machine 7,,
25,1.24,8.0,Created,Job 8-4,,,
26,1.24,8.0,Put in Routing Class,Job 8-4,,1.0,
27,1.24,8.0,Routing Start,Job 8-4,,,"3.675,  machine 선택"
28,1.24,8.0,Routing Finish,Job 8-4,Machine 1,,
29,1.24,8.0,Work Start,Job 8-4,Machine 1,,
30,1.47,7.0,Created,Job 7-7,,,
31,1.47,7.0,Put in Routing Class,Job 7-7,,1.0,
32,1.47,7.0,Routing Start,Job 7-7,,,"3.675,  machine 선택"
33,1.47,7.0,Routing Finish,Job 7-7,Machine 0,,
