,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.08,9.0,Created,Job 9-40,,,
1,1.08,9.0,Put in Routing Class,Job 9-40,,1.0,
2,1.08,9.0,Routing Start,Job 9-40,,,"3.675,  machine 선택"
3,1.08,9.0,Routing Finish,Job 9-40,Machine 7,,
4,1.08,9.0,Work Start,Job 9-40,Machine 7,,
5,1.09,8.0,Created,Job 8-0,,,
6,1.09,8.0,Put in Routing Class,Job 8-0,,1.0,
7,1.09,8.0,Routing Start,Job 8-0,,,"3.675,  machine 선택"
8,1.09,8.0,Routing Finish,Job 8-0,Machine 5,,
9,1.09,8.0,Work Start,Job 8-0,Machine 5,,
10,1.59,2.0,Created,Job 2-5,,,
11,1.59,2.0,Put in Routing Class,Job 2-5,,1.0,
12,1.59,2.0,Routing Start,Job 2-5,,,"3.675,  machine 선택"
13,1.59,2.0,Routing Finish,Job 2-5,Machine 6,,
14,1.59,2.0,Work Start,Job 2-5,Machine 6,,
15,1.84,7.0,Created,Job 7-2,,,
16,1.84,7.0,Put in Routing Class,Job 7-2,,1.0,
17,1.84,7.0,Routing Start,Job 7-2,,,"3.675,  machine 선택"
18,1.84,7.0,Routing Finish,Job 7-2,Machine 0,,
19,1.84,7.0,Work Start,Job 7-2,Machine 0,,
20,1.84,3.0,Created,Job 3-8,,,
21,1.84,3.0,Put in Routing Class,Job 3-8,,1.0,
22,1.84,3.0,Routing Start,Job 3-8,,,"3.675,  machine 선택"
23,1.84,3.0,Routing Finish,Job 3-8,Machine 1,,
24,1.84,3.0,Work Start,Job 3-8,Machine 1,,
25,2.05,0.0,Created,Job 0-1,,,
26,2.05,0.0,Put in Routing Class,Job 0-1,,1.0,
27,2.05,0.0,Routing Start,Job 0-1,,,"3.675,  machine 선택"
28,2.05,0.0,Routing Finish,Job 0-1,Machine 2,,
29,2.05,0.0,Work Start,Job 0-1,Machine 2,,
30,2.26,6.0,Created,Job 6-4,,,
31,2.26,6.0,Put in Routing Class,Job 6-4,,1.0,
32,2.26,6.0,Routing Start,Job 6-4,,,"3.675,  machine 선택"
33,2.26,6.0,Routing Finish,Job 6-4,Machine 4,,
34,2.26,6.0,Work Start,Job 6-4,Machine 4,,
35,2.35,8.0,Created,Job 8-29,,,
36,2.35,8.0,Put in Routing Class,Job 8-29,,1.0,
37,2.35,8.0,Routing Start,Job 8-29,,,"3.675,  machine 선택"
38,2.35,8.0,Routing Finish,Job 8-29,Machine 3,,
39,2.35,8.0,Work Start,Job 8-29,Machine 3,,
40,2.66,2.0,Created,Job 2-15,,,
41,2.66,2.0,Put in Routing Class,Job 2-15,,1.0,
42,2.92,7.0,Created,Job 7-9,,,
43,2.92,7.0,Put in Routing Class,Job 7-9,,2.0,
44,3.21,0.0,Created,Job 0-38,,,
45,3.21,0.0,Put in Routing Class,Job 0-38,,3.0,
46,3.94,9.0,Created,Job 9-49,,,
47,3.94,9.0,Put in Routing Class,Job 9-49,,4.0,
48,4.05,4.0,Created,Job 4-10,,,
49,4.05,4.0,Put in Routing Class,Job 4-10,,5.0,
50,4.28,0.0,Created,Job 0-48,,,
51,4.28,0.0,Put in Routing Class,Job 0-48,,6.0,
52,4.47,8.0,Work Finish,Job 8-29,Machine 3,,
53,4.47,8.0,Completed,Job 8-29,,,0
54,4.47,,Request Routing for Job,,Machine 3,6.0,
55,4.47,,Routing Start,,Machine 3,,3.675 Job 선택
56,4.47,0.0,Routing Finish,Job 0-38,Machine 3,,
57,4.47,0.0,Work Start,Job 0-38,Machine 3,,
58,4.53,5.0,Created,Job 5-6,,,
59,4.53,5.0,Put in Routing Class,Job 5-6,,6.0,
60,4.69,9.0,Work Finish,Job 9-40,Machine 7,,
61,4.69,9.0,Completed,Job 9-40,,,0
62,4.69,,Request Routing for Job,,Machine 7,6.0,
63,4.69,,Routing Start,,Machine 7,,3.675 Job 선택
64,4.69,0.0,Routing Finish,Job 0-48,Machine 7,,
65,4.69,0.0,Work Start,Job 0-48,Machine 7,,
66,5.01,1.0,Created,Job 1-3,,,
67,5.01,1.0,Put in Routing Class,Job 1-3,,6.0,
68,5.07,7.0,Created,Job 7-20,,,
69,5.07,7.0,Put in Routing Class,Job 7-20,,7.0,
70,5.47,0.0,Created,Job 0-53,,,
71,5.47,0.0,Put in Routing Class,Job 0-53,,8.0,
72,5.52,3.0,Work Finish,Job 3-8,Machine 1,,
73,5.52,3.0,Completed,Job 3-8,,,0
74,5.52,,Request Routing for Job,,Machine 1,8.0,
75,5.52,,Routing Start,,Machine 1,,3.675 Job 선택
76,5.52,0.0,Routing Finish,Job 0-53,Machine 1,,
77,5.52,0.0,Work Start,Job 0-53,Machine 1,,
78,5.53,5.0,Created,Job 5-7,,,
79,5.53,5.0,Put in Routing Class,Job 5-7,,8.0,
80,5.61,2.0,Work Finish,Job 2-5,Machine 6,,
81,5.61,2.0,Completed,Job 2-5,,,0
82,5.61,,Request Routing for Job,,Machine 6,8.0,
83,5.61,,Routing Start,,Machine 6,,3.675 Job 선택
84,5.61,2.0,Routing Finish,Job 2-15,Machine 6,,
85,5.61,2.0,Work Start,Job 2-15,Machine 6,,
86,5.65,8.0,Work Finish,Job 8-0,Machine 5,,
87,5.65,8.0,Completed,Job 8-0,,,0
88,5.65,,Request Routing for Job,,Machine 5,7.0,
89,5.65,,Routing Start,,Machine 5,,3.675 Job 선택
90,5.65,1.0,Routing Finish,Job 1-3,Machine 5,,
91,5.65,1.0,Work Start,Job 1-3,Machine 5,,
92,5.74,4.0,Created,Job 4-12,,,
93,5.74,4.0,Put in Routing Class,Job 4-12,,7.0,
94,5.85,7.0,Work Finish,Job 7-2,Machine 0,,
95,5.85,7.0,Completed,Job 7-2,,,0
96,5.85,,Request Routing for Job,,Machine 0,7.0,
97,5.85,,Routing Start,,Machine 0,,3.675 Job 선택
98,5.85,7.0,Routing Finish,Job 7-9,Machine 0,,
99,5.85,7.0,Work Start,Job 7-9,Machine 0,,
100,6.07,0.0,Work Finish,Job 0-38,Machine 3,,
101,6.07,0.0,Completed,Job 0-38,,,0
102,6.07,,Request Routing for Job,,Machine 3,6.0,
103,6.07,,Routing Start,,Machine 3,,3.675 Job 선택
104,6.07,7.0,Routing Finish,Job 7-20,Machine 3,,
105,6.07,7.0,Work Start,Job 7-20,Machine 3,,
106,6.14,9.0,Created,Job 9-55,,,
107,6.14,9.0,Put in Routing Class,Job 9-55,,6.0,
108,6.29,2.0,Created,Job 2-19,,,
109,6.29,2.0,Put in Routing Class,Job 2-19,,7.0,
110,6.34,6.0,Created,Job 6-11,,,
111,6.34,6.0,Put in Routing Class,Job 6-11,,8.0,
112,6.34,3.0,Created,Job 3-13,,,
113,6.34,3.0,Put in Routing Class,Job 3-13,,9.0,
114,6.77,5.0,Created,Job 5-14,,,
115,6.77,5.0,Put in Routing Class,Job 5-14,,10.0,
116,7.02,0.0,Created,Job 0-54,,,
117,7.02,0.0,Put in Routing Class,Job 0-54,,11.0,
118,7.28,8.0,Created,Job 8-34,,,
119,7.28,8.0,Put in Routing Class,Job 8-34,,12.0,
120,7.29,9.0,Created,Job 9-79,,,
121,7.29,9.0,Put in Routing Class,Job 9-79,,13.0,
122,7.33,2.0,Created,Job 2-42,,,
123,7.33,2.0,Put in Routing Class,Job 2-42,,14.0,
124,7.64,4.0,Created,Job 4-28,,,
125,7.64,4.0,Put in Routing Class,Job 4-28,,15.0,
126,7.8,1.0,Created,Job 1-22,,,
127,7.8,1.0,Put in Routing Class,Job 1-22,,16.0,
128,7.87,7.0,Created,Job 7-24,,,
129,7.87,7.0,Put in Routing Class,Job 7-24,,17.0,
130,8.36,5.0,Created,Job 5-16,,,
131,8.36,5.0,Put in Routing Class,Job 5-16,,18.0,
132,8.36,8.0,Created,Job 8-43,,,
133,8.36,8.0,Put in Routing Class,Job 8-43,,19.0,
134,8.41,3.0,Created,Job 3-21,,,
135,8.41,3.0,Put in Routing Class,Job 3-21,,20.0,
136,8.56,9.0,Created,Job 9-81,,,
137,8.56,9.0,Put in Routing Class,Job 9-81,,21.0,
138,8.79,0.0,Work Finish,Job 0-53,Machine 1,,
139,8.79,0.0,Completed,Job 0-53,,,0
140,8.79,,Request Routing for Job,,Machine 1,21.0,
141,8.79,,Routing Start,,Machine 1,,3.675 Job 선택
142,8.79,0.0,Routing Finish,Job 0-54,Machine 1,,
143,8.79,0.0,Work Start,Job 0-54,Machine 1,,
144,8.79,2.0,Created,Job 2-67,,,
145,8.79,2.0,Put in Routing Class,Job 2-67,,21.0,
146,9.11,4.0,Created,Job 4-35,,,
147,9.11,4.0,Put in Routing Class,Job 4-35,,22.0,
148,9.18,7.0,Created,Job 7-27,,,
149,9.18,7.0,Put in Routing Class,Job 7-27,,23.0,
150,9.62,2.0,Work Finish,Job 2-15,Machine 6,,
151,9.62,2.0,Completed,Job 2-15,,,0
152,9.62,,Request Routing for Job,,Machine 6,23.0,
153,9.62,,Routing Start,,Machine 6,,3.675 Job 선택
154,9.62,2.0,Routing Finish,Job 2-19,Machine 6,,
155,9.62,2.0,Work Start,Job 2-19,Machine 6,,
156,9.63,3.0,Created,Job 3-25,,,
157,9.63,3.0,Put in Routing Class,Job 3-25,,23.0,
158,9.86,7.0,Work Finish,Job 7-9,Machine 0,,
159,9.86,7.0,Completed,Job 7-9,,,0
160,9.86,,Request Routing for Job,,Machine 0,23.0,
161,9.86,,Routing Start,,Machine 0,,3.675 Job 선택
162,9.86,1.0,Routing Finish,Job 1-22,Machine 0,,
163,9.86,1.0,Work Start,Job 1-22,Machine 0,,
164,9.89,2.0,Created,Job 2-73,,,
165,9.89,2.0,Put in Routing Class,Job 2-73,,23.0,
166,10.01,1.0,Work Finish,Job 1-3,Machine 5,,
167,10.01,1.0,Completed,Job 1-3,,,0
168,10.01,,Request Routing for Job,,Machine 5,23.0,
169,10.01,,Routing Start,,Machine 5,,3.675 Job 선택
170,10.01,2.0,Routing Finish,Job 2-42,Machine 5,,
171,10.01,2.0,Work Start,Job 2-42,Machine 5,,
172,10.25,5.0,Created,Job 5-17,,,
173,10.25,5.0,Put in Routing Class,Job 5-17,,23.0,
174,10.91,0.0,Created,Job 0-57,,,
175,10.91,0.0,Put in Routing Class,Job 0-57,,24.0,
176,11.19,4.0,Created,Job 4-36,,,
177,11.19,4.0,Put in Routing Class,Job 4-36,,25.0,
178,11.25,9.0,Created,Job 9-86,,,
179,11.25,9.0,Put in Routing Class,Job 9-86,,26.0,
180,11.51,8.0,Created,Job 8-44,,,
181,11.51,8.0,Put in Routing Class,Job 8-44,,27.0,
182,11.54,7.0,Created,Job 7-41,,,
183,11.54,7.0,Put in Routing Class,Job 7-41,,28.0,
184,12.05,0.0,Work Finish,Job 0-54,Machine 1,,
185,12.05,0.0,Completed,Job 0-54,,,0
186,12.05,,Request Routing for Job,,Machine 1,28.0,
187,12.05,,Routing Start,,Machine 1,,3.675 Job 선택
188,12.05,0.0,Routing Finish,Job 0-57,Machine 1,,
189,12.05,0.0,Work Start,Job 0-57,Machine 1,,
190,12.13,6.0,Work Finish,Job 6-4,Machine 4,,
191,12.13,6.0,Completed,Job 6-4,,,0
192,12.13,,Request Routing for Job,,Machine 4,27.0,
193,12.13,,Routing Start,,Machine 4,,3.675 Job 선택
194,12.13,2.0,Routing Finish,Job 2-67,Machine 4,,
195,12.13,2.0,Work Start,Job 2-67,Machine 4,,
196,12.17,3.0,Created,Job 3-46,,,
197,12.17,3.0,Put in Routing Class,Job 3-46,,27.0,
198,12.23,2.0,Work Finish,Job 2-42,Machine 5,,
199,12.23,2.0,Completed,Job 2-42,,,0
200,12.23,,Request Routing for Job,,Machine 5,27.0,
201,12.23,,Routing Start,,Machine 5,,3.675 Job 선택
202,12.23,2.0,Routing Finish,Job 2-73,Machine 5,,
203,12.23,2.0,Work Start,Job 2-73,Machine 5,,
204,12.44,6.0,Created,Job 6-23,,,
205,12.44,6.0,Put in Routing Class,Job 6-23,,27.0,
206,12.55,4.0,Created,Job 4-37,,,
207,12.55,4.0,Put in Routing Class,Job 4-37,,28.0,
208,12.71,0.0,Created,Job 0-82,,,
209,12.71,0.0,Put in Routing Class,Job 0-82,,29.0,
210,12.73,2.0,Created,Job 2-83,,,
211,12.73,2.0,Put in Routing Class,Job 2-83,,30.0,
212,12.74,7.0,Created,Job 7-58,,,
213,12.74,7.0,Put in Routing Class,Job 7-58,,31.0,
214,12.96,1.0,Created,Job 1-32,,,
215,12.96,1.0,Put in Routing Class,Job 1-32,,32.0,
216,13.15,9.0,Created,Job 9-126,,,
217,13.15,9.0,Put in Routing Class,Job 9-126,,33.0,
218,13.39,1.0,Work Finish,Job 1-22,Machine 0,,
219,13.39,1.0,Completed,Job 1-22,,,0
220,13.39,,Request Routing for Job,,Machine 0,33.0,
221,13.39,,Routing Start,,Machine 0,,3.675 Job 선택
222,13.39,6.0,Routing Finish,Job 6-11,Machine 0,,
223,13.39,6.0,Work Start,Job 6-11,Machine 0,,
224,13.51,3.0,Created,Job 3-47,,,
225,13.51,3.0,Put in Routing Class,Job 3-47,,33.0,
226,13.64,2.0,Work Finish,Job 2-19,Machine 6,,
227,13.64,2.0,Completed,Job 2-19,,,0
228,13.64,,Request Routing for Job,,Machine 6,33.0,
229,13.64,,Routing Start,,Machine 6,,3.675 Job 선택
230,13.64,2.0,Routing Finish,Job 2-83,Machine 6,,
231,13.64,2.0,Work Start,Job 2-83,Machine 6,,
232,13.85,7.0,Work Finish,Job 7-20,Machine 3,,
233,13.85,7.0,Completed,Job 7-20,,,0
234,13.85,,Request Routing for Job,,Machine 3,32.0,
235,13.85,,Routing Start,,Machine 3,,3.675 Job 선택
236,13.85,8.0,Routing Finish,Job 8-34,Machine 3,,
237,13.85,8.0,Work Start,Job 8-34,Machine 3,,
238,13.93,6.0,Created,Job 6-33,,,
239,13.93,6.0,Put in Routing Class,Job 6-33,,32.0,
240,14.03,4.0,Created,Job 4-39,,,
241,14.03,4.0,Put in Routing Class,Job 4-39,,33.0,
242,14.09,2.0,Created,Job 2-95,,,
243,14.09,2.0,Put in Routing Class,Job 2-95,,34.0,
244,14.44,2.0,Work Finish,Job 2-73,Machine 5,,
245,14.44,2.0,Completed,Job 2-73,,,0
246,14.44,,Request Routing for Job,,Machine 5,34.0,
247,14.44,,Routing Start,,Machine 5,,3.675 Job 선택
248,14.44,2.0,Routing Finish,Job 2-95,Machine 5,,
249,14.44,2.0,Work Start,Job 2-95,Machine 5,,
250,14.53,5.0,Created,Job 5-18,,,
251,14.53,5.0,Put in Routing Class,Job 5-18,,34.0,
252,14.68,6.0,Work Finish,Job 6-11,Machine 0,,
253,14.68,6.0,Completed,Job 6-11,,,0
254,14.68,,Request Routing for Job,,Machine 0,34.0,
255,14.68,,Routing Start,,Machine 0,,3.675 Job 선택
256,14.68,7.0,Routing Finish,Job 7-24,Machine 0,,
257,14.68,7.0,Work Start,Job 7-24,Machine 0,,
258,14.8,3.0,Created,Job 3-59,,,
259,14.8,3.0,Put in Routing Class,Job 3-59,,34.0,
260,14.98,1.0,Created,Job 1-56,,,
261,14.98,1.0,Put in Routing Class,Job 1-56,,35.0,
262,15.11,9.0,Created,Job 9-142,,,
263,15.11,9.0,Put in Routing Class,Job 9-142,,36.0,
264,15.19,2.0,Created,Job 2-101,,,
265,15.19,2.0,Put in Routing Class,Job 2-101,,37.0,
266,15.2,6.0,Created,Job 6-71,,,
267,15.2,6.0,Put in Routing Class,Job 6-71,,38.0,
268,15.32,0.0,Work Finish,Job 0-57,Machine 1,,
269,15.32,0.0,Completed,Job 0-57,,,0
270,15.32,,Request Routing for Job,,Machine 1,38.0,
271,15.32,,Routing Start,,Machine 1,,3.675 Job 선택
272,15.32,0.0,Routing Finish,Job 0-82,Machine 1,,
273,15.32,0.0,Work Start,Job 0-82,Machine 1,,
274,15.32,2.0,Work Finish,Job 2-67,Machine 4,,
275,15.32,2.0,Completed,Job 2-67,,,0
276,15.32,,Request Routing for Job,,Machine 4,37.0,
277,15.32,,Routing Start,,Machine 4,,3.675 Job 선택
278,15.32,2.0,Routing Finish,Job 2-101,Machine 4,,
279,15.32,2.0,Work Start,Job 2-101,Machine 4,,
280,15.39,0.0,Created,Job 0-88,,,
281,15.39,0.0,Put in Routing Class,Job 0-88,,37.0,
282,15.46,8.0,Created,Job 8-77,,,
283,15.46,8.0,Put in Routing Class,Job 8-77,,38.0,
284,15.46,7.0,Created,Job 7-61,,,
285,15.46,7.0,Put in Routing Class,Job 7-61,,39.0,
286,15.97,8.0,Work Finish,Job 8-34,Machine 3,,
287,15.97,8.0,Completed,Job 8-34,,,0
288,15.97,,Request Routing for Job,,Machine 3,39.0,
289,15.97,,Routing Start,,Machine 3,,3.675 Job 선택
290,15.97,8.0,Routing Finish,Job 8-43,Machine 3,,
291,15.97,8.0,Work Start,Job 8-43,Machine 3,,
292,16.29,3.0,Created,Job 3-64,,,
293,16.29,3.0,Put in Routing Class,Job 3-64,,39.0,
294,16.32,9.0,Created,Job 9-153,,,
295,16.32,9.0,Put in Routing Class,Job 9-153,,40.0,
296,16.38,6.0,Created,Job 6-103,,,
297,16.38,6.0,Put in Routing Class,Job 6-103,,41.0,
298,16.56,0.0,Created,Job 0-104,,,
299,16.56,0.0,Put in Routing Class,Job 0-104,,42.0,
300,16.66,2.0,Work Finish,Job 2-95,Machine 5,,
301,16.66,2.0,Completed,Job 2-95,,,0
302,16.66,,Request Routing for Job,,Machine 5,42.0,
303,16.66,,Routing Start,,Machine 5,,3.675 Job 선택
304,16.66,8.0,Routing Finish,Job 8-44,Machine 5,,
305,16.66,8.0,Work Start,Job 8-44,Machine 5,,
306,16.92,8.0,Created,Job 8-78,,,
307,16.92,8.0,Put in Routing Class,Job 8-78,,42.0,
308,16.99,2.0,Created,Job 2-106,,,
309,16.99,2.0,Put in Routing Class,Job 2-106,,43.0,
310,17.3,3.0,Created,Job 3-68,,,
311,17.3,3.0,Put in Routing Class,Job 3-68,,44.0,
312,17.42,0.0,Work Finish,Job 0-48,Machine 7,,
313,17.42,0.0,Completed,Job 0-48,,,3.931471620801071
314,17.42,,Request Routing for Job,,Machine 7,44.0,
315,17.42,,Routing Start,,Machine 7,,3.675 Job 선택
316,17.42,8.0,Routing Finish,Job 8-77,Machine 7,,
317,17.42,8.0,Work Start,Job 8-77,Machine 7,,
318,17.65,0.0,Created,Job 0-105,,,
319,17.65,0.0,Put in Routing Class,Job 0-105,,44.0,
320,17.66,2.0,Work Finish,Job 2-83,Machine 6,,
321,17.66,2.0,Completed,Job 2-83,,,0
322,17.66,,Request Routing for Job,,Machine 6,44.0,
323,17.66,,Routing Start,,Machine 6,,3.675 Job 선택
324,17.66,1.0,Routing Finish,Job 1-32,Machine 6,,
325,17.66,1.0,Work Start,Job 1-32,Machine 6,,
326,18.09,8.0,Work Finish,Job 8-43,Machine 3,,
327,18.09,8.0,Completed,Job 8-43,,,0
328,18.09,,Request Routing for Job,,Machine 3,43.0,
329,18.09,,Routing Start,,Machine 3,,3.675 Job 선택
330,18.09,0.0,Routing Finish,Job 0-88,Machine 3,,
331,18.09,0.0,Work Start,Job 0-88,Machine 3,,
332,18.14,6.0,Created,Job 6-133,,,
333,18.14,6.0,Put in Routing Class,Job 6-133,,43.0,
334,18.25,8.0,Created,Job 8-80,,,
335,18.25,8.0,Put in Routing Class,Job 8-80,,44.0,
336,18.43,9.0,Created,Job 9-173,,,
337,18.43,9.0,Put in Routing Class,Job 9-173,,45.0,
338,18.47,5.0,Created,Job 5-26,,,
339,18.47,5.0,Put in Routing Class,Job 5-26,,46.0,
340,18.51,2.0,Work Finish,Job 2-101,Machine 4,,
341,18.51,2.0,Completed,Job 2-101,,,0
342,18.51,,Request Routing for Job,,Machine 4,46.0,
343,18.51,,Routing Start,,Machine 4,,3.675 Job 선택
344,18.51,2.0,Routing Finish,Job 2-106,Machine 4,,
345,18.51,2.0,Work Start,Job 2-106,Machine 4,,
346,18.58,0.0,Work Finish,Job 0-82,Machine 1,,
347,18.58,0.0,Completed,Job 0-82,,,0
348,18.58,,Request Routing for Job,,Machine 1,45.0,
349,18.58,,Routing Start,,Machine 1,,3.675 Job 선택
350,18.58,1.0,Routing Finish,Job 1-56,Machine 1,,
351,18.58,1.0,Work Start,Job 1-56,Machine 1,,
352,18.69,7.0,Work Finish,Job 7-24,Machine 0,,
353,18.69,7.0,Completed,Job 7-24,,,1.7375402529420185
354,18.69,,Request Routing for Job,,Machine 0,44.0,
355,18.69,,Routing Start,,Machine 0,,3.675 Job 선택
356,18.69,6.0,Routing Finish,Job 6-23,Machine 0,,
357,18.69,6.0,Work Start,Job 6-23,Machine 0,,
358,18.9,0.0,Created,Job 0-108,,,
359,18.9,0.0,Put in Routing Class,Job 0-108,,44.0,
360,19.26,4.0,Created,Job 4-50,,,
361,19.26,4.0,Put in Routing Class,Job 4-50,,45.0,
362,19.31,0.0,Work Finish,Job 0-1,Machine 2,,
363,19.31,0.0,Completed,Job 0-1,,,8.042083494876898
364,19.31,,Request Routing for Job,,Machine 2,45.0,
365,19.31,,Routing Start,,Machine 2,,3.675 Job 선택
366,19.31,3.0,Routing Finish,Job 3-13,Machine 2,,
367,19.31,3.0,Work Start,Job 3-13,Machine 2,,
368,19.48,1.0,Created,Job 1-87,,,
369,19.48,1.0,Put in Routing Class,Job 1-87,,45.0,
370,19.68,7.0,Created,Job 7-70,,,
371,19.68,7.0,Put in Routing Class,Job 7-70,,46.0,
372,19.7,0.0,Work Finish,Job 0-88,Machine 3,,
373,19.7,0.0,Completed,Job 0-88,,,0
374,19.7,,Request Routing for Job,,Machine 3,46.0,
375,19.7,,Routing Start,,Machine 3,,3.675 Job 선택
376,19.7,0.0,Routing Finish,Job 0-104,Machine 3,,
377,19.7,0.0,Work Start,Job 0-104,Machine 3,,
378,19.83,1.0,Work Finish,Job 1-32,Machine 6,,
379,19.83,1.0,Completed,Job 1-32,,,0
380,19.83,,Request Routing for Job,,Machine 6,45.0,
381,19.83,,Routing Start,,Machine 6,,3.675 Job 선택
382,19.83,1.0,Routing Finish,Job 1-87,Machine 6,,
383,19.83,1.0,Work Start,Job 1-87,Machine 6,,
384,19.98,6.0,Work Finish,Job 6-23,Machine 0,,
385,19.98,6.0,Completed,Job 6-23,,,0
386,19.98,,Request Routing for Job,,Machine 0,44.0,
387,19.98,,Routing Start,,Machine 0,,3.675 Job 선택
388,19.98,6.0,Routing Finish,Job 6-33,Machine 0,,
389,19.98,6.0,Work Start,Job 6-33,Machine 0,,
390,20.17,6.0,Created,Job 6-150,,,
391,20.17,6.0,Put in Routing Class,Job 6-150,,44.0,
392,20.26,0.0,Created,Job 0-115,,,
393,20.26,0.0,Put in Routing Class,Job 0-115,,45.0,
394,20.36,4.0,Created,Job 4-51,,,
