,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.11,7.0,Created,Job 7-1,,,
1,1.11,7.0,Put in Routing Class,Job 7-1,,1.0,
2,1.11,7.0,Routing Start,Job 7-1,,,"3.675,  machine 선택"
3,1.11,7.0,Routing Finish,Job 7-1,Machine 2,,
4,1.11,7.0,Work Start,Job 7-1,Machine 2,,
5,1.12,1.0,Created,Job 1-11,,,
6,1.12,1.0,Put in Routing Class,Job 1-11,,1.0,
7,1.12,1.0,Routing Start,Job 1-11,,,"3.675,  machine 선택"
8,1.12,1.0,Routing Finish,Job 1-11,Machine 1,,
9,1.12,1.0,Work Start,Job 1-11,Machine 1,,
10,1.25,9.0,Created,Job 9-14,,,
11,1.25,9.0,Put in Routing Class,Job 9-14,,1.0,
12,1.25,9.0,Routing Start,Job 9-14,,,"3.675,  machine 선택"
13,1.25,9.0,Routing Finish,Job 9-14,Machine 6,,
14,1.25,9.0,Work Start,Job 9-14,Machine 6,,
15,1.62,2.0,Created,Job 2-16,,,
16,1.62,2.0,Put in Routing Class,Job 2-16,,1.0,
17,1.62,2.0,Routing Start,Job 2-16,,,"3.675,  machine 선택"
18,1.62,2.0,Routing Finish,Job 2-16,Machine 3,,
19,1.62,2.0,Work Start,Job 2-16,Machine 3,,
20,2.15,5.0,Created,Job 5-5,,,
21,2.15,5.0,Put in Routing Class,Job 5-5,,1.0,
22,2.15,5.0,Routing Start,Job 5-5,,,"3.675,  machine 선택"
23,2.15,5.0,Routing Finish,Job 5-5,Machine 5,,
24,2.15,5.0,Work Start,Job 5-5,Machine 5,,
25,2.16,1.0,Created,Job 1-15,,,
26,2.16,1.0,Put in Routing Class,Job 1-15,,1.0,
27,2.16,1.0,Routing Start,Job 1-15,,,"3.675,  machine 선택"
28,2.16,1.0,Routing Finish,Job 1-15,Machine 0,,
29,2.16,1.0,Work Start,Job 1-15,Machine 0,,
30,2.18,7.0,Created,Job 7-10,,,
31,2.18,7.0,Put in Routing Class,Job 7-10,,1.0,
32,2.18,7.0,Routing Start,Job 7-10,,,"3.675,  machine 선택"
33,2.18,7.0,Routing Finish,Job 7-10,Machine 4,,
34,2.18,7.0,Work Start,Job 7-10,Machine 4,,
35,2.2,8.0,Created,Job 8-8,,,
36,2.2,8.0,Put in Routing Class,Job 8-8,,1.0,
37,2.2,8.0,Routing Start,Job 8-8,,,"3.675,  machine 선택"
38,2.2,8.0,Routing Finish,Job 8-8,Machine 7,,
39,2.2,8.0,Work Start,Job 8-8,Machine 7,,
40,2.56,4.0,Created,Job 4-0,,,
41,2.56,4.0,Put in Routing Class,Job 4-0,,1.0,
42,2.59,6.0,Created,Job 6-4,,,
43,2.59,6.0,Put in Routing Class,Job 6-4,,2.0,
44,2.6,9.0,Created,Job 9-46,,,
45,2.6,9.0,Put in Routing Class,Job 9-46,,3.0,
