,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.07,4.0,Created,Job 4-5,,,
1,1.07,4.0,Put in Routing Class,Job 4-5,,1.0,
2,1.07,4.0,Routing Start,Job 4-5,,,"3.675,  machine 선택"
3,1.07,4.0,Routing Finish,Job 4-5,Machine 3,,
4,1.07,4.0,Work Start,Job 4-5,Machine 3,,
5,1.19,8.0,Created,Job 8-9,,,
6,1.19,8.0,Put in Routing Class,Job 8-9,,1.0,
7,1.19,8.0,Routing Start,Job 8-9,,,"3.675,  machine 선택"
8,1.19,8.0,Routing Finish,Job 8-9,Machine 7,,
9,1.19,8.0,Work Start,Job 8-9,Machine 7,,
10,1.4,6.0,Created,Job 6-0,,,
11,1.4,6.0,Put in Routing Class,Job 6-0,,1.0,
12,1.4,6.0,Routing Start,Job 6-0,,,"3.675,  machine 선택"
13,1.4,6.0,Routing Finish,Job 6-0,Machine 5,,
14,1.4,6.0,Work Start,Job 6-0,Machine 5,,
15,1.66,9.0,Created,Job 9-6,,,
16,1.66,9.0,Put in Routing Class,Job 9-6,,1.0,
17,1.66,9.0,Routing Start,Job 9-6,,,"3.675,  machine 선택"
18,1.66,9.0,Routing Finish,Job 9-6,Machine 4,,
19,1.66,9.0,Work Start,Job 9-6,Machine 4,,
20,1.71,2.0,Created,Job 2-8,,,
21,1.71,2.0,Put in Routing Class,Job 2-8,,1.0,
22,1.71,2.0,Routing Start,Job 2-8,,,"3.675,  machine 선택"
23,1.71,2.0,Routing Finish,Job 2-8,Machine 1,,
24,1.71,2.0,Work Start,Job 2-8,Machine 1,,
25,1.84,0.0,Created,Job 0-14,,,
26,1.84,0.0,Put in Routing Class,Job 0-14,,1.0,
27,1.84,0.0,Routing Start,Job 0-14,,,"3.675,  machine 선택"
28,1.84,0.0,Routing Finish,Job 0-14,Machine 0,,
29,1.84,0.0,Work Start,Job 0-14,Machine 0,,
30,2.02,3.0,Created,Job 3-17,,,
31,2.02,3.0,Put in Routing Class,Job 3-17,,1.0,
32,2.02,3.0,Routing Start,Job 3-17,,,"3.675,  machine 선택"
33,2.02,3.0,Routing Finish,Job 3-17,Machine 6,,
34,2.02,3.0,Work Start,Job 3-17,Machine 6,,
35,2.32,1.0,Created,Job 1-18,,,
36,2.32,1.0,Put in Routing Class,Job 1-18,,1.0,
37,2.32,1.0,Routing Start,Job 1-18,,,"3.675,  machine 선택"
38,2.32,1.0,Routing Finish,Job 1-18,Machine 2,,
39,2.32,1.0,Work Start,Job 1-18,Machine 2,,
40,2.63,8.0,Created,Job 8-19,,,
41,2.63,8.0,Put in Routing Class,Job 8-19,,1.0,
42,2.67,7.0,Created,Job 7-4,,,
43,2.67,7.0,Put in Routing Class,Job 7-4,,2.0,
44,2.78,9.0,Created,Job 9-10,,,
45,2.78,9.0,Put in Routing Class,Job 9-10,,3.0,
46,2.87,0.0,Created,Job 0-15,,,
47,2.87,0.0,Put in Routing Class,Job 0-15,,4.0,
48,3.63,8.0,Created,Job 8-26,,,
49,3.63,8.0,Put in Routing Class,Job 8-26,,5.0,
50,3.65,2.0,Created,Job 2-11,,,
51,3.65,2.0,Put in Routing Class,Job 2-11,,6.0,
52,3.7,7.0,Created,Job 7-20,,,
53,3.7,7.0,Put in Routing Class,Job 7-20,,7.0,
54,3.86,9.0,Created,Job 9-65,,,
55,3.86,9.0,Put in Routing Class,Job 9-65,,8.0,
56,4.03,1.0,Created,Job 1-30,,,
57,4.03,1.0,Put in Routing Class,Job 1-30,,9.0,
58,4.2,6.0,Created,Job 6-7,,,
59,4.2,6.0,Put in Routing Class,Job 6-7,,10.0,
60,4.39,0.0,Created,Job 0-32,,,
61,4.39,0.0,Put in Routing Class,Job 0-32,,11.0,
62,4.39,5.0,Created,Job 5-1,,,
63,4.39,5.0,Put in Routing Class,Job 5-1,,12.0,
64,4.44,4.0,Created,Job 4-24,,,
65,4.44,4.0,Put in Routing Class,Job 4-24,,13.0,
66,4.88,4.0,Work Finish,Job 4-5,Machine 3,,
67,4.88,4.0,Completed,Job 4-5,,,0
68,4.88,,Request Routing for Job,,Machine 3,13.0,
69,4.88,,Routing Start,,Machine 3,,3.675 Job 선택
70,4.88,5.0,Routing Finish,Job 5-1,Machine 3,,
71,4.88,5.0,Work Start,Job 5-1,Machine 3,,
72,5.05,9.0,Created,Job 9-85,,,
73,5.05,9.0,Put in Routing Class,Job 9-85,,13.0,
74,5.06,7.0,Created,Job 7-29,,,
75,5.06,7.0,Put in Routing Class,Job 7-29,,14.0,
76,5.81,6.0,Created,Job 6-22,,,
77,5.81,6.0,Put in Routing Class,Job 6-22,,15.0,
78,5.82,8.0,Work Finish,Job 8-9,Machine 7,,
79,5.82,8.0,Completed,Job 8-9,,,0
80,5.82,,Request Routing for Job,,Machine 7,15.0,
81,5.82,,Routing Start,,Machine 7,,3.675 Job 선택
82,5.82,7.0,Routing Finish,Job 7-4,Machine 7,,
83,5.82,7.0,Work Start,Job 7-4,Machine 7,,
84,6.0,5.0,Created,Job 5-2,,,
85,6.0,5.0,Put in Routing Class,Job 5-2,,15.0,
86,6.06,4.0,Created,Job 4-35,,,
87,6.06,4.0,Put in Routing Class,Job 4-35,,16.0,
88,6.31,3.0,Created,Job 3-23,,,
89,6.31,3.0,Put in Routing Class,Job 3-23,,17.0,
90,6.32,9.0,Created,Job 9-98,,,
