,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.68,9.0,Created,Job 9-8,,,
1,1.68,9.0,Put in Routing Class,Job 9-8,,1.0,
2,1.68,9.0,Routing Start,Job 9-8,,,"3.675,  machine 선택"
3,1.68,9.0,Routing Finish,Job 9-8,Machine 4,,
4,1.68,9.0,Work Start,Job 9-8,Machine 4,,
5,1.77,5.0,Created,Job 5-10,,,
6,1.77,5.0,Put in Routing Class,Job 5-10,,1.0,
7,1.77,5.0,Routing Start,Job 5-10,,,"3.675,  machine 선택"
8,1.77,5.0,Routing Finish,Job 5-10,Machine 6,,
9,1.77,5.0,Work Start,Job 5-10,Machine 6,,
10,1.97,6.0,Created,Job 6-0,,,
11,1.97,6.0,Put in Routing Class,Job 6-0,,1.0,
12,1.97,6.0,Routing Start,Job 6-0,,,"3.675,  machine 선택"
13,1.97,6.0,Routing Finish,Job 6-0,Machine 0,,
14,1.97,6.0,Work Start,Job 6-0,Machine 0,,
15,2.44,3.0,Created,Job 3-5,,,
16,2.44,3.0,Put in Routing Class,Job 3-5,,1.0,
17,2.44,3.0,Routing Start,Job 3-5,,,"3.675,  machine 선택"
18,2.44,3.0,Routing Finish,Job 3-5,Machine 1,,
19,2.44,3.0,Work Start,Job 3-5,Machine 1,,
20,2.65,1.0,Created,Job 1-12,,,
21,2.65,1.0,Put in Routing Class,Job 1-12,,1.0,
22,2.65,1.0,Routing Start,Job 1-12,,,"3.675,  machine 선택"
23,2.65,1.0,Routing Finish,Job 1-12,Machine 7,,
24,2.65,1.0,Work Start,Job 1-12,Machine 7,,
25,2.73,7.0,Created,Job 7-2,,,
26,2.73,7.0,Put in Routing Class,Job 7-2,,1.0,
27,2.73,7.0,Routing Start,Job 7-2,,,"3.675,  machine 선택"
28,2.73,7.0,Routing Finish,Job 7-2,Machine 5,,
29,2.73,7.0,Work Start,Job 7-2,Machine 5,,
30,2.88,9.0,Created,Job 9-24,,,
31,2.88,9.0,Put in Routing Class,Job 9-24,,1.0,
32,2.88,9.0,Routing Start,Job 9-24,,,"3.675,  machine 선택"
33,2.88,9.0,Routing Finish,Job 9-24,Machine 3,,
34,2.88,9.0,Work Start,Job 9-24,Machine 3,,
35,2.95,4.0,Created,Job 4-1,,,
36,2.95,4.0,Put in Routing Class,Job 4-1,,1.0,
37,2.95,4.0,Routing Start,Job 4-1,,,"3.675,  machine 선택"
38,2.95,4.0,Routing Finish,Job 4-1,Machine 2,,
39,2.95,4.0,Work Start,Job 4-1,Machine 2,,
40,2.96,2.0,Created,Job 2-6,,,
41,2.96,2.0,Put in Routing Class,Job 2-6,,1.0,
42,3.16,0.0,Created,Job 0-3,,,
43,3.16,0.0,Put in Routing Class,Job 0-3,,2.0,
44,3.3,5.0,Created,Job 5-13,,,
45,3.3,5.0,Put in Routing Class,Job 5-13,,3.0,
46,3.98,9.0,Created,Job 9-37,,,
47,3.98,9.0,Put in Routing Class,Job 9-37,,4.0,
48,4.07,9.0,Work Finish,Job 9-8,Machine 4,,
49,4.07,9.0,Completed,Job 9-8,,,0
50,4.07,,Request Routing for Job,,Machine 4,4.0,
51,4.07,,Routing Start,,Machine 4,,3.675 Job 선택
52,4.07,2.0,Routing Finish,Job 2-6,Machine 4,,
53,4.07,2.0,Work Start,Job 2-6,Machine 4,,
54,4.08,6.0,Created,Job 6-7,,,
55,4.08,6.0,Put in Routing Class,Job 6-7,,4.0,
56,4.08,7.0,Created,Job 7-11,,,
57,4.08,7.0,Put in Routing Class,Job 7-11,,5.0,
58,4.1,2.0,Created,Job 2-34,,,
59,4.1,2.0,Put in Routing Class,Job 2-34,,6.0,
60,4.18,4.0,Created,Job 4-4,,,
61,4.18,4.0,Put in Routing Class,Job 4-4,,7.0,
62,4.77,0.0,Created,Job 0-9,,,
63,4.77,0.0,Put in Routing Class,Job 0-9,,8.0,
64,5.1,6.0,Created,Job 6-18,,,
65,5.1,6.0,Put in Routing Class,Job 6-18,,9.0,
66,5.25,5.0,Created,Job 5-15,,,
67,5.25,5.0,Put in Routing Class,Job 5-15,,10.0,
68,5.68,4.0,Created,Job 4-17,,,
69,5.68,4.0,Put in Routing Class,Job 4-17,,11.0,
70,5.75,7.0,Created,Job 7-20,,,
71,5.75,7.0,Put in Routing Class,Job 7-20,,12.0,
72,5.77,0.0,Created,Job 0-14,,,
73,5.77,0.0,Put in Routing Class,Job 0-14,,13.0,
74,5.81,8.0,Created,Job 8-55,,,
75,5.81,8.0,Put in Routing Class,Job 8-55,,14.0,
76,5.94,9.0,Created,Job 9-38,,,
77,5.94,9.0,Put in Routing Class,Job 9-38,,15.0,
78,5.98,3.0,Created,Job 3-27,,,
79,5.98,3.0,Put in Routing Class,Job 3-27,,16.0,
80,6.14,2.0,Created,Job 2-42,,,
81,6.14,2.0,Put in Routing Class,Job 2-42,,17.0,
82,6.17,6.0,Created,Job 6-26,,,
83,6.17,6.0,Put in Routing Class,Job 6-26,,18.0,
84,6.6,1.0,Created,Job 1-21,,,
85,6.6,1.0,Put in Routing Class,Job 1-21,,19.0,
86,6.76,2.0,Work Finish,Job 2-6,Machine 4,,
87,6.76,2.0,Completed,Job 2-6,,,0
88,6.76,,Request Routing for Job,,Machine 4,19.0,
89,6.76,,Routing Start,,Machine 4,,3.675 Job 선택
90,6.76,6.0,Routing Finish,Job 6-7,Machine 4,,
91,6.76,6.0,Work Start,Job 6-7,Machine 4,,
92,6.82,6.0,Work Finish,Job 6-0,Machine 0,,
93,6.82,6.0,Completed,Job 6-0,,,0
94,6.82,,Request Routing for Job,,Machine 0,18.0,
95,6.82,,Routing Start,,Machine 0,,3.675 Job 선택
96,6.82,7.0,Routing Finish,Job 7-11,Machine 0,,
97,6.82,7.0,Work Start,Job 7-11,Machine 0,,
98,6.84,7.0,Created,Job 7-36,,,
99,6.84,7.0,Put in Routing Class,Job 7-36,,18.0,
100,7.21,3.0,Created,Job 3-30,,,
101,7.21,3.0,Put in Routing Class,Job 3-30,,19.0,
102,7.64,1.0,Created,Job 1-25,,,
103,7.64,1.0,Put in Routing Class,Job 1-25,,20.0,
104,7.64,8.0,Created,Job 8-56,,,
105,7.64,8.0,Put in Routing Class,Job 8-56,,21.0,
106,8.02,7.0,Created,Job 7-45,,,
107,8.02,7.0,Put in Routing Class,Job 7-45,,22.0,
108,8.12,5.0,Work Finish,Job 5-10,Machine 6,,
109,8.12,5.0,Completed,Job 5-10,,,0
110,8.12,,Request Routing for Job,,Machine 6,22.0,
111,8.12,,Routing Start,,Machine 6,,3.675 Job 선택
112,8.12,4.0,Routing Finish,Job 4-4,Machine 6,,
113,8.12,4.0,Work Start,Job 4-4,Machine 6,,
114,8.24,3.0,Work Finish,Job 3-5,Machine 1,,
115,8.24,3.0,Completed,Job 3-5,,,0
116,8.24,,Request Routing for Job,,Machine 1,21.0,
117,8.24,,Routing Start,,Machine 1,,3.675 Job 선택
118,8.24,4.0,Routing Finish,Job 4-17,Machine 1,,
119,8.24,4.0,Work Start,Job 4-17,Machine 1,,
120,8.36,9.0,Work Finish,Job 9-24,Machine 3,,
121,8.36,9.0,Completed,Job 9-24,,,0
122,8.36,,Request Routing for Job,,Machine 3,20.0,
123,8.36,,Routing Start,,Machine 3,,3.675 Job 선택
124,8.36,7.0,Routing Finish,Job 7-20,Machine 3,,
125,8.36,7.0,Work Start,Job 7-20,Machine 3,,
126,8.4,6.0,Created,Job 6-32,,,
127,8.4,6.0,Put in Routing Class,Job 6-32,,20.0,
128,8.56,2.0,Created,Job 2-51,,,
129,8.56,2.0,Put in Routing Class,Job 2-51,,21.0,
