,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.08,2.0,Created,Job 2-14,,,
1,1.08,2.0,Put in Routing Class,Job 2-14,,1.0,
2,1.08,2.0,Routing Start,Job 2-14,,,"3.675,  machine 선택"
3,1.08,2.0,Routing Finish,Job 2-14,Machine 2,,
4,1.08,2.0,Work Start,Job 2-14,Machine 2,,
5,1.2,6.0,Created,Job 6-1,,,
6,1.2,6.0,Put in Routing Class,Job 6-1,,1.0,
7,1.2,6.0,Routing Start,Job 6-1,,,"3.675,  machine 선택"
8,1.2,6.0,Routing Finish,Job 6-1,Machine 6,,
9,1.2,6.0,Work Start,Job 6-1,Machine 6,,
10,1.25,4.0,Created,Job 4-17,,,
11,1.25,4.0,Put in Routing Class,Job 4-17,,1.0,
12,1.25,4.0,Routing Start,Job 4-17,,,"3.675,  machine 선택"
13,1.25,4.0,Routing Finish,Job 4-17,Machine 4,,
14,1.25,4.0,Work Start,Job 4-17,Machine 4,,
15,1.37,9.0,Created,Job 9-7,,,
16,1.37,9.0,Put in Routing Class,Job 9-7,,1.0,
17,1.37,9.0,Routing Start,Job 9-7,,,"3.675,  machine 선택"
18,1.37,9.0,Routing Finish,Job 9-7,Machine 5,,
19,1.37,9.0,Work Start,Job 9-7,Machine 5,,
20,1.4,8.0,Created,Job 8-4,,,
21,1.4,8.0,Put in Routing Class,Job 8-4,,1.0,
22,1.4,8.0,Routing Start,Job 8-4,,,"3.675,  machine 선택"
23,1.4,8.0,Routing Finish,Job 8-4,Machine 3,,
24,1.4,8.0,Work Start,Job 8-4,Machine 3,,
25,1.48,1.0,Created,Job 1-18,,,
26,1.48,1.0,Put in Routing Class,Job 1-18,,1.0,
27,1.48,1.0,Routing Start,Job 1-18,,,"3.675,  machine 선택"
28,1.48,1.0,Routing Finish,Job 1-18,Machine 1,,
29,1.48,1.0,Work Start,Job 1-18,Machine 1,,
30,1.5,7.0,Created,Job 7-28,,,
31,1.5,7.0,Put in Routing Class,Job 7-28,,1.0,
32,1.5,7.0,Routing Start,Job 7-28,,,"3.675,  machine 선택"
33,1.5,7.0,Routing Finish,Job 7-28,Machine 7,,
34,1.5,7.0,Work Start,Job 7-28,Machine 7,,
35,1.58,5.0,Created,Job 5-11,,,
36,1.58,5.0,Put in Routing Class,Job 5-11,,1.0,
37,1.58,5.0,Routing Start,Job 5-11,,,"3.675,  machine 선택"
38,1.58,5.0,Routing Finish,Job 5-11,Machine 0,,
39,1.58,5.0,Work Start,Job 5-11,Machine 0,,
40,1.68,3.0,Created,Job 3-2,,,
41,1.68,3.0,Put in Routing Class,Job 3-2,,1.0,
42,2.18,0.0,Created,Job 0-0,,,
43,2.18,0.0,Put in Routing Class,Job 0-0,,2.0,
44,2.32,4.0,Created,Job 4-26,,,
45,2.32,4.0,Put in Routing Class,Job 4-26,,3.0,
46,2.39,2.0,Created,Job 2-20,,,
47,2.39,2.0,Put in Routing Class,Job 2-20,,4.0,
48,2.74,5.0,Created,Job 5-21,,,
49,2.74,5.0,Put in Routing Class,Job 5-21,,5.0,
50,2.79,1.0,Created,Job 1-35,,,
51,2.79,1.0,Put in Routing Class,Job 1-35,,6.0,
52,2.95,7.0,Created,Job 7-29,,,
53,2.95,7.0,Put in Routing Class,Job 7-29,,7.0,
54,3.0,8.0,Created,Job 8-5,,,
55,3.0,8.0,Put in Routing Class,Job 8-5,,8.0,
56,3.07,9.0,Created,Job 9-10,,,
57,3.07,9.0,Put in Routing Class,Job 9-10,,9.0,
58,3.51,2.0,Created,Job 2-31,,,
59,3.51,2.0,Put in Routing Class,Job 2-31,,10.0,
60,4.22,8.0,Created,Job 8-12,,,
61,4.22,8.0,Put in Routing Class,Job 8-12,,11.0,
62,4.28,1.0,Work Finish,Job 1-18,Machine 1,,
63,4.28,1.0,Completed,Job 1-18,,,0
64,4.28,,Request Routing for Job,,Machine 1,11.0,
65,4.28,,Routing Start,,Machine 1,,3.675 Job 선택
66,4.28,0.0,Routing Finish,Job 0-0,Machine 1,,
67,4.28,0.0,Work Start,Job 0-0,Machine 1,,
68,4.47,7.0,Created,Job 7-44,,,
69,4.47,7.0,Put in Routing Class,Job 7-44,,11.0,
70,5.06,9.0,Created,Job 9-16,,,
71,5.06,9.0,Put in Routing Class,Job 9-16,,12.0,
72,5.1,2.0,Work Finish,Job 2-14,Machine 2,,
73,5.1,2.0,Completed,Job 2-14,,,0
74,5.1,,Request Routing for Job,,Machine 2,12.0,
75,5.1,,Routing Start,,Machine 2,,3.675 Job 선택
76,5.1,2.0,Routing Finish,Job 2-20,Machine 2,,
77,5.1,2.0,Work Start,Job 2-20,Machine 2,,
