,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.02,6.0,Created,Job 6-5,,,
1,1.02,6.0,Put in Routing Class,Job 6-5,,1.0,
2,1.02,6.0,Routing Start,Job 6-5,,,"3.675,  machine 선택"
3,1.02,6.0,Routing Finish,Job 6-5,Machine 4,,
4,1.02,6.0,Work Start,Job 6-5,Machine 4,,
5,1.05,4.0,Created,Job 4-0,,,
6,1.05,4.0,Put in Routing Class,Job 4-0,,1.0,
7,1.05,4.0,Routing Start,Job 4-0,,,"3.675,  machine 선택"
8,1.05,4.0,Routing Finish,Job 4-0,Machine 2,,
9,1.05,4.0,Work Start,Job 4-0,Machine 2,,
10,1.1,7.0,Created,Job 7-2,,,
11,1.1,7.0,Put in Routing Class,Job 7-2,,1.0,
12,1.1,7.0,Routing Start,Job 7-2,,,"3.675,  machine 선택"
13,1.1,7.0,Routing Finish,Job 7-2,Machine 7,,
14,1.1,7.0,Work Start,Job 7-2,Machine 7,,
15,1.28,0.0,Created,Job 0-6,,,
16,1.28,0.0,Put in Routing Class,Job 0-6,,1.0,
17,1.28,0.0,Routing Start,Job 0-6,,,"3.675,  machine 선택"
18,1.28,0.0,Routing Finish,Job 0-6,Machine 5,,
19,1.28,0.0,Work Start,Job 0-6,Machine 5,,
20,1.29,8.0,Created,Job 8-3,,,
21,1.29,8.0,Put in Routing Class,Job 8-3,,1.0,
22,1.29,8.0,Routing Start,Job 8-3,,,"3.675,  machine 선택"
23,1.29,8.0,Routing Finish,Job 8-3,Machine 3,,
24,1.29,8.0,Work Start,Job 8-3,Machine 3,,
25,1.31,9.0,Created,Job 9-9,,,
26,1.31,9.0,Put in Routing Class,Job 9-9,,1.0,
27,1.31,9.0,Routing Start,Job 9-9,,,"3.675,  machine 선택"
28,1.31,9.0,Routing Finish,Job 9-9,Machine 1,,
29,1.31,9.0,Work Start,Job 9-9,Machine 1,,
30,2.05,2.0,Created,Job 2-31,,,
31,2.05,2.0,Put in Routing Class,Job 2-31,,1.0,
32,2.05,2.0,Routing Start,Job 2-31,,,"3.675,  machine 선택"
