,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.02,2.0,Created,Job 2-6,,,
1,1.02,2.0,Put in Routing Class,Job 2-6,,1.0,
2,1.02,2.0,Routing Start,Job 2-6,,,"3.675,  machine 선택"
3,1.02,2.0,Routing Finish,Job 2-6,Machine 5,,
4,1.02,2.0,Work Start,Job 2-6,Machine 5,,
5,1.19,9.0,Created,Job 9-11,,,
6,1.19,9.0,Put in Routing Class,Job 9-11,,1.0,
7,1.19,9.0,Routing Start,Job 9-11,,,"3.675,  machine 선택"
8,1.19,9.0,Routing Finish,Job 9-11,Machine 4,,
9,1.19,9.0,Work Start,Job 9-11,Machine 4,,
10,1.28,3.0,Created,Job 3-13,,,
11,1.28,3.0,Put in Routing Class,Job 3-13,,1.0,
12,1.28,3.0,Routing Start,Job 3-13,,,"3.675,  machine 선택"
13,1.28,3.0,Routing Finish,Job 3-13,Machine 1,,
14,1.28,3.0,Work Start,Job 3-13,Machine 1,,
15,1.44,1.0,Created,Job 1-5,,,
16,1.44,1.0,Put in Routing Class,Job 1-5,,1.0,
17,1.44,1.0,Routing Start,Job 1-5,,,"3.675,  machine 선택"
18,1.44,1.0,Routing Finish,Job 1-5,Machine 7,,
19,1.44,1.0,Work Start,Job 1-5,Machine 7,,
20,1.85,4.0,Created,Job 4-0,,,
21,1.85,4.0,Put in Routing Class,Job 4-0,,1.0,
22,1.85,4.0,Routing Start,Job 4-0,,,"3.675,  machine 선택"
23,1.85,4.0,Routing Finish,Job 4-0,Machine 6,,
24,1.85,4.0,Work Start,Job 4-0,Machine 6,,
25,2.46,6.0,Created,Job 6-14,,,
26,2.46,6.0,Put in Routing Class,Job 6-14,,1.0,
27,2.46,6.0,Routing Start,Job 6-14,,,"3.675,  machine 선택"
28,2.46,6.0,Routing Finish,Job 6-14,Machine 2,,
29,2.46,6.0,Work Start,Job 6-14,Machine 2,,
30,2.72,8.0,Created,Job 8-7,,,
31,2.72,8.0,Put in Routing Class,Job 8-7,,1.0,
32,2.72,8.0,Routing Start,Job 8-7,,,"3.675,  machine 선택"
33,2.72,8.0,Routing Finish,Job 8-7,Machine 0,,
34,2.72,8.0,Work Start,Job 8-7,Machine 0,,
35,2.72,9.0,Created,Job 9-80,,,
36,2.72,9.0,Put in Routing Class,Job 9-80,,1.0,
37,2.72,9.0,Routing Start,Job 9-80,,,"3.675,  machine 선택"
38,2.72,9.0,Routing Finish,Job 9-80,Machine 3,,
39,2.72,9.0,Work Start,Job 9-80,Machine 3,,
40,2.98,2.0,Created,Job 2-12,,,
41,2.98,2.0,Put in Routing Class,Job 2-12,,1.0,
42,2.98,4.0,Created,Job 4-2,,,
43,2.98,4.0,Put in Routing Class,Job 4-2,,2.0,
44,2.99,3.0,Created,Job 3-34,,,
45,2.99,3.0,Put in Routing Class,Job 3-34,,3.0,
46,3.16,0.0,Created,Job 0-18,,,
47,3.16,0.0,Put in Routing Class,Job 0-18,,4.0,
48,4.01,8.0,Created,Job 8-10,,,
49,4.01,8.0,Put in Routing Class,Job 8-10,,5.0,
50,4.17,3.0,Work Finish,Job 3-13,Machine 1,,
51,4.17,3.0,Completed,Job 3-13,,,0
52,4.17,,Request Routing for Job,,Machine 1,5.0,
53,4.17,,Routing Start,,Machine 1,,3.675 Job 선택
54,4.17,3.0,Routing Finish,Job 3-34,Machine 1,,
55,4.17,3.0,Work Start,Job 3-34,Machine 1,,
56,4.63,6.0,Created,Job 6-24,,,
57,4.63,6.0,Put in Routing Class,Job 6-24,,5.0,
58,4.74,3.0,Created,Job 3-36,,,
59,4.74,3.0,Put in Routing Class,Job 3-36,,6.0,
60,4.83,4.0,Created,Job 4-8,,,
61,4.83,4.0,Put in Routing Class,Job 4-8,,7.0,
62,4.96,5.0,Created,Job 5-3,,,
63,4.96,5.0,Put in Routing Class,Job 5-3,,8.0,
64,5.03,8.0,Created,Job 8-20,,,
65,5.03,8.0,Put in Routing Class,Job 8-20,,9.0,
66,5.39,9.0,Created,Job 9-81,,,
67,5.39,9.0,Put in Routing Class,Job 9-81,,10.0,
68,5.46,7.0,Created,Job 7-1,,,
69,5.46,7.0,Put in Routing Class,Job 7-1,,11.0,
70,5.65,1.0,Created,Job 1-15,,,
71,5.65,1.0,Put in Routing Class,Job 1-15,,12.0,
72,5.77,2.0,Work Finish,Job 2-6,Machine 5,,
73,5.77,2.0,Completed,Job 2-6,,,0
74,5.77,,Request Routing for Job,,Machine 5,12.0,
75,5.77,,Routing Start,,Machine 5,,3.675 Job 선택
