,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.2,0.0,Created,Job 0-4,,,
1,1.2,0.0,Put in Routing Class,Job 0-4,,1.0,
2,1.2,0.0,Routing Start,Job 0-4,,,"3.675,  machine 선택"
3,1.2,0.0,Routing Finish,Job 0-4,Machine 6,,
4,1.2,0.0,Work Start,Job 0-4,Machine 6,,
5,1.29,5.0,Created,Job 5-2,,,
6,1.29,5.0,Put in Routing Class,Job 5-2,,1.0,
7,1.29,5.0,Routing Start,Job 5-2,,,"3.675,  machine 선택"
8,1.29,5.0,Routing Finish,Job 5-2,Machine 1,,
9,1.29,5.0,Work Start,Job 5-2,Machine 1,,
10,1.35,9.0,Created,Job 9-17,,,
11,1.35,9.0,Put in Routing Class,Job 9-17,,1.0,
12,1.35,9.0,Routing Start,Job 9-17,,,"3.675,  machine 선택"
13,1.35,9.0,Routing Finish,Job 9-17,Machine 0,,
14,1.35,9.0,Work Start,Job 9-17,Machine 0,,
15,1.39,4.0,Created,Job 4-5,,,
16,1.39,4.0,Put in Routing Class,Job 4-5,,1.0,
17,1.39,4.0,Routing Start,Job 4-5,,,"3.675,  machine 선택"
18,1.39,4.0,Routing Finish,Job 4-5,Machine 3,,
19,1.39,4.0,Work Start,Job 4-5,Machine 3,,
20,1.5,2.0,Created,Job 2-1,,,
21,1.5,2.0,Put in Routing Class,Job 2-1,,1.0,
22,1.5,2.0,Routing Start,Job 2-1,,,"3.675,  machine 선택"
23,1.5,2.0,Routing Finish,Job 2-1,Machine 4,,
24,1.5,2.0,Work Start,Job 2-1,Machine 4,,
25,1.56,3.0,Created,Job 3-6,,,
26,1.56,3.0,Put in Routing Class,Job 3-6,,1.0,
27,1.56,3.0,Routing Start,Job 3-6,,,"3.675,  machine 선택"
28,1.56,3.0,Routing Finish,Job 3-6,Machine 7,,
29,1.56,3.0,Work Start,Job 3-6,Machine 7,,
30,1.63,8.0,Created,Job 8-0,,,
31,1.63,8.0,Put in Routing Class,Job 8-0,,1.0,
32,1.63,8.0,Routing Start,Job 8-0,,,"3.675,  machine 선택"
33,1.63,8.0,Routing Finish,Job 8-0,Machine 2,,
34,1.63,8.0,Work Start,Job 8-0,Machine 2,,
35,2.54,1.0,Created,Job 1-22,,,
36,2.54,1.0,Put in Routing Class,Job 1-22,,1.0,
37,2.54,1.0,Routing Start,Job 1-22,,,"3.675,  machine 선택"
38,2.54,1.0,Routing Finish,Job 1-22,Machine 5,,
39,2.54,1.0,Work Start,Job 1-22,Machine 5,,
40,2.86,6.0,Created,Job 6-50,,,
41,2.86,6.0,Put in Routing Class,Job 6-50,,1.0,
42,2.9,5.0,Created,Job 5-15,,,
43,2.9,5.0,Put in Routing Class,Job 5-15,,2.0,
44,3.13,3.0,Created,Job 3-9,,,
45,3.13,3.0,Put in Routing Class,Job 3-9,,3.0,
46,3.4,2.0,Created,Job 2-11,,,
47,3.4,2.0,Put in Routing Class,Job 2-11,,4.0,
48,3.48,7.0,Created,Job 7-45,,,
49,3.48,7.0,Put in Routing Class,Job 7-45,,5.0,
50,3.53,4.0,Created,Job 4-14,,,
51,3.53,4.0,Put in Routing Class,Job 4-14,,6.0,
52,3.71,9.0,Created,Job 9-18,,,
53,3.71,9.0,Put in Routing Class,Job 9-18,,7.0,
54,4.05,5.0,Created,Job 5-34,,,
55,4.05,5.0,Put in Routing Class,Job 5-34,,8.0,
56,4.09,5.0,Work Finish,Job 5-2,Machine 1,,
57,4.09,5.0,Completed,Job 5-2,,,0
58,4.09,,Request Routing for Job,,Machine 1,8.0,
59,4.09,,Routing Start,,Machine 1,,3.675 Job 선택
60,4.09,5.0,Routing Finish,Job 5-15,Machine 1,,
61,4.09,5.0,Work Start,Job 5-15,Machine 1,,
62,4.22,6.0,Created,Job 6-51,,,
63,4.22,6.0,Put in Routing Class,Job 6-51,,8.0,
64,4.23,1.0,Created,Job 1-25,,,
65,4.23,1.0,Put in Routing Class,Job 1-25,,9.0,
66,4.66,4.0,Created,Job 4-24,,,
67,4.66,4.0,Put in Routing Class,Job 4-24,,10.0,
68,4.67,7.0,Created,Job 7-56,,,
69,4.67,7.0,Put in Routing Class,Job 7-56,,11.0,
70,4.74,2.0,Created,Job 2-26,,,
71,4.74,2.0,Put in Routing Class,Job 2-26,,12.0,
72,4.96,9.0,Created,Job 9-23,,,
73,4.96,9.0,Put in Routing Class,Job 9-23,,13.0,
74,5.0,3.0,Created,Job 3-12,,,
75,5.0,3.0,Put in Routing Class,Job 3-12,,14.0,
76,5.22,0.0,Work Finish,Job 0-4,Machine 6,,
77,5.22,0.0,Completed,Job 0-4,,,0
78,5.22,,Request Routing for Job,,Machine 6,14.0,
79,5.22,,Routing Start,,Machine 6,,3.675 Job 선택
80,5.22,3.0,Routing Finish,Job 3-9,Machine 6,,
81,5.22,3.0,Work Start,Job 3-9,Machine 6,,
82,5.6,2.0,Work Finish,Job 2-1,Machine 4,,
83,5.6,2.0,Completed,Job 2-1,,,0
84,5.6,,Request Routing for Job,,Machine 4,13.0,
85,5.6,,Routing Start,,Machine 4,,3.675 Job 선택
86,5.6,5.0,Routing Finish,Job 5-34,Machine 4,,
87,5.6,5.0,Work Start,Job 5-34,Machine 4,,
88,6.25,4.0,Created,Job 4-28,,,
89,6.25,4.0,Put in Routing Class,Job 4-28,,13.0,
90,6.41,5.0,Created,Job 5-53,,,
91,6.41,5.0,Put in Routing Class,Job 5-53,,14.0,
92,6.43,3.0,Created,Job 3-19,,,
93,6.43,3.0,Put in Routing Class,Job 3-19,,15.0,
94,6.44,2.0,Created,Job 2-31,,,
95,6.44,2.0,Put in Routing Class,Job 2-31,,16.0,
96,6.61,4.0,Work Finish,Job 4-5,Machine 3,,
97,6.61,4.0,Completed,Job 4-5,,,0
98,6.61,,Request Routing for Job,,Machine 3,16.0,
99,6.61,,Routing Start,,Machine 3,,3.675 Job 선택
100,6.61,9.0,Routing Finish,Job 9-18,Machine 3,,
101,6.61,9.0,Work Start,Job 9-18,Machine 3,,
102,6.84,9.0,Created,Job 9-35,,,
103,6.84,9.0,Put in Routing Class,Job 9-35,,16.0,
104,6.9,5.0,Work Finish,Job 5-15,Machine 1,,
105,6.9,5.0,Completed,Job 5-15,,,0
106,6.9,,Request Routing for Job,,Machine 1,16.0,
107,6.9,,Routing Start,,Machine 1,,3.675 Job 선택
108,6.9,5.0,Routing Finish,Job 5-53,Machine 1,,
109,6.9,5.0,Work Start,Job 5-53,Machine 1,,
110,6.92,0.0,Created,Job 0-8,,,
111,6.92,0.0,Put in Routing Class,Job 0-8,,16.0,
112,7.29,8.0,Created,Job 8-3,,,
113,7.29,8.0,Put in Routing Class,Job 8-3,,17.0,
114,7.39,6.0,Created,Job 6-66,,,
115,7.39,6.0,Put in Routing Class,Job 6-66,,18.0,
116,7.46,4.0,Created,Job 4-30,,,
117,7.46,4.0,Put in Routing Class,Job 4-30,,19.0,
118,7.69,9.0,Work Finish,Job 9-18,Machine 3,,
119,7.69,9.0,Completed,Job 9-18,,,0
120,7.69,,Request Routing for Job,,Machine 3,19.0,
121,7.69,,Routing Start,,Machine 3,,3.675 Job 선택
122,7.69,9.0,Routing Finish,Job 9-23,Machine 3,,
123,7.69,9.0,Work Start,Job 9-23,Machine 3,,
124,7.84,2.0,Created,Job 2-33,,,
125,7.84,2.0,Put in Routing Class,Job 2-33,,19.0,
126,8.32,8.0,Created,Job 8-7,,,
127,8.32,8.0,Put in Routing Class,Job 8-7,,20.0,
128,8.32,9.0,Created,Job 9-47,,,
129,8.32,9.0,Put in Routing Class,Job 9-47,,21.0,
130,8.74,1.0,Created,Job 1-38,,,
131,8.74,1.0,Put in Routing Class,Job 1-38,,22.0,
132,8.77,9.0,Work Finish,Job 9-23,Machine 3,,
133,8.77,9.0,Completed,Job 9-23,,,0
134,8.77,,Request Routing for Job,,Machine 3,22.0,
135,8.77,,Routing Start,,Machine 3,,3.675 Job 선택
136,8.77,3.0,Routing Finish,Job 3-12,Machine 3,,
137,8.77,3.0,Work Start,Job 3-12,Machine 3,,
138,9.03,5.0,Created,Job 5-67,,,
139,9.03,5.0,Put in Routing Class,Job 5-67,,22.0,
140,9.04,2.0,Created,Job 2-48,,,
141,9.04,2.0,Put in Routing Class,Job 2-48,,23.0,
142,9.15,6.0,Created,Job 6-76,,,
143,9.15,6.0,Put in Routing Class,Job 6-76,,24.0,
144,9.49,3.0,Created,Job 3-20,,,
145,9.49,3.0,Put in Routing Class,Job 3-20,,25.0,
146,9.7,5.0,Work Finish,Job 5-53,Machine 1,,
147,9.7,5.0,Completed,Job 5-53,,,0
148,9.7,,Request Routing for Job,,Machine 1,25.0,
149,9.7,,Routing Start,,Machine 1,,3.675 Job 선택
150,9.7,5.0,Routing Finish,Job 5-67,Machine 1,,
151,9.7,5.0,Work Start,Job 5-67,Machine 1,,
152,9.72,8.0,Created,Job 8-27,,,
153,9.72,8.0,Put in Routing Class,Job 8-27,,25.0,
154,10.04,3.0,Work Finish,Job 3-6,Machine 7,,
155,10.04,3.0,Completed,Job 3-6,,,0
156,10.04,,Request Routing for Job,,Machine 7,25.0,
157,10.04,,Routing Start,,Machine 7,,3.675 Job 선택
158,10.04,7.0,Routing Finish,Job 7-45,Machine 7,,
159,10.04,7.0,Work Start,Job 7-45,Machine 7,,
160,10.13,0.0,Created,Job 0-10,,,
161,10.13,0.0,Put in Routing Class,Job 0-10,,25.0,
162,10.45,6.0,Created,Job 6-85,,,
163,10.45,6.0,Put in Routing Class,Job 6-85,,26.0,
164,10.47,5.0,Created,Job 5-84,,,
165,10.47,5.0,Put in Routing Class,Job 5-84,,27.0,
166,10.6,7.0,Created,Job 7-80,,,
167,10.6,7.0,Put in Routing Class,Job 7-80,,28.0,
