,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.05,5.0,Created,Job 5-3,,,
1,1.05,5.0,Put in Routing Class,Job 5-3,,1.0,
2,1.05,5.0,Routing Start,Job 5-3,,,"3.675,  machine 선택"
3,1.05,5.0,Routing Finish,Job 5-3,Machine 7,,
4,1.05,5.0,Work Start,Job 5-3,Machine 7,,
5,1.07,6.0,Created,Job 6-2,,,
6,1.07,6.0,Put in Routing Class,Job 6-2,,1.0,
7,1.07,6.0,Routing Start,Job 6-2,,,"3.675,  machine 선택"
8,1.07,6.0,Routing Finish,Job 6-2,Machine 6,,
9,1.07,6.0,Work Start,Job 6-2,Machine 6,,
10,1.21,7.0,Created,Job 7-0,,,
11,1.21,7.0,Put in Routing Class,Job 7-0,,1.0,
12,1.21,7.0,Routing Start,Job 7-0,,,"3.675,  machine 선택"
13,1.21,7.0,Routing Finish,Job 7-0,Machine 1,,
14,1.21,7.0,Work Start,Job 7-0,Machine 1,,
15,1.22,9.0,Created,Job 9-23,,,
16,1.22,9.0,Put in Routing Class,Job 9-23,,1.0,
17,1.22,9.0,Routing Start,Job 9-23,,,"3.675,  machine 선택"
18,1.22,9.0,Routing Finish,Job 9-23,Machine 0,,
19,1.22,9.0,Work Start,Job 9-23,Machine 0,,
20,1.49,8.0,Created,Job 8-6,,,
21,1.49,8.0,Put in Routing Class,Job 8-6,,1.0,
22,1.49,8.0,Routing Start,Job 8-6,,,"3.675,  machine 선택"
23,1.49,8.0,Routing Finish,Job 8-6,Machine 5,,
24,1.49,8.0,Work Start,Job 8-6,Machine 5,,
25,1.68,2.0,Created,Job 2-11,,,
26,1.68,2.0,Put in Routing Class,Job 2-11,,1.0,
27,1.68,2.0,Routing Start,Job 2-11,,,"3.675,  machine 선택"
28,1.68,2.0,Routing Finish,Job 2-11,Machine 2,,
29,1.68,2.0,Work Start,Job 2-11,Machine 2,,
30,1.74,0.0,Created,Job 0-8,,,
31,1.74,0.0,Put in Routing Class,Job 0-8,,1.0,
32,1.74,0.0,Routing Start,Job 0-8,,,"3.675,  machine 선택"
33,1.74,0.0,Routing Finish,Job 0-8,Machine 3,,
34,1.74,0.0,Work Start,Job 0-8,Machine 3,,
35,1.82,3.0,Created,Job 3-39,,,
36,1.82,3.0,Put in Routing Class,Job 3-39,,1.0,
37,1.82,3.0,Routing Start,Job 3-39,,,"3.675,  machine 선택"
38,1.82,3.0,Routing Finish,Job 3-39,Machine 4,,
39,1.82,3.0,Work Start,Job 3-39,Machine 4,,
40,2.44,1.0,Created,Job 1-4,,,
41,2.44,1.0,Put in Routing Class,Job 1-4,,1.0,
42,2.52,5.0,Created,Job 5-5,,,
43,2.52,5.0,Put in Routing Class,Job 5-5,,2.0,
44,2.65,8.0,Created,Job 8-17,,,
45,2.65,8.0,Put in Routing Class,Job 8-17,,3.0,
46,2.91,3.0,Created,Job 3-43,,,
47,2.91,3.0,Put in Routing Class,Job 3-43,,4.0,
48,2.96,0.0,Created,Job 0-16,,,
49,2.96,0.0,Put in Routing Class,Job 0-16,,5.0,
50,3.25,9.0,Created,Job 9-34,,,
51,3.25,9.0,Put in Routing Class,Job 9-34,,6.0,
52,3.52,2.0,Created,Job 2-21,,,
53,3.52,2.0,Put in Routing Class,Job 2-21,,7.0,
54,3.54,1.0,Created,Job 1-7,,,
55,3.54,1.0,Put in Routing Class,Job 1-7,,8.0,
56,3.72,3.0,Work Finish,Job 3-39,Machine 4,,
57,3.72,3.0,Completed,Job 3-39,,,0
58,3.72,,Request Routing for Job,,Machine 4,8.0,
59,3.72,,Routing Start,,Machine 4,,3.675 Job 선택
60,3.72,9.0,Routing Finish,Job 9-34,Machine 4,,
61,3.72,9.0,Work Start,Job 9-34,Machine 4,,
62,3.92,5.0,Created,Job 5-10,,,
63,3.92,5.0,Put in Routing Class,Job 5-10,,8.0,
64,4.16,8.0,Created,Job 8-25,,,
65,4.16,8.0,Put in Routing Class,Job 8-25,,9.0,
66,4.26,0.0,Created,Job 0-22,,,
67,4.26,0.0,Put in Routing Class,Job 0-22,,10.0,
68,4.33,9.0,Created,Job 9-49,,,
69,4.33,9.0,Put in Routing Class,Job 9-49,,11.0,
70,4.52,3.0,Created,Job 3-77,,,
71,4.52,3.0,Put in Routing Class,Job 3-77,,12.0,
72,4.59,7.0,Work Finish,Job 7-0,Machine 1,,
73,4.59,7.0,Completed,Job 7-0,,,0
74,4.59,,Request Routing for Job,,Machine 1,12.0,
75,4.59,,Routing Start,,Machine 1,,3.675 Job 선택
76,4.59,2.0,Routing Finish,Job 2-21,Machine 1,,
77,4.59,2.0,Work Start,Job 2-21,Machine 1,,
78,5.12,8.0,Work Finish,Job 8-6,Machine 5,,
79,5.12,8.0,Completed,Job 8-6,,,0
80,5.12,,Request Routing for Job,,Machine 5,11.0,
81,5.12,,Routing Start,,Machine 5,,3.675 Job 선택
82,5.12,8.0,Routing Finish,Job 8-17,Machine 5,,
83,5.12,8.0,Work Start,Job 8-17,Machine 5,,
84,5.39,9.0,Created,Job 9-73,,,
85,5.39,9.0,Put in Routing Class,Job 9-73,,11.0,
86,5.43,0.0,Created,Job 0-54,,,
87,5.43,0.0,Put in Routing Class,Job 0-54,,12.0,
88,5.75,7.0,Created,Job 7-1,,,
89,5.75,7.0,Put in Routing Class,Job 7-1,,13.0,
90,5.84,1.0,Created,Job 1-14,,,
91,5.84,1.0,Put in Routing Class,Job 1-14,,14.0,
92,5.9,6.0,Created,Job 6-13,,,
93,5.9,6.0,Put in Routing Class,Job 6-13,,15.0,
94,5.93,0.0,Work Finish,Job 0-8,Machine 3,,
95,5.93,0.0,Completed,Job 0-8,,,0
96,5.93,,Request Routing for Job,,Machine 3,15.0,
97,5.93,,Routing Start,,Machine 3,,3.675 Job 선택
98,5.93,5.0,Routing Finish,Job 5-5,Machine 3,,
99,5.93,5.0,Work Start,Job 5-5,Machine 3,,
100,6.13,8.0,Created,Job 8-38,,,
101,6.13,8.0,Put in Routing Class,Job 8-38,,15.0,
102,6.15,4.0,Created,Job 4-9,,,
103,6.15,4.0,Put in Routing Class,Job 4-9,,16.0,
104,6.41,2.0,Created,Job 2-28,,,
105,6.41,2.0,Put in Routing Class,Job 2-28,,17.0,
106,6.49,5.0,Created,Job 5-19,,,
107,6.49,5.0,Put in Routing Class,Job 5-19,,18.0,
