,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.04,2.0,Created,Job 2-6,,,
1,1.04,2.0,Put in Routing Class,Job 2-6,,1.0,
2,1.04,2.0,Routing Start,Job 2-6,,,"3.675,  machine 선택"
3,1.04,2.0,Routing Finish,Job 2-6,Machine 0,,
4,1.04,2.0,Work Start,Job 2-6,Machine 0,,
5,1.07,4.0,Created,Job 4-3,,,
6,1.07,4.0,Put in Routing Class,Job 4-3,,1.0,
7,1.07,4.0,Routing Start,Job 4-3,,,"3.675,  machine 선택"
8,1.07,4.0,Routing Finish,Job 4-3,Machine 6,,
9,1.07,4.0,Work Start,Job 4-3,Machine 6,,
10,1.07,0.0,Created,Job 0-13,,,
11,1.07,0.0,Put in Routing Class,Job 0-13,,1.0,
12,1.07,0.0,Routing Start,Job 0-13,,,"3.675,  machine 선택"
13,1.07,0.0,Routing Finish,Job 0-13,Machine 5,,
14,1.07,0.0,Work Start,Job 0-13,Machine 5,,
15,1.11,7.0,Created,Job 7-1,,,
16,1.11,7.0,Put in Routing Class,Job 7-1,,1.0,
17,1.11,7.0,Routing Start,Job 7-1,,,"3.675,  machine 선택"
18,1.11,7.0,Routing Finish,Job 7-1,Machine 7,,
19,1.11,7.0,Work Start,Job 7-1,Machine 7,,
20,1.15,6.0,Created,Job 6-7,,,
21,1.15,6.0,Put in Routing Class,Job 6-7,,1.0,
22,1.15,6.0,Routing Start,Job 6-7,,,"3.675,  machine 선택"
23,1.15,6.0,Routing Finish,Job 6-7,Machine 3,,
24,1.15,6.0,Work Start,Job 6-7,Machine 3,,
25,1.26,5.0,Created,Job 5-2,,,
26,1.26,5.0,Put in Routing Class,Job 5-2,,1.0,
27,1.26,5.0,Routing Start,Job 5-2,,,"3.675,  machine 선택"
28,1.26,5.0,Routing Finish,Job 5-2,Machine 4,,
29,1.26,5.0,Work Start,Job 5-2,Machine 4,,
30,1.97,8.0,Created,Job 8-4,,,
31,1.97,8.0,Put in Routing Class,Job 8-4,,1.0,
32,1.97,8.0,Routing Start,Job 8-4,,,"3.675,  machine 선택"
33,1.97,8.0,Routing Finish,Job 8-4,Machine 2,,
34,1.97,8.0,Work Start,Job 8-4,Machine 2,,
35,2.1,9.0,Created,Job 9-5,,,
36,2.1,9.0,Put in Routing Class,Job 9-5,,1.0,
37,2.1,9.0,Routing Start,Job 9-5,,,"3.675,  machine 선택"
38,2.1,9.0,Routing Finish,Job 9-5,Machine 1,,
39,2.1,9.0,Work Start,Job 9-5,Machine 1,,
40,2.12,3.0,Created,Job 3-0,,,
41,2.12,3.0,Put in Routing Class,Job 3-0,,1.0,
42,2.19,7.0,Created,Job 7-45,,,
43,2.19,7.0,Put in Routing Class,Job 7-45,,2.0,
44,2.61,5.0,Created,Job 5-28,,,
45,2.61,5.0,Put in Routing Class,Job 5-28,,3.0,
46,3.06,1.0,Created,Job 1-16,,,
47,3.06,1.0,Put in Routing Class,Job 1-16,,4.0,
48,3.1,9.0,Created,Job 9-10,,,
49,3.1,9.0,Put in Routing Class,Job 9-10,,5.0,
50,3.25,6.0,Created,Job 6-37,,,
51,3.25,6.0,Put in Routing Class,Job 6-37,,6.0,
52,3.39,8.0,Created,Job 8-8,,,
53,3.39,8.0,Put in Routing Class,Job 8-8,,7.0,
54,3.75,8.0,Work Finish,Job 8-4,Machine 2,,
55,3.75,8.0,Completed,Job 8-4,,,0
56,3.75,,Request Routing for Job,,Machine 2,7.0,
57,3.75,,Routing Start,,Machine 2,,3.675 Job 선택
58,3.75,8.0,Routing Finish,Job 8-8,Machine 2,,
59,3.75,8.0,Work Start,Job 8-8,Machine 2,,
60,4.09,3.0,Created,Job 3-9,,,
61,4.09,3.0,Put in Routing Class,Job 3-9,,7.0,
62,4.61,8.0,Created,Job 8-14,,,
63,4.61,8.0,Put in Routing Class,Job 8-14,,8.0,
64,4.67,5.0,Created,Job 5-30,,,
65,4.67,5.0,Put in Routing Class,Job 5-30,,9.0,
66,4.89,7.0,Created,Job 7-67,,,
67,4.89,7.0,Put in Routing Class,Job 7-67,,10.0,
68,4.89,2.0,Work Finish,Job 2-6,Machine 0,,
69,4.89,2.0,Completed,Job 2-6,,,0
70,4.89,,Request Routing for Job,,Machine 0,10.0,
71,4.89,,Routing Start,,Machine 0,,3.675 Job 선택
72,4.89,6.0,Routing Finish,Job 6-37,Machine 0,,
73,4.89,6.0,Work Start,Job 6-37,Machine 0,,
74,5.1,1.0,Created,Job 1-22,,,
75,5.1,1.0,Put in Routing Class,Job 1-22,,10.0,
76,5.37,0.0,Created,Job 0-15,,,
77,5.37,0.0,Put in Routing Class,Job 0-15,,11.0,
78,5.42,3.0,Created,Job 3-19,,,
79,5.42,3.0,Put in Routing Class,Job 3-19,,12.0,
80,5.45,5.0,Work Finish,Job 5-2,Machine 4,,
81,5.45,5.0,Completed,Job 5-2,,,0
82,5.45,,Request Routing for Job,,Machine 4,12.0,
83,5.45,,Routing Start,,Machine 4,,3.675 Job 선택
84,5.45,9.0,Routing Finish,Job 9-10,Machine 4,,
85,5.45,9.0,Work Start,Job 9-10,Machine 4,,
86,5.53,8.0,Work Finish,Job 8-8,Machine 2,,
87,5.53,8.0,Completed,Job 8-8,,,0
88,5.53,,Request Routing for Job,,Machine 2,11.0,
89,5.53,,Routing Start,,Machine 2,,3.675 Job 선택
90,5.53,8.0,Routing Finish,Job 8-14,Machine 2,,
91,5.53,8.0,Work Start,Job 8-14,Machine 2,,
92,5.58,9.0,Work Finish,Job 9-5,Machine 1,,
93,5.58,9.0,Completed,Job 9-5,,,0
94,5.58,,Request Routing for Job,,Machine 1,10.0,
95,5.58,,Routing Start,,Machine 1,,3.675 Job 선택
96,5.58,0.0,Routing Finish,Job 0-15,Machine 1,,
97,5.58,0.0,Work Start,Job 0-15,Machine 1,,
98,5.58,6.0,Work Finish,Job 6-7,Machine 3,,
99,5.58,6.0,Completed,Job 6-7,,,0
100,5.58,,Request Routing for Job,,Machine 3,9.0,
101,5.58,,Routing Start,,Machine 3,,3.675 Job 선택
102,5.58,7.0,Routing Finish,Job 7-45,Machine 3,,
103,5.58,7.0,Work Start,Job 7-45,Machine 3,,
104,5.71,8.0,Created,Job 8-17,,,
105,5.71,8.0,Put in Routing Class,Job 8-17,,9.0,
106,5.84,5.0,Created,Job 5-31,,,
107,5.84,5.0,Put in Routing Class,Job 5-31,,10.0,
108,5.84,9.0,Created,Job 9-11,,,
109,5.84,9.0,Put in Routing Class,Job 9-11,,11.0,
110,5.85,2.0,Created,Job 2-12,,,
111,5.85,2.0,Put in Routing Class,Job 2-12,,12.0,
112,5.89,7.0,Created,Job 7-126,,,
113,5.89,7.0,Put in Routing Class,Job 7-126,,13.0,
114,6.29,1.0,Created,Job 1-29,,,
115,6.29,1.0,Put in Routing Class,Job 1-29,,14.0,
116,6.52,6.0,Work Finish,Job 6-37,Machine 0,,
117,6.52,6.0,Completed,Job 6-37,,,0
118,6.52,,Request Routing for Job,,Machine 0,14.0,
119,6.52,,Routing Start,,Machine 0,,3.675 Job 선택
120,6.52,2.0,Routing Finish,Job 2-12,Machine 0,,
121,6.52,2.0,Work Start,Job 2-12,Machine 0,,
122,6.56,3.0,Created,Job 3-47,,,
123,6.56,3.0,Put in Routing Class,Job 3-47,,14.0,
124,6.74,4.0,Created,Job 4-18,,,
125,6.74,4.0,Put in Routing Class,Job 4-18,,15.0,
126,7.26,6.0,Created,Job 6-56,,,
127,7.26,6.0,Put in Routing Class,Job 6-56,,16.0,
128,7.31,8.0,Work Finish,Job 8-14,Machine 2,,
129,7.31,8.0,Completed,Job 8-14,,,0
130,7.31,,Request Routing for Job,,Machine 2,16.0,
131,7.31,,Routing Start,,Machine 2,,3.675 Job 선택
132,7.31,8.0,Routing Finish,Job 8-17,Machine 2,,
133,7.31,8.0,Work Start,Job 8-17,Machine 2,,
134,7.36,5.0,Created,Job 5-33,,,
135,7.36,5.0,Put in Routing Class,Job 5-33,,16.0,
136,7.79,2.0,Created,Job 2-23,,,
137,7.79,2.0,Put in Routing Class,Job 2-23,,17.0,
138,7.95,1.0,Created,Job 1-32,,,
139,7.95,1.0,Put in Routing Class,Job 1-32,,18.0,
140,8.0,3.0,Created,Job 3-61,,,
141,8.0,3.0,Put in Routing Class,Job 3-61,,19.0,
142,8.26,4.0,Work Finish,Job 4-3,Machine 6,,
143,8.26,4.0,Completed,Job 4-3,,,0
144,8.26,,Request Routing for Job,,Machine 6,19.0,
145,8.26,,Routing Start,,Machine 6,,3.675 Job 선택
146,8.26,5.0,Routing Finish,Job 5-28,Machine 6,,
147,8.26,5.0,Work Start,Job 5-28,Machine 6,,
148,8.49,9.0,Created,Job 9-27,,,
149,8.49,9.0,Put in Routing Class,Job 9-27,,19.0,
150,9.0,0.0,Work Finish,Job 0-15,Machine 1,,
151,9.0,0.0,Completed,Job 0-15,,,0
152,9.0,,Request Routing for Job,,Machine 1,19.0,
