,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.03,1.0,Created,Job 1-10,,,
1,1.03,1.0,Put in Routing Class,Job 1-10,,1.0,
2,1.03,1.0,Routing Start,Job 1-10,,,"3.675,  machine 선택"
3,1.03,1.0,Routing Finish,Job 1-10,Machine 0,,
4,1.03,1.0,Work Start,Job 1-10,Machine 0,,
5,1.06,5.0,Created,Job 5-32,,,
6,1.06,5.0,Put in Routing Class,Job 5-32,,1.0,
7,1.06,5.0,Routing Start,Job 5-32,,,"3.675,  machine 선택"
8,1.06,5.0,Routing Finish,Job 5-32,Machine 7,,
9,1.06,5.0,Work Start,Job 5-32,Machine 7,,
10,1.09,4.0,Created,Job 4-11,,,
11,1.09,4.0,Put in Routing Class,Job 4-11,,1.0,
12,1.09,4.0,Routing Start,Job 4-11,,,"3.675,  machine 선택"
13,1.09,4.0,Routing Finish,Job 4-11,Machine 2,,
14,1.09,4.0,Work Start,Job 4-11,Machine 2,,
15,1.28,3.0,Created,Job 3-22,,,
16,1.28,3.0,Put in Routing Class,Job 3-22,,1.0,
17,1.28,3.0,Routing Start,Job 3-22,,,"3.675,  machine 선택"
18,1.28,3.0,Routing Finish,Job 3-22,Machine 5,,
19,1.28,3.0,Work Start,Job 3-22,Machine 5,,
20,1.35,8.0,Created,Job 8-17,,,
21,1.35,8.0,Put in Routing Class,Job 8-17,,1.0,
22,1.35,8.0,Routing Start,Job 8-17,,,"3.675,  machine 선택"
23,1.35,8.0,Routing Finish,Job 8-17,Machine 1,,
24,1.35,8.0,Work Start,Job 8-17,Machine 1,,
25,1.79,6.0,Created,Job 6-2,,,
26,1.79,6.0,Put in Routing Class,Job 6-2,,1.0,
27,1.79,6.0,Routing Start,Job 6-2,,,"3.675,  machine 선택"
28,1.79,6.0,Routing Finish,Job 6-2,Machine 3,,
29,1.79,6.0,Work Start,Job 6-2,Machine 3,,
30,1.93,0.0,Created,Job 0-14,,,
31,1.93,0.0,Put in Routing Class,Job 0-14,,1.0,
32,1.93,0.0,Routing Start,Job 0-14,,,"3.675,  machine 선택"
33,1.93,0.0,Routing Finish,Job 0-14,Machine 6,,
34,1.93,0.0,Work Start,Job 0-14,Machine 6,,
35,2.14,9.0,Created,Job 9-6,,,
36,2.14,9.0,Put in Routing Class,Job 9-6,,1.0,
37,2.14,9.0,Routing Start,Job 9-6,,,"3.675,  machine 선택"
38,2.14,9.0,Routing Finish,Job 9-6,Machine 4,,
39,2.14,9.0,Work Start,Job 9-6,Machine 4,,
40,2.15,1.0,Created,Job 1-15,,,
41,2.15,1.0,Put in Routing Class,Job 1-15,,1.0,
42,2.23,2.0,Created,Job 2-1,,,
43,2.23,2.0,Put in Routing Class,Job 2-1,,2.0,
44,2.36,7.0,Created,Job 7-0,,,
45,2.36,7.0,Put in Routing Class,Job 7-0,,3.0,
46,2.79,6.0,Created,Job 6-3,,,
47,2.79,6.0,Put in Routing Class,Job 6-3,,4.0,
48,3.16,0.0,Created,Job 0-29,,,
49,3.16,0.0,Put in Routing Class,Job 0-29,,5.0,
50,3.74,9.0,Created,Job 9-7,,,
51,3.74,9.0,Put in Routing Class,Job 9-7,,6.0,
52,3.8,7.0,Created,Job 7-8,,,
53,3.8,7.0,Put in Routing Class,Job 7-8,,7.0,
54,3.83,9.0,Work Finish,Job 9-6,Machine 4,,
55,3.83,9.0,Completed,Job 9-6,,,0
56,3.83,,Request Routing for Job,,Machine 4,7.0,
57,3.83,,Routing Start,,Machine 4,,3.675 Job 선택
58,3.83,9.0,Routing Finish,Job 9-7,Machine 4,,
59,3.83,9.0,Work Start,Job 9-7,Machine 4,,
60,3.9,3.0,Created,Job 3-27,,,
61,3.9,3.0,Put in Routing Class,Job 3-27,,7.0,
62,4.6,6.0,Work Finish,Job 6-2,Machine 3,,
63,4.6,6.0,Completed,Job 6-2,,,0
64,4.6,,Request Routing for Job,,Machine 3,7.0,
65,4.6,,Routing Start,,Machine 3,,3.675 Job 선택
66,4.6,6.0,Routing Finish,Job 6-3,Machine 3,,
67,4.6,6.0,Work Start,Job 6-3,Machine 3,,
68,4.78,0.0,Created,Job 0-36,,,
69,4.78,0.0,Put in Routing Class,Job 0-36,,7.0,
70,4.78,4.0,Created,Job 4-25,,,
71,4.78,4.0,Put in Routing Class,Job 4-25,,8.0,
72,4.83,1.0,Created,Job 1-23,,,
73,4.83,1.0,Put in Routing Class,Job 1-23,,9.0,
74,4.87,7.0,Created,Job 7-13,,,
75,4.87,7.0,Put in Routing Class,Job 7-13,,10.0,
76,4.96,3.0,Created,Job 3-33,,,
77,4.96,3.0,Put in Routing Class,Job 3-33,,11.0,
78,4.98,8.0,Created,Job 8-24,,,
79,4.98,8.0,Put in Routing Class,Job 8-24,,12.0,
80,5.13,5.0,Created,Job 5-48,,,
81,5.13,5.0,Put in Routing Class,Job 5-48,,13.0,
82,5.16,1.0,Work Finish,Job 1-10,Machine 0,,
83,5.16,1.0,Completed,Job 1-10,,,0
84,5.16,,Request Routing for Job,,Machine 0,13.0,
85,5.16,,Routing Start,,Machine 0,,3.675 Job 선택
86,5.16,1.0,Routing Finish,Job 1-15,Machine 0,,
87,5.16,1.0,Work Start,Job 1-15,Machine 0,,
88,5.23,6.0,Created,Job 6-12,,,
89,5.23,6.0,Put in Routing Class,Job 6-12,,13.0,
90,5.34,2.0,Created,Job 2-4,,,
91,5.34,2.0,Put in Routing Class,Job 2-4,,14.0,
92,5.53,9.0,Work Finish,Job 9-7,Machine 4,,
93,5.53,9.0,Completed,Job 9-7,,,0
94,5.53,,Request Routing for Job,,Machine 4,14.0,
95,5.53,,Routing Start,,Machine 4,,3.675 Job 선택
96,5.53,4.0,Routing Finish,Job 4-25,Machine 4,,
97,5.53,4.0,Work Start,Job 4-25,Machine 4,,
98,5.91,4.0,Created,Job 4-26,,,
99,5.91,4.0,Put in Routing Class,Job 4-26,,14.0,
100,6.24,9.0,Created,Job 9-20,,,
101,6.24,9.0,Put in Routing Class,Job 9-20,,15.0,
102,6.53,8.0,Work Finish,Job 8-17,Machine 1,,
103,6.53,8.0,Completed,Job 8-17,,,0
104,6.53,,Request Routing for Job,,Machine 1,15.0,
105,6.53,,Routing Start,,Machine 1,,3.675 Job 선택
106,6.53,8.0,Routing Finish,Job 8-24,Machine 1,,
107,6.53,8.0,Work Start,Job 8-24,Machine 1,,
108,6.56,3.0,Created,Job 3-34,,,
109,6.56,3.0,Put in Routing Class,Job 3-34,,15.0,
110,6.63,0.0,Created,Job 0-44,,,
111,6.63,0.0,Put in Routing Class,Job 0-44,,16.0,
112,6.72,2.0,Created,Job 2-5,,,
113,6.72,2.0,Put in Routing Class,Job 2-5,,17.0,
114,6.8,8.0,Created,Job 8-62,,,
115,6.8,8.0,Put in Routing Class,Job 8-62,,18.0,
116,6.86,6.0,Created,Job 6-16,,,
117,6.86,6.0,Put in Routing Class,Job 6-16,,19.0,
118,6.98,5.0,Work Finish,Job 5-32,Machine 7,,
119,6.98,5.0,Completed,Job 5-32,,,0
120,6.98,,Request Routing for Job,,Machine 7,19.0,
121,6.98,,Routing Start,,Machine 7,,3.675 Job 선택
122,6.98,5.0,Routing Finish,Job 5-48,Machine 7,,
