,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.08,1.0,Created,Job 1-18,,,
1,1.08,1.0,Put in Routing Class,Job 1-18,,1.0,
2,1.08,1.0,Routing Start,Job 1-18,,,"0.42500000000000004,  machine 선택"
3,1.08,1.0,Routing Finish,Job 1-18,Machine 5,,
4,1.08,1.0,Work Start,Job 1-18,Machine 5,,
5,1.1,7.0,Created,Job 7-34,,,
6,1.1,7.0,Put in Routing Class,Job 7-34,,1.0,
7,1.1,7.0,Routing Start,Job 7-34,,,"0.42500000000000004,  machine 선택"
8,1.1,7.0,Routing Finish,Job 7-34,Machine 6,,
9,1.1,7.0,Work Start,Job 7-34,Machine 6,,
10,1.29,6.0,Created,Job 6-1,,,
11,1.29,6.0,Put in Routing Class,Job 6-1,,1.0,
12,1.29,6.0,Routing Start,Job 6-1,,,"0.42500000000000004,  machine 선택"
13,1.29,6.0,Routing Finish,Job 6-1,Machine 4,,
14,1.29,6.0,Work Start,Job 6-1,Machine 4,,
15,1.34,4.0,Created,Job 4-7,,,
16,1.34,4.0,Put in Routing Class,Job 4-7,,1.0,
17,1.34,4.0,Routing Start,Job 4-7,,,"0.42500000000000004,  machine 선택"
18,1.34,4.0,Routing Finish,Job 4-7,Machine 1,,
19,1.34,4.0,Work Start,Job 4-7,Machine 1,,
20,1.47,3.0,Created,Job 3-28,,,
21,1.47,3.0,Put in Routing Class,Job 3-28,,1.0,
22,1.47,3.0,Routing Start,Job 3-28,,,"0.42500000000000004,  machine 선택"
23,1.47,3.0,Routing Finish,Job 3-28,Machine 2,,
24,1.47,3.0,Work Start,Job 3-28,Machine 2,,
25,1.62,5.0,Created,Job 5-14,,,
26,1.62,5.0,Put in Routing Class,Job 5-14,,1.0,
27,1.62,5.0,Routing Start,Job 5-14,,,"0.42500000000000004,  machine 선택"
28,1.62,5.0,Routing Finish,Job 5-14,Machine 7,,
29,1.62,5.0,Work Start,Job 5-14,Machine 7,,
30,1.63,0.0,Created,Job 0-2,,,
31,1.63,0.0,Put in Routing Class,Job 0-2,,1.0,
32,1.63,0.0,Routing Start,Job 0-2,,,"0.42500000000000004,  machine 선택"
33,1.63,0.0,Routing Finish,Job 0-2,Machine 3,,
34,1.63,0.0,Work Start,Job 0-2,Machine 3,,
35,1.8,8.0,Created,Job 8-8,,,
36,1.8,8.0,Put in Routing Class,Job 8-8,,1.0,
37,1.8,8.0,Routing Start,Job 8-8,,,"0.42500000000000004,  machine 선택"
38,1.8,8.0,Routing Finish,Job 8-8,Machine 0,,
39,1.8,8.0,Work Start,Job 8-8,Machine 0,,
40,2.1,2.0,Created,Job 2-3,,,
41,2.1,2.0,Put in Routing Class,Job 2-3,,1.0,
