,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.25,4.0,Created,Job 4-7,,,
1,1.25,4.0,Put in Routing Class,Job 4-7,,1.0,
2,1.25,4.0,Routing Start,Job 4-7,,,"3.675,  machine 선택"
3,1.25,4.0,Routing Finish,Job 4-7,Machine 2,,
4,1.25,4.0,Work Start,Job 4-7,Machine 2,,
5,1.3,7.0,Created,Job 7-3,,,
6,1.3,7.0,Put in Routing Class,Job 7-3,,1.0,
7,1.3,7.0,Routing Start,Job 7-3,,,"3.675,  machine 선택"
8,1.3,7.0,Routing Finish,Job 7-3,Machine 5,,
9,1.3,7.0,Work Start,Job 7-3,Machine 5,,
10,1.34,6.0,Created,Job 6-1,,,
11,1.34,6.0,Put in Routing Class,Job 6-1,,1.0,
12,1.34,6.0,Routing Start,Job 6-1,,,"3.675,  machine 선택"
13,1.34,6.0,Routing Finish,Job 6-1,Machine 0,,
14,1.34,6.0,Work Start,Job 6-1,Machine 0,,
15,1.4,8.0,Created,Job 8-25,,,
16,1.4,8.0,Put in Routing Class,Job 8-25,,1.0,
17,1.4,8.0,Routing Start,Job 8-25,,,"3.675,  machine 선택"
18,1.4,8.0,Routing Finish,Job 8-25,Machine 6,,
19,1.4,8.0,Work Start,Job 8-25,Machine 6,,
20,1.48,3.0,Created,Job 3-2,,,
21,1.48,3.0,Put in Routing Class,Job 3-2,,1.0,
22,1.48,3.0,Routing Start,Job 3-2,,,"3.675,  machine 선택"
23,1.48,3.0,Routing Finish,Job 3-2,Machine 4,,
24,1.48,3.0,Work Start,Job 3-2,Machine 4,,
25,1.62,1.0,Created,Job 1-10,,,
26,1.62,1.0,Put in Routing Class,Job 1-10,,1.0,
27,1.62,1.0,Routing Start,Job 1-10,,,"3.675,  machine 선택"
28,1.62,1.0,Routing Finish,Job 1-10,Machine 1,,
29,1.62,1.0,Work Start,Job 1-10,Machine 1,,
30,1.96,0.0,Created,Job 0-6,,,
31,1.96,0.0,Put in Routing Class,Job 0-6,,1.0,
32,1.96,0.0,Routing Start,Job 0-6,,,"3.675,  machine 선택"
33,1.96,0.0,Routing Finish,Job 0-6,Machine 3,,
34,1.96,0.0,Work Start,Job 0-6,Machine 3,,
35,2.44,6.0,Created,Job 6-13,,,
36,2.44,6.0,Put in Routing Class,Job 6-13,,1.0,
37,2.44,6.0,Routing Start,Job 6-13,,,"3.675,  machine 선택"
38,2.44,6.0,Routing Finish,Job 6-13,Machine 7,,
39,2.44,6.0,Work Start,Job 6-13,Machine 7,,
40,2.55,2.0,Created,Job 2-4,,,
41,2.55,2.0,Put in Routing Class,Job 2-4,,1.0,
