,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.27,7.0,Created,Job 7-15,,,
1,1.27,7.0,Put in Routing Class,Job 7-15,,1.0,
2,1.27,7.0,Routing Start,Job 7-15,,,"3.675,  machine 선택"
3,1.27,7.0,Routing Finish,Job 7-15,Machine 0,,
4,1.27,7.0,Work Start,Job 7-15,Machine 0,,
5,1.38,3.0,Created,Job 3-2,,,
6,1.38,3.0,Put in Routing Class,Job 3-2,,1.0,
7,1.38,3.0,Routing Start,Job 3-2,,,"3.675,  machine 선택"
8,1.38,3.0,Routing Finish,Job 3-2,Machine 4,,
9,1.38,3.0,Work Start,Job 3-2,Machine 4,,
10,1.4,8.0,Created,Job 8-0,,,
11,1.4,8.0,Put in Routing Class,Job 8-0,,1.0,
12,1.4,8.0,Routing Start,Job 8-0,,,"3.675,  machine 선택"
13,1.4,8.0,Routing Finish,Job 8-0,Machine 5,,
14,1.4,8.0,Work Start,Job 8-0,Machine 5,,
15,1.52,4.0,Created,Job 4-9,,,
16,1.52,4.0,Put in Routing Class,Job 4-9,,1.0,
17,1.52,4.0,Routing Start,Job 4-9,,,"3.675,  machine 선택"
18,1.52,4.0,Routing Finish,Job 4-9,Machine 7,,
19,1.52,4.0,Work Start,Job 4-9,Machine 7,,
20,1.58,9.0,Created,Job 9-1,,,
21,1.58,9.0,Put in Routing Class,Job 9-1,,1.0,
22,1.58,9.0,Routing Start,Job 9-1,,,"3.675,  machine 선택"
23,1.58,9.0,Routing Finish,Job 9-1,Machine 1,,
24,1.58,9.0,Work Start,Job 9-1,Machine 1,,
25,1.59,2.0,Created,Job 2-16,,,
26,1.59,2.0,Put in Routing Class,Job 2-16,,1.0,
27,1.59,2.0,Routing Start,Job 2-16,,,"3.675,  machine 선택"
28,1.59,2.0,Routing Finish,Job 2-16,Machine 3,,
29,1.59,2.0,Work Start,Job 2-16,Machine 3,,
30,1.62,5.0,Created,Job 5-32,,,
31,1.62,5.0,Put in Routing Class,Job 5-32,,1.0,
32,1.62,5.0,Routing Start,Job 5-32,,,"3.675,  machine 선택"
33,1.62,5.0,Routing Finish,Job 5-32,Machine 2,,
34,1.62,5.0,Work Start,Job 5-32,Machine 2,,
35,1.73,1.0,Created,Job 1-7,,,
36,1.73,1.0,Put in Routing Class,Job 1-7,,1.0,
37,1.73,1.0,Routing Start,Job 1-7,,,"3.675,  machine 선택"
38,1.73,1.0,Routing Finish,Job 1-7,Machine 6,,
39,1.73,1.0,Work Start,Job 1-7,Machine 6,,
40,1.92,6.0,Created,Job 6-3,,,
41,1.92,6.0,Put in Routing Class,Job 6-3,,1.0,
42,2.39,3.0,Created,Job 3-10,,,
43,2.39,3.0,Put in Routing Class,Job 3-10,,2.0,
44,2.43,7.0,Created,Job 7-25,,,
45,2.43,7.0,Put in Routing Class,Job 7-25,,3.0,
46,2.86,5.0,Created,Job 5-34,,,
47,2.86,5.0,Put in Routing Class,Job 5-34,,4.0,
48,2.86,9.0,Created,Job 9-6,,,
49,2.86,9.0,Put in Routing Class,Job 9-6,,5.0,
50,3.02,8.0,Created,Job 8-4,,,
51,3.02,8.0,Put in Routing Class,Job 8-4,,6.0,
52,3.22,8.0,Work Finish,Job 8-0,Machine 5,,
53,3.22,8.0,Completed,Job 8-0,,,0
54,3.22,,Request Routing for Job,,Machine 5,6.0,
55,3.22,,Routing Start,,Machine 5,,3.675 Job 선택
56,3.22,8.0,Routing Finish,Job 8-4,Machine 5,,
57,3.22,8.0,Work Start,Job 8-4,Machine 5,,
58,3.42,2.0,Created,Job 2-18,,,
59,3.42,2.0,Put in Routing Class,Job 2-18,,6.0,
60,3.51,6.0,Created,Job 6-11,,,
61,3.51,6.0,Put in Routing Class,Job 6-11,,7.0,
62,3.6,4.0,Created,Job 4-12,,,
63,3.6,4.0,Put in Routing Class,Job 4-12,,8.0,
64,3.84,1.0,Created,Job 1-21,,,
65,3.84,1.0,Put in Routing Class,Job 1-21,,9.0,
66,3.94,3.0,Created,Job 3-23,,,
67,3.94,3.0,Put in Routing Class,Job 3-23,,10.0,
68,4.03,3.0,Work Finish,Job 3-2,Machine 4,,
69,4.03,3.0,Completed,Job 3-2,,,0
70,4.03,,Request Routing for Job,,Machine 4,10.0,
71,4.03,,Routing Start,,Machine 4,,3.675 Job 선택
72,4.03,3.0,Routing Finish,Job 3-10,Machine 4,,
73,4.03,3.0,Work Start,Job 3-10,Machine 4,,
74,4.41,7.0,Created,Job 7-27,,,
75,4.41,7.0,Put in Routing Class,Job 7-27,,10.0,
76,4.47,0.0,Created,Job 0-5,,,
77,4.47,0.0,Put in Routing Class,Job 0-5,,11.0,
78,4.49,9.0,Created,Job 9-17,,,
79,4.49,9.0,Put in Routing Class,Job 9-17,,12.0,
80,4.6,2.0,Created,Job 2-19,,,
81,4.6,2.0,Put in Routing Class,Job 2-19,,13.0,
82,4.78,6.0,Created,Job 6-20,,,
83,4.78,6.0,Put in Routing Class,Job 6-20,,14.0,
84,4.91,1.0,Work Finish,Job 1-7,Machine 6,,
85,4.91,1.0,Completed,Job 1-7,,,0
86,4.91,,Request Routing for Job,,Machine 6,14.0,
87,4.91,,Routing Start,,Machine 6,,3.675 Job 선택
88,4.91,3.0,Routing Finish,Job 3-23,Machine 6,,
89,4.91,3.0,Work Start,Job 3-23,Machine 6,,
90,5.03,8.0,Work Finish,Job 8-4,Machine 5,,
91,5.03,8.0,Completed,Job 8-4,,,0
92,5.03,,Request Routing for Job,,Machine 5,13.0,
93,5.03,,Routing Start,,Machine 5,,3.675 Job 선택
94,5.03,6.0,Routing Finish,Job 6-3,Machine 5,,
95,5.03,6.0,Work Start,Job 6-3,Machine 5,,
96,5.04,4.0,Created,Job 4-26,,,
97,5.04,4.0,Put in Routing Class,Job 4-26,,13.0,
98,5.34,3.0,Created,Job 3-28,,,
99,5.34,3.0,Put in Routing Class,Job 3-28,,14.0,
100,5.38,5.0,Created,Job 5-44,,,
101,5.38,5.0,Put in Routing Class,Job 5-44,,15.0,
102,5.45,5.0,Work Finish,Job 5-32,Machine 2,,
103,5.45,5.0,Completed,Job 5-32,,,0
104,5.45,,Request Routing for Job,,Machine 2,15.0,
105,5.45,,Routing Start,,Machine 2,,3.675 Job 선택
106,5.45,5.0,Routing Finish,Job 5-34,Machine 2,,
107,5.45,5.0,Work Start,Job 5-34,Machine 2,,
108,5.62,0.0,Created,Job 0-13,,,
