e,r,t
335,-804.3209110130426,1.343447208404541
336,-2051.0970959603615,1.4981086254119873
337,-2179.5733953954214,1.5961735248565674
338,-880.71708412164,1.448073148727417
339,-1079.1300514753268,1.4828510284423828
340,-773.294664268703,1.5527782440185547
341,-900.7819815758639,1.3838834762573242
342,-456.95665229566976,1.408782720565796
343,-2036.016888583868,1.493596076965332
344,-1714.6505495709262,1.6678054332733154
345,-488.7250666335083,1.4066638946533203
346,-1500.5760410937635,1.5335710048675537
347,-834.8335139765101,1.606189250946045
348,-1176.1283751387455,1.5288920402526855
349,-2942.001481664456,1.5175487995147705
350,-454.57697171589734,1.310514211654663
351,-1041.187365585254,1.47670316696167
352,-694.1618959771665,1.3810021877288818
353,-1122.0883068072567,1.4750232696533203
354,-538.0403754506149,1.5939092636108398
355,-1334.9115210493385,1.4148666858673096
356,-605.2919357904332,1.4188296794891357
357,-2048.6438950490406,1.5495316982269287
358,-1239.0661700180306,1.5408544540405273
359,-242.49306124609052,1.250258445739746
360,-1064.399301913758,1.7870523929595947
361,-848.8604456748101,1.6071481704711914
362,-843.4991554954604,1.4213612079620361
363,-1266.607494104549,1.581205129623413
364,-1437.1181294362518,1.561553716659546
365,-1983.6198372494903,1.483307123184204
366,-881.0782473945643,1.4140479564666748
367,-761.369763254488,1.4510173797607422
368,-1490.5250734173349,1.5441253185272217
369,-969.1818963863266,1.4982962608337402
370,-1031.7926473639525,1.558516502380371
371,-1222.4109123243616,1.5188238620758057
372,-445.1678439211649,1.3922677040100098
373,-680.8077326938696,1.700674295425415
374,-960.0245474697078,1.509484052658081
375,-1239.5409258021627,1.5802266597747803
376,-891.7904846748991,1.5551831722259521
377,-1051.7925277071656,1.3837616443634033
378,-1532.7066792475835,1.4935781955718994
379,-1158.804448332876,1.4210376739501953
380,-687.8597123621421,1.5601422786712646
381,-659.7035959471235,1.4480981826782227
382,-900.6082695321495,1.5239572525024414
383,-697.4507177152359,1.5910401344299316
384,-586.6836515384956,1.4856793880462646
385,-1260.7092630596567,1.5634362697601318
386,-1877.6037458540711,1.5211350917816162
387,-923.1513909830512,1.4071705341339111
388,-300.63762150430006,1.4531779289245605
389,-1786.9239653756188,1.6301016807556152
390,-1559.4988633022622,1.6030082702636719
391,-797.5443084521087,1.5138213634490967
392,-899.5640268694787,1.4787452220916748
393,-1283.940314923158,1.4688136577606201
394,-1247.1229546626018,1.652796745300293
395,-985.6380595137657,1.469576120376587
396,-1257.3963033085054,1.387908935546875
397,-1110.1836786313556,1.4992506504058838
398,-944.2432025869045,1.4266564846038818
399,-659.1686345971559,1.432478427886963
400,-1336.0634267533685,1.5568366050720215
401,-845.9193270541047,1.2863507270812988
402,-1071.451467887418,1.4080708026885986
403,-1061.7539301054837,1.4408140182495117
404,-1800.7631933679813,1.4850108623504639
405,-555.7893434803144,1.2467398643493652
406,-584.6315883802971,1.4615094661712646
407,-1345.1049242495205,1.6072006225585938
408,-1245.0779032003445,1.3868966102600098
409,-1603.7131993812852,1.5143768787384033
410,-510.28504660586907,1.4324736595153809
411,-475.7938634435541,1.412672996520996
412,-136.72557453504447,1.3394954204559326
413,-548.1566259148062,1.4547920227050781
414,-1559.6633645705047,1.653921365737915
415,-981.0137657138906,1.426682710647583
416,-666.4697502323787,1.3778750896453857
417,-736.6517267648301,1.3965771198272705
418,-1172.8057663211541,1.486182689666748
419,-1854.3424142266424,1.5551624298095703
420,-714.7504324879978,1.4130942821502686
421,-722.3194714925836,1.4440417289733887
422,-707.33451503269,1.534684658050537
423,-363.89974041398426,1.361405611038208
424,-1384.0011799448537,1.4677062034606934
425,-386.6085897099204,1.364367961883545
426,-1693.227658880804,1.4970791339874268
427,-1124.799341226465,1.5481133460998535
428,-610.3277213243721,1.398996353149414
429,-629.4614193177063,1.1935999393463135
430,-1370.25812063861,1.607097864151001
431,-712.4370186474089,1.5350854396820068
432,-900.4572751884344,1.3483331203460693
433,-556.4819520502274,1.521454095840454
434,-718.4655991857329,1.6665596961975098
435,-699.1914402783333,1.5405657291412354
436,-1135.5719938864495,1.426375150680542
437,-889.5660973028686,1.5079307556152344
438,-530.6383704488302,1.4359230995178223
439,-953.5016323999927,1.418851613998413
440,-1119.9172684188104,1.5517587661743164
441,-1074.936997321042,1.43471360206604
442,-442.67755939421727,1.4079759120941162
443,-621.4413733330405,1.3020234107971191
444,-429.9405814069834,1.2745797634124756
445,-1798.6900512074574,1.4965624809265137
446,-3033.553902349102,1.607809066772461
447,-1738.3061833197066,1.4956939220428467
448,-1083.1241644501226,1.5413403511047363
449,-944.7683042154329,1.5941650867462158
450,-1287.7430318245977,1.6295993328094482
451,-1899.5714683396225,1.548619031906128
452,-526.1973056015735,1.617478370666504
453,-861.9889300840381,1.4430429935455322
454,-407.8292890068331,1.4066860675811768
455,-832.6973864323174,1.5368757247924805
456,-922.1037581012517,1.5443694591522217
457,-1345.4451864883652,1.607229232788086
458,-1199.9504650633635,1.5419907569885254
459,-1468.1587332742863,1.610412359237671
460,-474.1898154259811,1.4186954498291016
461,-750.581032709573,1.5161077976226807
462,-1196.5849654436754,1.5624947547912598
463,-659.5816410125776,1.4898827075958252
464,-1274.318103578523,1.4722650051116943
465,-938.3021753145536,1.6318142414093018
466,-604.919355760886,1.3888325691223145
467,-949.6272796205219,1.434436321258545
468,-1337.3152529353451,1.5693118572235107
469,-957.6957708934905,1.665454626083374
470,-1300.1838688525472,1.5264837741851807
471,-613.8468147996714,1.374762773513794
472,-598.8593845972636,1.291454553604126
473,-954.9937175901969,1.4121668338775635
474,-614.4260639731714,1.3177762031555176
475,-1791.71734244597,1.5079920291900635
476,-1325.9229105989134,1.550729513168335
477,-959.1515252135284,1.5340924263000488
478,-722.2144019952311,1.4348640441894531
479,-565.5428380729184,1.5137262344360352
480,-1202.1705487614647,1.517895221710205
481,-580.3321986109061,1.559000015258789
482,-1230.069350223853,1.5371253490447998
483,-1302.1516331622943,1.4789557456970215
484,-968.0678266359748,1.4573943614959717
485,-927.2243754087708,1.4353227615356445
486,-837.5927977635786,1.4555237293243408
487,-964.4743783053623,1.5337707996368408
488,-458.635133331633,1.3705365657806396
489,-800.0745877834908,1.4167187213897705
490,-1709.8967487229834,1.503258466720581
491,-1038.541521027603,1.4730708599090576
492,-542.2496620249334,1.4002103805541992
493,-311.500091884355,1.4403767585754395
494,-1833.844696955426,1.47166109085083
495,-1053.3495149884855,1.5599403381347656
496,-448.4456574347471,1.481381893157959
497,-837.0719660122019,1.6049721240997314
498,-652.7523905515317,1.5955727100372314
499,-563.0187500676301,1.4323596954345703
500,-364.87555492214017,1.4515388011932373
501,-572.9235556315595,1.4817469120025635
502,-1027.653261379196,1.3624446392059326
503,-1294.5267132776994,1.505777359008789
504,-921.6599406772411,1.5455899238586426
505,-670.2293314050769,1.4947617053985596
506,-1010.9425348514998,1.5257160663604736
507,-1123.3822029171445,1.5574967861175537
508,-967.4313347919507,1.5127599239349365
509,-1146.7934633237846,1.4360828399658203
510,-432.27296898943814,1.5975911617279053
511,-580.9218862789293,1.5300860404968262
512,-823.5019716211957,1.4139149188995361
513,-1063.0524898127712,1.5046131610870361
514,-776.4448451262678,1.353515863418579
515,-859.004408828761,1.4466063976287842
516,-1564.3224440236118,1.4821197986602783
517,-1273.474796848802,1.5143346786499023
518,-983.2486547185539,1.4817497730255127
519,-935.6349223865625,1.374117136001587
520,-883.4544739692343,1.4849512577056885
521,-1206.0739073117388,1.524461269378662
522,-586.9344862348081,1.3233637809753418
523,-557.1565474511511,1.4269781112670898
524,-2026.999963323621,1.4717116355895996
525,-504.46741102357737,1.368427038192749
526,-834.1132468669275,1.3771519660949707
527,-1525.650498986705,1.555211067199707
528,-964.5661043389338,1.3809583187103271
529,-545.377038774699,1.4194841384887695
530,-842.8403574672126,1.5422413349151611
531,-922.757177695575,1.3555493354797363
532,-1634.6342980318936,1.5541143417358398
533,-1112.2457150811124,1.380805492401123
534,-864.0435128722635,1.4631497859954834
535,-393.6866339338273,1.3728373050689697
536,-586.4231547945965,1.458270788192749
537,-1666.7578516629071,1.5513532161712646
538,-603.9010336398643,1.4276978969573975
539,-317.0967794621362,1.3761217594146729
540,-988.9724893626657,1.332139253616333
541,-1049.4751147358688,1.5555305480957031
542,-457.3618614121192,1.5370101928710938
543,-499.7199083312389,1.3898184299468994
544,-522.0783139993433,1.3186976909637451
545,-742.876031066784,1.5861268043518066
546,-308.0713756067028,1.1056153774261475
547,-859.1840410506692,1.5443055629730225
548,-782.4014410512464,1.519594430923462
549,-425.02047343601276,1.4080290794372559
550,-717.688399602384,1.470494270324707
551,-1112.34732341879,1.7385971546173096
552,-1746.7262091225844,1.8061678409576416
553,-1628.4153467309707,1.8044829368591309
554,-947.6383055189146,1.6339445114135742
555,-573.8108629473338,1.6155781745910645
556,-1760.3463754400361,1.5115416049957275
557,-1193.8757538923967,1.4451699256896973
558,-424.20260619004495,1.5643868446350098
559,-974.7005685831648,1.5729875564575195
560,-804.1647980436688,1.6002206802368164
561,-706.2934509517502,1.3331530094146729
562,-841.5034724955806,1.4227237701416016
563,-1201.5199534725512,1.3300139904022217
564,-879.8221959146163,1.4742329120635986
565,-451.01157465443447,1.3966736793518066
566,-1554.4801381711588,1.50860595703125
567,-1191.0923338093633,1.4587082862854004
568,-773.7476714319413,1.3020386695861816
569,-985.8520634120549,1.7013771533966064
570,-1794.532629602543,1.6799981594085693
571,-367.6909678408576,1.3729498386383057
572,-468.6409544236437,1.4519963264465332
573,-1449.4784195079264,1.528365135192871
574,-331.48005053692737,1.5108294486999512
575,-713.1880252843815,1.3556811809539795
576,-601.3190492225015,1.3983685970306396
577,-521.3604337733825,1.392810583114624
578,-858.7491476156307,1.3883013725280762
579,-551.1011625161433,1.4451029300689697
580,-1106.900723992922,1.5748896598815918
581,-814.1435317597159,1.501655101776123
582,-904.5716148307614,1.5038423538208008
583,-2026.4080897714027,1.8432512283325195
584,-818.4669914989956,1.611417293548584
585,-1560.8828226418088,1.5171723365783691
586,-345.48513544046864,1.4937660694122314
587,-976.2363166780033,1.5710172653198242
588,-501.45576519427425,1.5369067192077637
589,-710.6692659485875,1.491511344909668
590,-505.4714132834537,1.4113600254058838
591,-645.1337331885642,1.29329252243042
592,-560.5783433301572,1.5394253730773926
593,-1114.0118018411033,1.4883220195770264
594,-758.6268178242633,1.4545071125030518
595,-1284.839060541748,1.5343286991119385
596,-2591.5680338879,1.5467534065246582
597,-1839.8252111640466,1.4404542446136475
598,-904.9696586868404,1.3399741649627686
599,-628.4650468348302,1.5196421146392822
600,-848.4235888303941,1.4326727390289307
601,-1644.7313218385027,1.4806342124938965
602,-1539.1259275345678,1.5224201679229736
603,-612.1570938572604,1.4447081089019775
604,-1463.2816735990216,1.5313301086425781
605,-168.32574118763017,1.369920253753662
606,-653.1887515210772,1.313624382019043
607,-903.6447742297584,1.4106628894805908
608,-1642.502340103993,1.5145058631896973
609,-532.8977556778563,1.4549586772918701
610,-939.7767824661645,1.6358470916748047
611,-1265.5249610942283,1.5476734638214111
612,-1304.0919984013924,1.402641773223877
613,-1843.0870282063865,1.417633056640625
614,-1745.0356170967173,1.4426259994506836
615,-2304.3850163748075,1.4937999248504639
616,-1058.032207806122,1.3473186492919922
617,-1109.7684039196313,1.4849522113800049
618,-1206.0604105905268,1.5013697147369385
619,-1288.3218455314666,1.6097028255462646
620,-818.3876025205036,1.3526365756988525
621,-1585.4961254072798,1.5484981536865234
622,-1793.7460335670012,1.4787859916687012
623,-490.625399053817,1.409456491470337
624,-919.4802464963127,1.3760342597961426
625,-879.7830202550463,1.4568345546722412
626,-451.09098348919485,1.4496252536773682
627,-1101.405322346647,1.5274815559387207
628,-1074.117473546395,1.5688259601593018
629,-621.0665602819697,1.4604911804199219
630,-557.5605042979803,1.4728667736053467
631,-708.6131277458888,1.3788447380065918
632,-693.5696584704401,1.4859778881072998
633,-400.87890008054586,1.3920955657958984
634,-993.8712141795546,1.666609764099121
635,-1206.5566911005253,1.573805332183838
636,-1174.6810428384597,1.4652726650238037
637,-517.0105602039193,1.4430961608886719
638,-877.4655863412345,1.2379603385925293
639,-1841.9059534369846,1.5088319778442383
640,-584.0889997604654,1.4075911045074463
641,-926.3678595448933,1.4111449718475342
642,-661.7219752489848,1.4112002849578857
643,-908.0513231912397,1.488602638244629
644,-988.6775358162432,1.285933256149292
645,-1669.632360932626,1.5229413509368896
646,-747.0741663300602,1.4781732559204102
647,-641.8533825920966,1.4374043941497803
648,-1143.9451030624298,1.4629364013671875
649,-632.5918464253756,1.4018182754516602
650,-696.3591581823745,1.3814525604248047
651,-534.6945997688662,1.3023593425750732
652,-1657.5105212547994,1.4621024131774902
653,-1176.4484021425767,1.6136326789855957
654,-1286.491606042729,1.4593746662139893
655,-788.0836263515185,1.5405278205871582
656,-388.75564401210715,1.4480268955230713
657,-808.9152177865473,1.3672006130218506
658,-1973.6770930487523,1.6294028759002686
659,-1136.3884007522215,1.5540821552276611
660,-1330.0924868118625,1.4772138595581055
661,-755.6010568756485,1.516693353652954
662,-720.9205111527149,1.372206211090088
663,-708.4880654309885,1.4342753887176514
664,-606.9948440070276,1.553572177886963
665,-758.5424294660538,1.511821985244751
666,-1355.0933963483621,1.3777499198913574
667,-891.3153488511036,1.4886279106140137
668,-1069.9945156462986,1.5936713218688965
669,-341.705895357885,1.2196729183197021
670,-1173.8050834412643,1.391209363937378
671,-1380.3646517891939,1.5161921977996826
672,-1198.0437690550368,1.603677749633789
673,-1380.4109146052704,1.6887001991271973
674,-1450.3311351008074,1.5553443431854248
675,-600.7996411972051,1.4933569431304932
676,-660.7227355491589,1.4389643669128418
677,-493.55619323613786,1.5602197647094727
678,-1085.0529972821405,1.4836981296539307
679,-791.899375935012,1.5483708381652832
680,-898.5763792422516,1.505260705947876
681,-648.6683259973033,1.4976472854614258
682,-970.452475233536,1.501678705215454
683,-1724.3867896558797,1.452768087387085
684,-775.4732823977041,1.4293208122253418
685,-928.8112520802118,1.411858081817627
686,-1147.8783838570312,1.3881962299346924
687,-740.8102327993734,1.3995869159698486
688,-534.8879335561026,1.463669776916504
689,-604.9036864786636,1.4126298427581787
690,-665.2391704877048,1.4772465229034424
691,-1132.8666009740102,1.3701214790344238
692,-1036.4677527652734,1.4794046878814697
693,-690.7864750059316,1.3680903911590576
694,-412.2485446555839,1.3891990184783936
695,-471.7538446121332,1.3162031173706055
696,-1719.1855253205633,1.5580863952636719
697,-832.5251044546378,1.5706377029418945
